EnergyMeterWorkCenterKey,EnergyMeterPointKey,WorkCenterKey,AllocationRatio,EffectiveStartDate,EffectiveEndDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.000000,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,103,103,2.000000,2020-01-02,2021-01-01,1,1,2026-08-24T00:00:00.000
2,392,386,3.000000,2020-01-03,2021-01-02,1,1,2026-08-24T00:00:00.000
3,323,95,4.000000,2020-01-04,2021-01-03,1,1,2026-08-24T00:00:00.000
4,464,145,5.000000,2020-01-05,2021-01-04,1,1,2026-08-24T00:00:00.000
5,180,144,6.000000,2020-01-06,2021-01-05,1,1,2026-08-24T00:00:00.000
6,386,450,7.000000,2020-01-07,2021-01-06,1,1,2026-08-24T00:00:00.000
7,62,63,8.000000,2020-01-08,2021-01-07,1,1,2026-08-24T00:00:00.000
8,328,135,9.000000,2020-01-09,2021-01-08,1,1,2026-08-24T00:00:00.000
9,236,28,10.000000,2020-01-10,2021-01-09,1,1,2026-08-24T00:00:00.000
10,115,358,11.000000,2020-01-11,2021-01-10,1,1,2026-08-24T00:00:00.000
11,67,61,12.000000,2020-01-12,2021-01-11,1,1,2026-08-24T00:00:00.000
12,219,18,13.000000,2020-01-13,2021-01-12,1,1,2026-08-24T00:00:00.000
13,472,489,14.000000,2020-01-14,2021-01-13,1,1,2026-08-24T00:00:00.000
14,199,56,15.000000,2020-01-15,2021-01-14,1,1,2026-08-24T00:00:00.000
15,433,318,16.000000,2020-01-16,2021-01-15,1,1,2026-08-24T00:00:00.000
16,362,29,17.000000,2020-01-17,2021-01-16,1,1,2026-08-24T00:00:00.000
17,418,358,18.000000,2020-01-18,2021-01-17,1,1,2026-08-24T00:00:00.000
18,88,108,19.000000,2020-01-19,2021-01-18,1,1,2026-08-24T00:00:00.000
19,320,27,20.000000,2020-01-20,2021-01-19,1,1,2026-08-24T00:00:00.000
20,466,325,21.000000,2020-01-21,2021-01-20,1,1,2026-08-24T00:00:00.000
21,28,90,22.000000,2020-01-22,2021-01-21,1,1,2026-08-24T00:00:00.000
22,357,489,23.000000,2020-01-23,2021-01-22,1,1,2026-08-24T00:00:00.000
23,409,182,24.000000,2020-01-24,2021-01-23,1,1,2026-08-24T00:00:00.000
24,201,456,25.000000,2020-01-25,2021-01-24,1,1,2026-08-24T00:00:00.000
25,134,314,26.000000,2020-01-26,2021-01-25,1,1,2026-08-24T00:00:00.000
26,148,283,27.000000,2020-01-27,2021-01-26,1,1,2026-08-24T00:00:00.000
27,460,311,28.000000,2020-01-28,2021-01-27,1,1,2026-08-24T00:00:00.000
28,164,6,29.000000,2020-01-29,2021-01-28,1,1,2026-08-24T00:00:00.000
29,311,85,30.000000,2020-01-30,2021-01-29,1,1,2026-08-24T00:00:00.000
30,393,39,31.000000,2020-01-31,2021-01-30,1,1,2026-08-24T00:00:00.000
31,54,474,32.000000,2020-02-01,2021-01-31,1,1,2026-08-24T00:00:00.000
32,155,236,33.000000,2020-02-02,2021-02-01,1,1,2026-08-24T00:00:00.000
33,66,53,34.000000,2020-02-03,2021-02-02,1,1,2026-08-24T00:00:00.000
34,109,54,35.000000,2020-02-04,2021-02-03,1,1,2026-08-24T00:00:00.000
35,426,169,36.000000,2020-02-05,2021-02-04,1,1,2026-08-24T00:00:00.000
36,194,119,37.000000,2020-02-06,2021-02-05,1,1,2026-08-24T00:00:00.000
37,405,409,38.000000,2020-02-07,2021-02-06,1,1,2026-08-24T00:00:00.000
38,168,291,39.000000,2020-02-08,2021-02-07,1,1,2026-08-24T00:00:00.000
39,128,234,40.000000,2020-02-09,2021-02-08,1,1,2026-08-24T00:00:00.000
40,475,476,41.000000,2020-02-10,2021-02-09,1,1,2026-08-24T00:00:00.000
41,119,174,42.000000,2020-02-11,2021-02-10,1,1,2026-08-24T00:00:00.000
42,223,342,43.000000,2020-02-12,2021-02-11,1,1,2026-08-24T00:00:00.000
43,151,123,44.000000,2020-02-13,2021-02-12,1,1,2026-08-24T00:00:00.000
44,122,212,45.000000,2020-02-14,2021-02-13,1,1,2026-08-24T00:00:00.000
45,257,251,46.000000,2020-02-15,2021-02-14,1,1,2026-08-24T00:00:00.000
46,226,80,47.000000,2020-02-16,2021-02-15,1,1,2026-08-24T00:00:00.000
47,86,211,48.000000,2020-02-17,2021-02-16,1,1,2026-08-24T00:00:00.000
48,216,234,49.000000,2020-02-18,2021-02-17,1,1,2026-08-24T00:00:00.000
49,325,173,50.000000,2020-02-19,2021-02-18,1,1,2026-08-24T00:00:00.000
50,355,145,51.000000,2020-02-20,2021-02-19,1,1,2026-08-24T00:00:00.000
51,145,299,52.000000,2020-02-21,2021-02-20,1,1,2026-08-24T00:00:00.000
52,260,296,53.000000,2020-02-22,2021-02-21,1,1,2026-08-24T00:00:00.000
53,247,297,54.000000,2020-02-23,2021-02-22,1,1,2026-08-24T00:00:00.000
54,218,468,55.000000,2020-02-24,2021-02-23,1,1,2026-08-24T00:00:00.000
55,316,491,56.000000,2020-02-25,2021-02-24,1,1,2026-08-24T00:00:00.000
56,235,91,57.000000,2020-02-26,2021-02-25,1,1,2026-08-24T00:00:00.000
57,109,112,58.000000,2020-02-27,2021-02-26,1,1,2026-08-24T00:00:00.000
58,381,246,59.000000,2020-02-28,2021-02-27,1,1,2026-08-24T00:00:00.000
59,387,261,60.000000,2020-02-29,2021-02-28,1,1,2026-08-24T00:00:00.000
60,469,82,61.000000,2020-03-01,2021-03-01,1,1,2026-08-24T00:00:00.000
61,454,198,62.000000,2020-03-02,2021-03-02,1,1,2026-08-24T00:00:00.000
62,153,483,63.000000,2020-03-03,2021-03-03,1,1,2026-08-24T00:00:00.000
63,105,187,64.000000,2020-03-04,2021-03-04,1,1,2026-08-24T00:00:00.000
64,38,467,65.000000,2020-03-05,2021-03-05,1,1,2026-08-24T00:00:00.000
65,241,297,66.000000,2020-03-06,2021-03-06,1,1,2026-08-24T00:00:00.000
66,100,360,67.000000,2020-03-07,2021-03-07,1,1,2026-08-24T00:00:00.000
67,93,386,68.000000,2020-03-08,2021-03-08,1,1,2026-08-24T00:00:00.000
68,49,401,69.000000,2020-03-09,2021-03-09,1,1,2026-08-24T00:00:00.000
69,204,212,70.000000,2020-03-10,2021-03-10,1,1,2026-08-24T00:00:00.000
70,348,59,71.000000,2020-03-11,2021-03-11,1,1,2026-08-24T00:00:00.000
71,42,38,72.000000,2020-03-12,2021-03-12,1,1,2026-08-24T00:00:00.000
72,34,395,73.000000,2020-03-13,2021-03-13,1,1,2026-08-24T00:00:00.000
73,359,329,74.000000,2020-03-14,2021-03-14,1,1,2026-08-24T00:00:00.000
74,297,201,75.000000,2020-03-15,2021-03-15,1,1,2026-08-24T00:00:00.000
75,176,150,76.000000,2020-03-16,2021-03-16,1,1,2026-08-24T00:00:00.000
76,154,333,77.000000,2020-03-17,2021-03-17,1,1,2026-08-24T00:00:00.000
77,151,472,78.000000,2020-03-18,2021-03-18,1,1,2026-08-24T00:00:00.000
78,70,352,79.000000,2020-03-19,2021-03-19,1,1,2026-08-24T00:00:00.000
79,2,200,80.000000,2020-03-20,2021-03-20,1,1,2026-08-24T00:00:00.000
