EnergyProjectMeterPointKey,EnergyEfficiencyProjectKey,EnergyMeterPointKey,BaselineQuantity,TargetReductionQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000
1,44,192,0.8000,0.8000,1,1,2026-08-24T00:00:00.000
2,135,70,1.5000,1.5000,1,1,2026-08-24T00:00:00.000
3,454,164,2.2000,2.2000,1,1,2026-08-24T00:00:00.000
4,454,500,2.9000,2.9000,1,1,2026-08-24T00:00:00.000
5,54,76,3.6000,3.6000,1,1,2026-08-24T00:00:00.000
6,217,83,4.3000,4.3000,1,1,2026-08-24T00:00:00.000
7,140,26,5.0000,5.0000,1,1,2026-08-24T00:00:00.000
8,9,128,5.7000,5.7000,1,1,2026-08-24T00:00:00.000
9,376,226,6.4000,6.4000,1,1,2026-08-24T00:00:00.000
10,116,175,7.1000,7.1000,1,1,2026-08-24T00:00:00.000
11,350,407,7.8000,7.8000,1,1,2026-08-24T00:00:00.000
12,20,500,8.5000,8.5000,1,1,2026-08-24T00:00:00.000
13,102,486,9.2000,9.2000,1,1,2026-08-24T00:00:00.000
14,107,406,9.9000,9.9000,1,1,2026-08-24T00:00:00.000
15,408,214,10.6000,10.6000,1,1,2026-08-24T00:00:00.000
16,126,422,11.3000,11.3000,1,1,2026-08-24T00:00:00.000
17,473,373,12.0000,12.0000,1,1,2026-08-24T00:00:00.000
18,210,62,12.7000,12.7000,1,1,2026-08-24T00:00:00.000
19,367,5,13.4000,13.4000,1,1,2026-08-24T00:00:00.000
20,435,234,14.1000,14.1000,1,1,2026-08-24T00:00:00.000
21,13,307,14.8000,14.8000,1,1,2026-08-24T00:00:00.000
22,245,219,15.5000,15.5000,1,1,2026-08-24T00:00:00.000
23,222,331,16.2000,16.2000,1,1,2026-08-24T00:00:00.000
24,253,243,16.9000,16.9000,1,1,2026-08-24T00:00:00.000
25,154,122,17.6000,17.6000,1,1,2026-08-24T00:00:00.000
26,287,311,18.3000,18.3000,1,1,2026-08-24T00:00:00.000
27,239,177,19.0000,19.0000,1,1,2026-08-24T00:00:00.000
28,314,97,19.7000,19.7000,1,1,2026-08-24T00:00:00.000
29,239,281,20.4000,20.4000,1,1,2026-08-24T00:00:00.000
30,130,111,21.1000,21.1000,1,1,2026-08-24T00:00:00.000
31,251,390,21.8000,21.8000,1,1,2026-08-24T00:00:00.000
32,386,423,22.5000,22.5000,1,1,2026-08-24T00:00:00.000
33,443,101,23.2000,23.2000,1,1,2026-08-24T00:00:00.000
34,267,377,23.9000,23.9000,1,1,2026-08-24T00:00:00.000
35,111,228,24.6000,24.6000,1,1,2026-08-24T00:00:00.000
36,193,93,25.3000,25.3000,1,1,2026-08-24T00:00:00.000
37,322,260,26.0000,26.0000,1,1,2026-08-24T00:00:00.000
38,174,351,26.7000,26.7000,1,1,2026-08-24T00:00:00.000
39,320,292,27.4000,27.4000,1,1,2026-08-24T00:00:00.000
40,306,155,28.1000,28.1000,1,1,2026-08-24T00:00:00.000
41,63,465,28.8000,28.8000,1,1,2026-08-24T00:00:00.000
42,177,402,29.5000,29.5000,1,1,2026-08-24T00:00:00.000
43,234,154,30.2000,30.2000,1,1,2026-08-24T00:00:00.000
44,429,37,30.9000,30.9000,1,1,2026-08-24T00:00:00.000
45,348,345,31.6000,31.6000,1,1,2026-08-24T00:00:00.000
