EngineeringChangeAffectedItemKey,EngineeringChangeOrderKey,EngineeringPartRevisionKey,EngineeringCadDocumentKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,102,485,124,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,459,42,490,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,338,310,262,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,186,323,171,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,396,479,56,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,409,345,387,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,470,89,352,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,430,31,245,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,396,255,307,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,136,309,461,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,435,283,434,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,426,499,187,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,366,251,169,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,18,256,17,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,174,391,431,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,193,298,326,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,6,222,294,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,304,363,268,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,234,494,214,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,228,236,20,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,234,337,180,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,477,230,102,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,350,416,148,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,310,445,64,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,168,329,386,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,241,277,236,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,309,174,323,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,352,104,63,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,215,177,77,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,39,462,232,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,245,388,314,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,320,325,185,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,374,224,247,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,173,4,352,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,282,24,424,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,169,406,263,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,171,332,428,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,32,356,486,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,310,434,267,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,475,260,19,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,441,168,45,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,265,154,326,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,260,466,215,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,288,145,56,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,59,67,21,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,382,383,483,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,494,207,140,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,115,311,256,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,392,384,7,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,21,225,266,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,12,145,392,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,474,187,72,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,205,331,206,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,453,206,404,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,340,43,366,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,123,54,345,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,267,175,334,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,310,448,57,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,41,200,367,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,58,450,211,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,478,232,332,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,399,320,116,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,276,150,10,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,387,276,479,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,339,286,465,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,230,294,34,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,436,432,472,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,360,466,124,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,191,27,245,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,254,128,398,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,53,43,294,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,52,439,89,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,208,97,357,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,119,398,81,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,457,224,407,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,390,396,270,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,402,297,129,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,406,153,25,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,413,351,399,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,286,336,438,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,231,18,165,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,347,446,183,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,332,267,41,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,320,116,275,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,266,325,435,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,2,499,96,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,257,200,251,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,94,5,373,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,277,439,404,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,64,87,335,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,83,193,368,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,16,415,196,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,428,389,328,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,175,492,319,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,415,237,346,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,97,365,330,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,390,163,110,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,278,76,338,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,67,396,56,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,167,40,311,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,159,67,207,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,67,247,161,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,282,470,81,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,70,136,384,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,290,221,311,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,134,48,260,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,288,10,26,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,239,260,178,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,87,148,56,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,166,30,460,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,193,272,216,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,110,356,1,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,214,446,160,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,473,330,88,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,318,294,115,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,57,79,327,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,419,159,484,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,409,388,390,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,348,178,245,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,388,482,395,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,483,425,358,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,346,53,264,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,429,111,160,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,75,126,475,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,479,113,340,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,431,317,15,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,38,102,224,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,302,417,97,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,466,429,452,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,400,190,217,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,344,120,1,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,351,292,221,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,240,369,487,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,271,346,134,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,268,247,344,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,59,240,354,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,395,48,287,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,156,201,106,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,240,179,267,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,400,234,131,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,126,101,152,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,330,433,226,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,97,151,368,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,281,134,349,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,337,304,282,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,447,405,428,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,144,157,476,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,192,146,321,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,403,21,414,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,8,40,450,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,304,488,199,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,434,498,482,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,111,139,247,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,330,392,389,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,275,446,443,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,390,327,268,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,78,415,237,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,223,341,338,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,356,169,100,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,247,351,227,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,361,102,260,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,394,102,276,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,161,473,196,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,202,203,480,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,359,274,356,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,86,211,6,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,200,306,392,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,464,284,291,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,27,193,426,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,131,90,480,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,30,58,266,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,397,10,102,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,180,469,103,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,371,229,121,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,337,206,212,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,483,374,82,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,39,17,280,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,474,170,11,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,235,10,471,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,260,88,216,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,7,345,214,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,12,91,279,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,181,442,56,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,298,155,53,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,208,29,30,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,342,455,374,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,144,197,164,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,269,365,315,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,463,327,482,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,118,7,380,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,6,324,333,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,35,208,272,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,204,298,225,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,241,276,198,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,239,215,458,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,183,380,246,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,137,47,256,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,275,172,88,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
