FinanceCostComponentAllocationKey,FinanceProductCostVersionKey,FinanceCostComponentDetailKey,FinanceCostElementDetailKey,AllocationRatio,ComponentCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,233,498,253,2.000000,11.3700,1,1,2026-08-24T00:00:00.000
2,333,243,25,3.000000,12.7400,1,1,2026-08-24T00:00:00.000
3,280,101,194,4.000000,14.1100,1,1,2026-08-24T00:00:00.000
4,255,100,207,5.000000,15.4800,1,1,2026-08-24T00:00:00.000
5,183,245,419,6.000000,16.8500,1,1,2026-08-24T00:00:00.000
6,24,499,124,7.000000,18.2200,1,1,2026-08-24T00:00:00.000
7,58,433,258,8.000000,19.5900,1,1,2026-08-24T00:00:00.000
8,433,193,340,9.000000,20.9600,1,1,2026-08-24T00:00:00.000
9,113,118,206,10.000000,22.3300,1,1,2026-08-24T00:00:00.000
10,305,126,11,11.000000,23.7000,1,1,2026-08-24T00:00:00.000
11,200,160,113,12.000000,25.0700,1,1,2026-08-24T00:00:00.000
12,38,445,179,13.000000,26.4400,1,1,2026-08-24T00:00:00.000
13,99,162,433,14.000000,27.8100,1,1,2026-08-24T00:00:00.000
14,2,240,92,15.000000,29.1800,1,1,2026-08-24T00:00:00.000
15,69,344,350,16.000000,30.5500,1,1,2026-08-24T00:00:00.000
16,46,379,492,17.000000,31.9200,1,1,2026-08-24T00:00:00.000
17,23,465,356,18.000000,33.2900,1,1,2026-08-24T00:00:00.000
18,11,328,109,19.000000,34.6600,1,1,2026-08-24T00:00:00.000
19,334,25,91,20.000000,36.0300,1,1,2026-08-24T00:00:00.000
20,346,170,138,21.000000,37.4000,1,1,2026-08-24T00:00:00.000
21,167,90,313,22.000000,38.7700,1,1,2026-08-24T00:00:00.000
22,332,400,389,23.000000,40.1400,1,1,2026-08-24T00:00:00.000
23,399,335,344,24.000000,41.5100,1,1,2026-08-24T00:00:00.000
24,48,154,435,25.000000,42.8800,1,1,2026-08-24T00:00:00.000
25,352,457,69,26.000000,44.2500,1,1,2026-08-24T00:00:00.000
26,375,399,360,27.000000,45.6200,1,1,2026-08-24T00:00:00.000
27,332,37,28,28.000000,46.9900,1,1,2026-08-24T00:00:00.000
28,67,377,225,29.000000,48.3600,1,1,2026-08-24T00:00:00.000
