InventoryContainerContentKey,InventoryContainerKey,InventoryLotKey,InventorySerialNumberKey,ContentQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,242,74,330,0.8000,1,1,2026-08-24T00:00:00.000
2,57,139,275,1.5000,1,1,2026-08-24T00:00:00.000
3,190,323,103,2.2000,1,1,2026-08-24T00:00:00.000
4,202,113,9,2.9000,1,1,2026-08-24T00:00:00.000
5,386,166,319,3.6000,1,1,2026-08-24T00:00:00.000
6,447,276,410,4.3000,1,1,2026-08-24T00:00:00.000
7,382,85,115,5.0000,1,1,2026-08-24T00:00:00.000
8,294,249,306,5.7000,1,1,2026-08-24T00:00:00.000
9,134,321,418,6.4000,1,1,2026-08-24T00:00:00.000
10,322,373,418,7.1000,1,1,2026-08-24T00:00:00.000
11,68,28,135,7.8000,1,1,2026-08-24T00:00:00.000
12,377,56,59,8.5000,1,1,2026-08-24T00:00:00.000
13,225,192,160,9.2000,1,1,2026-08-24T00:00:00.000
14,180,306,293,9.9000,1,1,2026-08-24T00:00:00.000
15,221,451,16,10.6000,1,1,2026-08-24T00:00:00.000
16,116,397,127,11.3000,1,1,2026-08-24T00:00:00.000
17,73,-1,-1,12.0000,1,1,2026-08-24T00:00:00.000
18,195,82,238,12.7000,1,1,2026-08-24T00:00:00.000
19,130,52,414,13.4000,1,1,2026-08-24T00:00:00.000
20,487,178,360,14.1000,1,1,2026-08-24T00:00:00.000
21,377,418,218,14.8000,1,1,2026-08-24T00:00:00.000
22,61,94,114,15.5000,1,1,2026-08-24T00:00:00.000
23,132,450,430,16.2000,1,1,2026-08-24T00:00:00.000
24,18,438,57,16.9000,1,1,2026-08-24T00:00:00.000
25,88,458,373,17.6000,1,1,2026-08-24T00:00:00.000
26,376,289,455,18.3000,1,1,2026-08-24T00:00:00.000
27,344,23,86,19.0000,1,1,2026-08-24T00:00:00.000
28,488,169,426,19.7000,1,1,2026-08-24T00:00:00.000
29,335,107,63,20.4000,1,1,2026-08-24T00:00:00.000
30,308,365,447,21.1000,1,1,2026-08-24T00:00:00.000
31,248,95,418,21.8000,1,1,2026-08-24T00:00:00.000
32,177,310,332,22.5000,1,1,2026-08-24T00:00:00.000
33,331,219,163,23.2000,1,1,2026-08-24T00:00:00.000
34,249,-1,-1,23.9000,1,1,2026-08-24T00:00:00.000
35,291,184,476,24.6000,1,1,2026-08-24T00:00:00.000
36,492,104,228,25.3000,1,1,2026-08-24T00:00:00.000
37,453,401,368,26.0000,1,1,2026-08-24T00:00:00.000
38,151,199,367,26.7000,1,1,2026-08-24T00:00:00.000
39,439,455,46,27.4000,1,1,2026-08-24T00:00:00.000
40,80,84,457,28.1000,1,1,2026-08-24T00:00:00.000
41,372,435,24,28.8000,1,1,2026-08-24T00:00:00.000
42,25,34,49,29.5000,1,1,2026-08-24T00:00:00.000
43,19,56,402,30.2000,1,1,2026-08-24T00:00:00.000
44,123,347,179,30.9000,1,1,2026-08-24T00:00:00.000
45,411,168,342,31.6000,1,1,2026-08-24T00:00:00.000
46,376,424,284,32.3000,1,1,2026-08-24T00:00:00.000
47,275,400,88,33.0000,1,1,2026-08-24T00:00:00.000
48,125,136,141,33.7000,1,1,2026-08-24T00:00:00.000
49,22,79,124,34.4000,1,1,2026-08-24T00:00:00.000
50,65,213,272,35.1000,1,1,2026-08-24T00:00:00.000
51,126,-1,-1,35.8000,1,1,2026-08-24T00:00:00.000
52,345,102,283,36.5000,1,1,2026-08-24T00:00:00.000
53,106,29,161,37.2000,1,1,2026-08-24T00:00:00.000
54,59,150,44,37.9000,1,1,2026-08-24T00:00:00.000
55,73,2,460,38.6000,1,1,2026-08-24T00:00:00.000
56,473,362,391,39.3000,1,1,2026-08-24T00:00:00.000
57,419,26,417,40.0000,1,1,2026-08-24T00:00:00.000
58,271,237,474,40.7000,1,1,2026-08-24T00:00:00.000
59,269,288,422,41.4000,1,1,2026-08-24T00:00:00.000
60,167,384,3,42.1000,1,1,2026-08-24T00:00:00.000
61,477,17,319,42.8000,1,1,2026-08-24T00:00:00.000
62,64,89,272,43.5000,1,1,2026-08-24T00:00:00.000
63,197,147,104,44.2000,1,1,2026-08-24T00:00:00.000
64,292,274,111,44.9000,1,1,2026-08-24T00:00:00.000
65,343,42,176,45.6000,1,1,2026-08-24T00:00:00.000
66,473,149,488,46.3000,1,1,2026-08-24T00:00:00.000
67,319,275,243,47.0000,1,1,2026-08-24T00:00:00.000
68,261,-1,-1,47.7000,1,1,2026-08-24T00:00:00.000
69,425,150,409,48.4000,1,1,2026-08-24T00:00:00.000
70,172,295,173,49.1000,1,1,2026-08-24T00:00:00.000
71,451,42,114,49.8000,1,1,2026-08-24T00:00:00.000
72,448,196,162,50.5000,1,1,2026-08-24T00:00:00.000
73,398,269,262,51.2000,1,1,2026-08-24T00:00:00.000
74,452,488,88,51.9000,1,1,2026-08-24T00:00:00.000
75,228,94,483,52.6000,1,1,2026-08-24T00:00:00.000
76,479,103,157,53.3000,1,1,2026-08-24T00:00:00.000
77,488,33,184,54.0000,1,1,2026-08-24T00:00:00.000
78,73,50,368,54.7000,1,1,2026-08-24T00:00:00.000
79,6,9,54,55.4000,1,1,2026-08-24T00:00:00.000
80,170,396,445,56.1000,1,1,2026-08-24T00:00:00.000
81,81,178,301,56.8000,1,1,2026-08-24T00:00:00.000
82,392,328,359,57.5000,1,1,2026-08-24T00:00:00.000
83,36,190,424,58.2000,1,1,2026-08-24T00:00:00.000
84,435,458,244,58.9000,1,1,2026-08-24T00:00:00.000
85,482,-1,-1,59.6000,1,1,2026-08-24T00:00:00.000
86,61,452,38,60.3000,1,1,2026-08-24T00:00:00.000
87,408,121,131,61.0000,1,1,2026-08-24T00:00:00.000
88,371,472,319,61.7000,1,1,2026-08-24T00:00:00.000
89,51,158,366,62.4000,1,1,2026-08-24T00:00:00.000
90,434,15,72,63.1000,1,1,2026-08-24T00:00:00.000
91,134,213,160,63.8000,1,1,2026-08-24T00:00:00.000
92,275,495,424,64.5000,1,1,2026-08-24T00:00:00.000
93,186,194,313,65.2000,1,1,2026-08-24T00:00:00.000
94,5,167,495,65.9000,1,1,2026-08-24T00:00:00.000
95,99,106,55,66.6000,1,1,2026-08-24T00:00:00.000
96,144,348,362,67.3000,1,1,2026-08-24T00:00:00.000
97,176,198,173,68.0000,1,1,2026-08-24T00:00:00.000
98,456,93,170,68.7000,1,1,2026-08-24T00:00:00.000
99,436,218,242,69.4000,1,1,2026-08-24T00:00:00.000
100,280,488,86,70.1000,1,1,2026-08-24T00:00:00.000
101,247,416,44,70.8000,1,1,2026-08-24T00:00:00.000
102,3,-1,-1,71.5000,1,1,2026-08-24T00:00:00.000
103,495,279,116,72.2000,1,1,2026-08-24T00:00:00.000
104,460,283,447,72.9000,1,1,2026-08-24T00:00:00.000
