InventoryLotBinAssignmentKey,InventoryLotKey,InventoryBinKey,InventoryStockStatusKey,AssignedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,94,85,6,0.8000,1,1,2026-08-24T00:00:00.000
2,366,208,10,1.5000,1,1,2026-08-24T00:00:00.000
3,389,132,8,2.2000,1,1,2026-08-24T00:00:00.000
4,124,329,1,2.9000,1,1,2026-08-24T00:00:00.000
5,476,26,1,3.6000,1,1,2026-08-24T00:00:00.000
6,310,477,6,4.3000,1,1,2026-08-24T00:00:00.000
7,429,404,10,5.0000,1,1,2026-08-24T00:00:00.000
8,175,50,9,5.7000,1,1,2026-08-24T00:00:00.000
9,419,45,5,6.4000,1,1,2026-08-24T00:00:00.000
10,158,26,5,7.1000,1,1,2026-08-24T00:00:00.000
11,432,415,5,7.8000,1,1,2026-08-24T00:00:00.000
12,131,2,2,8.5000,1,1,2026-08-24T00:00:00.000
13,492,99,10,9.2000,1,1,2026-08-24T00:00:00.000
14,328,378,10,9.9000,1,1,2026-08-24T00:00:00.000
15,262,328,4,10.6000,1,1,2026-08-24T00:00:00.000
16,270,445,5,11.3000,1,1,2026-08-24T00:00:00.000
17,450,59,9,12.0000,1,1,2026-08-24T00:00:00.000
18,298,120,10,12.7000,1,1,2026-08-24T00:00:00.000
19,280,358,10,13.4000,1,1,2026-08-24T00:00:00.000
20,186,313,5,14.1000,1,1,2026-08-24T00:00:00.000
21,81,262,4,14.8000,1,1,2026-08-24T00:00:00.000
22,295,63,2,15.5000,1,1,2026-08-24T00:00:00.000
23,437,403,4,16.2000,1,1,2026-08-24T00:00:00.000
24,242,362,9,16.9000,1,1,2026-08-24T00:00:00.000
25,26,314,3,17.6000,1,1,2026-08-24T00:00:00.000
26,359,329,4,18.3000,1,1,2026-08-24T00:00:00.000
27,53,464,6,19.0000,1,1,2026-08-24T00:00:00.000
28,223,361,7,19.7000,1,1,2026-08-24T00:00:00.000
29,243,188,3,20.4000,1,1,2026-08-24T00:00:00.000
30,149,62,9,21.1000,1,1,2026-08-24T00:00:00.000
31,131,402,6,21.8000,1,1,2026-08-24T00:00:00.000
32,481,69,7,22.5000,1,1,2026-08-24T00:00:00.000
33,363,29,1,23.2000,1,1,2026-08-24T00:00:00.000
34,369,88,8,23.9000,1,1,2026-08-24T00:00:00.000
35,379,340,4,24.6000,1,1,2026-08-24T00:00:00.000
36,260,35,7,25.3000,1,1,2026-08-24T00:00:00.000
37,459,433,7,26.0000,1,1,2026-08-24T00:00:00.000
38,326,110,3,26.7000,1,1,2026-08-24T00:00:00.000
39,240,411,4,27.4000,1,1,2026-08-24T00:00:00.000
40,286,181,1,28.1000,1,1,2026-08-24T00:00:00.000
41,99,184,2,28.8000,1,1,2026-08-24T00:00:00.000
42,372,307,6,29.5000,1,1,2026-08-24T00:00:00.000
43,232,140,8,30.2000,1,1,2026-08-24T00:00:00.000
44,1,194,2,30.9000,1,1,2026-08-24T00:00:00.000
45,98,260,10,31.6000,1,1,2026-08-24T00:00:00.000
46,448,379,9,32.3000,1,1,2026-08-24T00:00:00.000
47,458,345,8,33.0000,1,1,2026-08-24T00:00:00.000
48,273,162,1,33.7000,1,1,2026-08-24T00:00:00.000
49,420,469,3,34.4000,1,1,2026-08-24T00:00:00.000
50,495,120,3,35.1000,1,1,2026-08-24T00:00:00.000
51,281,310,3,35.8000,1,1,2026-08-24T00:00:00.000
52,181,391,7,36.5000,1,1,2026-08-24T00:00:00.000
53,342,211,7,37.2000,1,1,2026-08-24T00:00:00.000
54,145,49,9,37.9000,1,1,2026-08-24T00:00:00.000
55,237,346,4,38.6000,1,1,2026-08-24T00:00:00.000
56,483,369,4,39.3000,1,1,2026-08-24T00:00:00.000
57,269,15,7,40.0000,1,1,2026-08-24T00:00:00.000
58,286,140,7,40.7000,1,1,2026-08-24T00:00:00.000
59,319,135,5,41.4000,1,1,2026-08-24T00:00:00.000
60,311,184,5,42.1000,1,1,2026-08-24T00:00:00.000
61,44,71,5,42.8000,1,1,2026-08-24T00:00:00.000
62,260,311,2,43.5000,1,1,2026-08-24T00:00:00.000
63,439,220,9,44.2000,1,1,2026-08-24T00:00:00.000
64,211,289,7,44.9000,1,1,2026-08-24T00:00:00.000
65,220,432,8,45.6000,1,1,2026-08-24T00:00:00.000
66,61,380,2,46.3000,1,1,2026-08-24T00:00:00.000
67,469,328,6,47.0000,1,1,2026-08-24T00:00:00.000
68,216,491,5,47.7000,1,1,2026-08-24T00:00:00.000
69,384,104,3,48.4000,1,1,2026-08-24T00:00:00.000
70,60,101,6,49.1000,1,1,2026-08-24T00:00:00.000
71,27,95,3,49.8000,1,1,2026-08-24T00:00:00.000
72,305,481,6,50.5000,1,1,2026-08-24T00:00:00.000
73,98,125,5,51.2000,1,1,2026-08-24T00:00:00.000
74,209,242,9,51.9000,1,1,2026-08-24T00:00:00.000
75,215,230,6,52.6000,1,1,2026-08-24T00:00:00.000
76,243,48,5,53.3000,1,1,2026-08-24T00:00:00.000
77,302,203,9,54.0000,1,1,2026-08-24T00:00:00.000
78,451,54,10,54.7000,1,1,2026-08-24T00:00:00.000
79,28,413,2,55.4000,1,1,2026-08-24T00:00:00.000
80,287,428,7,56.1000,1,1,2026-08-24T00:00:00.000
81,222,23,9,56.8000,1,1,2026-08-24T00:00:00.000
82,414,278,6,57.5000,1,1,2026-08-24T00:00:00.000
83,163,217,8,58.2000,1,1,2026-08-24T00:00:00.000
84,383,106,9,58.9000,1,1,2026-08-24T00:00:00.000
85,108,157,1,59.6000,1,1,2026-08-24T00:00:00.000
86,500,230,4,60.3000,1,1,2026-08-24T00:00:00.000
87,462,496,3,61.0000,1,1,2026-08-24T00:00:00.000
88,335,272,2,61.7000,1,1,2026-08-24T00:00:00.000
89,425,411,6,62.4000,1,1,2026-08-24T00:00:00.000
90,74,276,3,63.1000,1,1,2026-08-24T00:00:00.000
91,174,494,1,63.8000,1,1,2026-08-24T00:00:00.000
92,395,493,4,64.5000,1,1,2026-08-24T00:00:00.000
93,152,406,7,65.2000,1,1,2026-08-24T00:00:00.000
94,79,90,2,65.9000,1,1,2026-08-24T00:00:00.000
95,484,246,6,66.6000,1,1,2026-08-24T00:00:00.000
96,267,372,5,67.3000,1,1,2026-08-24T00:00:00.000
97,37,193,2,68.0000,1,1,2026-08-24T00:00:00.000
98,359,331,9,68.7000,1,1,2026-08-24T00:00:00.000
99,479,308,10,69.4000,1,1,2026-08-24T00:00:00.000
100,157,476,5,70.1000,1,1,2026-08-24T00:00:00.000
101,227,367,9,70.8000,1,1,2026-08-24T00:00:00.000
102,266,317,5,71.5000,1,1,2026-08-24T00:00:00.000
103,420,250,2,72.2000,1,1,2026-08-24T00:00:00.000
104,439,160,9,72.9000,1,1,2026-08-24T00:00:00.000
105,471,216,2,73.6000,1,1,2026-08-24T00:00:00.000
106,181,273,10,74.3000,1,1,2026-08-24T00:00:00.000
107,433,185,9,75.0000,1,1,2026-08-24T00:00:00.000
108,348,260,8,75.7000,1,1,2026-08-24T00:00:00.000
109,356,318,2,76.4000,1,1,2026-08-24T00:00:00.000
110,182,469,6,77.1000,1,1,2026-08-24T00:00:00.000
111,495,140,8,77.8000,1,1,2026-08-24T00:00:00.000
112,145,101,6,78.5000,1,1,2026-08-24T00:00:00.000
113,404,439,8,79.2000,1,1,2026-08-24T00:00:00.000
114,384,55,10,79.9000,1,1,2026-08-24T00:00:00.000
115,138,201,4,80.6000,1,1,2026-08-24T00:00:00.000
116,104,9,8,81.3000,1,1,2026-08-24T00:00:00.000
117,493,244,2,82.0000,1,1,2026-08-24T00:00:00.000
118,59,473,8,82.7000,1,1,2026-08-24T00:00:00.000
119,436,150,3,83.4000,1,1,2026-08-24T00:00:00.000
120,434,420,7,84.1000,1,1,2026-08-24T00:00:00.000
121,445,211,4,84.8000,1,1,2026-08-24T00:00:00.000
122,392,330,4,85.5000,1,1,2026-08-24T00:00:00.000
123,244,123,8,86.2000,1,1,2026-08-24T00:00:00.000
124,380,354,6,86.9000,1,1,2026-08-24T00:00:00.000
125,65,429,1,87.6000,1,1,2026-08-24T00:00:00.000
126,17,461,6,88.3000,1,1,2026-08-24T00:00:00.000
127,383,362,9,89.0000,1,1,2026-08-24T00:00:00.000
128,305,178,2,89.7000,1,1,2026-08-24T00:00:00.000
129,68,189,5,90.4000,1,1,2026-08-24T00:00:00.000
130,459,481,3,91.1000,1,1,2026-08-24T00:00:00.000
131,111,270,3,91.8000,1,1,2026-08-24T00:00:00.000
132,465,499,9,92.5000,1,1,2026-08-24T00:00:00.000
133,53,187,4,93.2000,1,1,2026-08-24T00:00:00.000
134,359,121,10,93.9000,1,1,2026-08-24T00:00:00.000
135,403,39,9,94.6000,1,1,2026-08-24T00:00:00.000
136,310,307,2,95.3000,1,1,2026-08-24T00:00:00.000
137,61,374,6,96.0000,1,1,2026-08-24T00:00:00.000
138,393,373,2,96.7000,1,1,2026-08-24T00:00:00.000
139,38,32,1,97.4000,1,1,2026-08-24T00:00:00.000
140,44,276,3,98.1000,1,1,2026-08-24T00:00:00.000
141,340,263,3,98.8000,1,1,2026-08-24T00:00:00.000
142,224,421,9,99.5000,1,1,2026-08-24T00:00:00.000
143,438,173,4,100.2000,1,1,2026-08-24T00:00:00.000
144,421,161,9,100.9000,1,1,2026-08-24T00:00:00.000
145,486,192,9,101.6000,1,1,2026-08-24T00:00:00.000
146,460,104,8,102.3000,1,1,2026-08-24T00:00:00.000
147,222,96,2,103.0000,1,1,2026-08-24T00:00:00.000
148,87,102,6,103.7000,1,1,2026-08-24T00:00:00.000
149,52,181,7,104.4000,1,1,2026-08-24T00:00:00.000
150,126,371,10,105.1000,1,1,2026-08-24T00:00:00.000
151,301,266,5,105.8000,1,1,2026-08-24T00:00:00.000
152,180,264,1,106.5000,1,1,2026-08-24T00:00:00.000
153,244,482,2,107.2000,1,1,2026-08-24T00:00:00.000
154,11,108,3,107.9000,1,1,2026-08-24T00:00:00.000
155,108,184,1,108.6000,1,1,2026-08-24T00:00:00.000
156,167,160,9,109.3000,1,1,2026-08-24T00:00:00.000
157,371,297,10,110.0000,1,1,2026-08-24T00:00:00.000
158,75,150,10,110.7000,1,1,2026-08-24T00:00:00.000
159,166,317,4,111.4000,1,1,2026-08-24T00:00:00.000
160,224,320,10,112.1000,1,1,2026-08-24T00:00:00.000
161,215,473,8,112.8000,1,1,2026-08-24T00:00:00.000
162,5,75,1,113.5000,1,1,2026-08-24T00:00:00.000
163,226,235,7,114.2000,1,1,2026-08-24T00:00:00.000
164,347,436,5,114.9000,1,1,2026-08-24T00:00:00.000
165,314,408,9,115.6000,1,1,2026-08-24T00:00:00.000
166,335,392,7,116.3000,1,1,2026-08-24T00:00:00.000
167,202,259,3,117.0000,1,1,2026-08-24T00:00:00.000
168,37,52,6,117.7000,1,1,2026-08-24T00:00:00.000
169,213,472,6,118.4000,1,1,2026-08-24T00:00:00.000
170,7,198,5,119.1000,1,1,2026-08-24T00:00:00.000
171,320,169,10,119.8000,1,1,2026-08-24T00:00:00.000
172,333,49,2,120.5000,1,1,2026-08-24T00:00:00.000
173,350,436,4,121.2000,1,1,2026-08-24T00:00:00.000
174,138,375,7,121.9000,1,1,2026-08-24T00:00:00.000
175,78,260,7,122.6000,1,1,2026-08-24T00:00:00.000
176,464,34,10,123.3000,1,1,2026-08-24T00:00:00.000
177,213,171,2,124.0000,1,1,2026-08-24T00:00:00.000
178,314,255,7,124.7000,1,1,2026-08-24T00:00:00.000
179,83,344,5,125.4000,1,1,2026-08-24T00:00:00.000
180,124,61,2,126.1000,1,1,2026-08-24T00:00:00.000
181,135,485,6,126.8000,1,1,2026-08-24T00:00:00.000
182,184,131,3,127.5000,1,1,2026-08-24T00:00:00.000
183,34,441,5,128.2000,1,1,2026-08-24T00:00:00.000
184,363,476,10,128.9000,1,1,2026-08-24T00:00:00.000
185,195,188,9,129.6000,1,1,2026-08-24T00:00:00.000
186,283,213,5,130.3000,1,1,2026-08-24T00:00:00.000
187,414,187,2,131.0000,1,1,2026-08-24T00:00:00.000
188,303,292,2,131.7000,1,1,2026-08-24T00:00:00.000
189,180,4,3,132.4000,1,1,2026-08-24T00:00:00.000
190,165,25,8,133.1000,1,1,2026-08-24T00:00:00.000
191,388,305,5,133.8000,1,1,2026-08-24T00:00:00.000
192,345,480,10,134.5000,1,1,2026-08-24T00:00:00.000
193,424,77,2,135.2000,1,1,2026-08-24T00:00:00.000
194,176,99,1,135.9000,1,1,2026-08-24T00:00:00.000
195,225,166,10,136.6000,1,1,2026-08-24T00:00:00.000
