InventorySerialBinAssignmentKey,InventorySerialNumberKey,InventoryBinKey,InventoryContainerKey,InventoryStockStatusKey,AssignmentSequenceNumber,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,-1,0,-1,0,1900-01-01T00:00:00.000
1,413,469,377,1,1,1,1,2026-08-24T00:00:00.000
2,434,306,444,5,2,1,1,2026-08-24T00:00:00.000
3,271,203,212,8,3,1,1,2026-08-24T00:00:00.000
4,487,292,485,7,4,1,1,2026-08-24T00:00:00.000
5,276,411,407,2,5,1,1,2026-08-24T00:00:00.000
6,151,426,187,8,6,1,1,2026-08-24T00:00:00.000
7,155,283,253,4,7,1,1,2026-08-24T00:00:00.000
8,436,473,317,2,8,1,1,2026-08-24T00:00:00.000
9,424,380,309,10,9,1,1,2026-08-24T00:00:00.000
10,115,156,423,1,10,1,1,2026-08-24T00:00:00.000
11,243,316,63,6,11,1,1,2026-08-24T00:00:00.000
12,80,444,68,1,12,1,1,2026-08-24T00:00:00.000
13,68,58,281,9,13,1,1,2026-08-24T00:00:00.000
14,84,206,431,3,14,1,1,2026-08-24T00:00:00.000
15,92,294,453,6,15,1,1,2026-08-24T00:00:00.000
16,371,200,165,3,16,1,1,2026-08-24T00:00:00.000
17,125,332,-1,7,17,1,1,2026-08-24T00:00:00.000
18,166,287,418,8,18,1,1,2026-08-24T00:00:00.000
19,231,259,242,6,19,1,1,2026-08-24T00:00:00.000
20,306,226,170,9,20,1,1,2026-08-24T00:00:00.000
21,67,248,457,4,21,1,1,2026-08-24T00:00:00.000
22,381,265,221,3,22,1,1,2026-08-24T00:00:00.000
23,105,383,401,2,23,1,1,2026-08-24T00:00:00.000
24,175,32,499,8,24,1,1,2026-08-24T00:00:00.000
25,190,173,69,7,25,1,1,2026-08-24T00:00:00.000
26,470,58,377,1,26,1,1,2026-08-24T00:00:00.000
27,194,460,114,9,27,1,1,2026-08-24T00:00:00.000
28,152,109,36,2,28,1,1,2026-08-24T00:00:00.000
29,250,391,174,10,29,1,1,2026-08-24T00:00:00.000
30,69,186,66,2,30,1,1,2026-08-24T00:00:00.000
31,420,226,444,8,31,1,1,2026-08-24T00:00:00.000
32,487,381,371,5,32,1,1,2026-08-24T00:00:00.000
33,266,342,255,4,33,1,1,2026-08-24T00:00:00.000
34,426,411,-1,4,34,1,1,2026-08-24T00:00:00.000
35,451,322,221,7,35,1,1,2026-08-24T00:00:00.000
36,199,7,74,10,36,1,1,2026-08-24T00:00:00.000
37,96,103,319,7,37,1,1,2026-08-24T00:00:00.000
38,47,281,320,1,38,1,1,2026-08-24T00:00:00.000
39,283,464,195,1,39,1,1,2026-08-24T00:00:00.000
40,291,153,178,6,40,1,1,2026-08-24T00:00:00.000
41,8,245,486,6,41,1,1,2026-08-24T00:00:00.000
42,134,269,162,10,42,1,1,2026-08-24T00:00:00.000
43,409,88,416,9,43,1,1,2026-08-24T00:00:00.000
44,269,367,137,9,44,1,1,2026-08-24T00:00:00.000
45,186,448,220,10,45,1,1,2026-08-24T00:00:00.000
46,318,405,430,8,46,1,1,2026-08-24T00:00:00.000
47,404,320,330,10,47,1,1,2026-08-24T00:00:00.000
48,113,98,492,9,48,1,1,2026-08-24T00:00:00.000
49,166,77,107,7,49,1,1,2026-08-24T00:00:00.000
50,163,325,126,1,50,1,1,2026-08-24T00:00:00.000
51,204,468,-1,1,51,1,1,2026-08-24T00:00:00.000
52,279,148,349,1,52,1,1,2026-08-24T00:00:00.000
53,281,292,489,10,53,1,1,2026-08-24T00:00:00.000
54,3,495,36,7,54,1,1,2026-08-24T00:00:00.000
55,29,200,386,8,55,1,1,2026-08-24T00:00:00.000
56,202,405,206,5,56,1,1,2026-08-24T00:00:00.000
57,429,161,175,10,57,1,1,2026-08-24T00:00:00.000
58,136,330,423,9,58,1,1,2026-08-24T00:00:00.000
59,346,20,249,4,59,1,1,2026-08-24T00:00:00.000
60,166,67,448,8,60,1,1,2026-08-24T00:00:00.000
61,211,26,448,2,61,1,1,2026-08-24T00:00:00.000
62,143,108,139,1,62,1,1,2026-08-24T00:00:00.000
63,69,411,318,6,63,1,1,2026-08-24T00:00:00.000
64,266,99,117,10,64,1,1,2026-08-24T00:00:00.000
65,13,366,401,8,65,1,1,2026-08-24T00:00:00.000
66,353,382,461,4,66,1,1,2026-08-24T00:00:00.000
67,77,182,428,9,67,1,1,2026-08-24T00:00:00.000
