LaborEmployeeCertificationKey,EmployeeKey,LaborCertificationKey,RecordStatusKey,IssuedDate,ExpirationDate,CertificationScore,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,1900-01-01,1900-01-01,0.00,-1,0,1900-01-01T00:00:00.000
1,127,440,3,2020-01-02,2020-01-02,2.00,1,1,2026-08-24T00:00:00.000
2,278,405,2,2020-01-03,2020-01-03,3.00,1,1,2026-08-24T00:00:00.000
3,215,82,2,2020-01-04,2020-01-04,4.00,1,1,2026-08-24T00:00:00.000
4,297,188,4,2020-01-05,2020-01-05,5.00,1,1,2026-08-24T00:00:00.000
5,47,216,2,2020-01-06,2020-01-06,6.00,1,1,2026-08-24T00:00:00.000
6,19,407,1,2020-01-07,2020-01-07,7.00,1,1,2026-08-24T00:00:00.000
7,49,478,2,2020-01-08,2020-01-08,8.00,1,1,2026-08-24T00:00:00.000
8,318,21,2,2020-01-09,2020-01-09,9.00,1,1,2026-08-24T00:00:00.000
9,413,194,3,2020-01-10,2020-01-10,10.00,1,1,2026-08-24T00:00:00.000
10,213,341,3,2020-01-11,2020-01-11,11.00,1,1,2026-08-24T00:00:00.000
11,17,434,1,2020-01-12,2020-01-12,12.00,1,1,2026-08-24T00:00:00.000
12,167,191,3,2020-01-13,2020-01-13,13.00,1,1,2026-08-24T00:00:00.000
13,148,246,2,2020-01-14,2020-01-14,14.00,1,1,2026-08-24T00:00:00.000
14,300,328,3,2020-01-15,2020-01-15,15.00,1,1,2026-08-24T00:00:00.000
15,427,417,2,2020-01-16,2020-01-16,16.00,1,1,2026-08-24T00:00:00.000
16,82,407,3,2020-01-17,2020-01-17,17.00,1,1,2026-08-24T00:00:00.000
17,454,173,4,2020-01-18,2020-01-18,18.00,1,1,2026-08-24T00:00:00.000
18,58,266,2,2020-01-19,2020-01-19,19.00,1,1,2026-08-24T00:00:00.000
19,325,460,1,2020-01-20,2020-01-20,20.00,1,1,2026-08-24T00:00:00.000
20,384,479,1,2020-01-21,2020-01-21,21.00,1,1,2026-08-24T00:00:00.000
21,267,249,3,2020-01-22,2020-01-22,22.00,1,1,2026-08-24T00:00:00.000
22,459,346,3,2020-01-23,2020-01-23,23.00,1,1,2026-08-24T00:00:00.000
23,246,59,1,2020-01-24,2020-01-24,24.00,1,1,2026-08-24T00:00:00.000
24,154,417,4,2020-01-25,2020-01-25,25.00,1,1,2026-08-24T00:00:00.000
25,312,107,3,2020-01-26,2020-01-26,26.00,1,1,2026-08-24T00:00:00.000
26,49,489,2,2020-01-27,2020-01-27,27.00,1,1,2026-08-24T00:00:00.000
27,94,394,1,2020-01-28,2020-01-28,28.00,1,1,2026-08-24T00:00:00.000
28,405,40,2,2020-01-29,2020-01-29,29.00,1,1,2026-08-24T00:00:00.000
29,282,356,1,2020-01-30,2020-01-30,30.00,1,1,2026-08-24T00:00:00.000
30,451,121,4,2020-01-31,2020-01-31,31.00,1,1,2026-08-24T00:00:00.000
31,72,288,3,2020-02-01,2020-02-01,32.00,1,1,2026-08-24T00:00:00.000
32,137,357,2,2020-02-02,2020-02-02,33.00,1,1,2026-08-24T00:00:00.000
33,443,347,3,2020-02-03,2020-02-03,34.00,1,1,2026-08-24T00:00:00.000
34,197,148,2,2020-02-04,2020-02-04,35.00,1,1,2026-08-24T00:00:00.000
35,499,232,1,2020-02-05,2020-02-05,36.00,1,1,2026-08-24T00:00:00.000
36,240,43,1,2020-02-06,2020-02-06,37.00,1,1,2026-08-24T00:00:00.000
37,259,347,4,2020-02-07,2020-02-07,38.00,1,1,2026-08-24T00:00:00.000
38,357,73,2,2020-02-08,2020-02-08,39.00,1,1,2026-08-24T00:00:00.000
39,192,254,3,2020-02-09,2020-02-09,40.00,1,1,2026-08-24T00:00:00.000
40,401,438,1,2020-02-10,2020-02-10,41.00,1,1,2026-08-24T00:00:00.000
41,100,439,1,2020-02-11,2020-02-11,42.00,1,1,2026-08-24T00:00:00.000
42,196,419,4,2020-02-12,2020-02-12,43.00,1,1,2026-08-24T00:00:00.000
43,368,32,2,2020-02-13,2020-02-13,44.00,1,1,2026-08-24T00:00:00.000
44,277,398,1,2020-02-14,2020-02-14,45.00,1,1,2026-08-24T00:00:00.000
45,225,283,3,2020-02-15,2020-02-15,46.00,1,1,2026-08-24T00:00:00.000
46,334,113,2,2020-02-16,2020-02-16,47.00,1,1,2026-08-24T00:00:00.000
47,372,174,2,2020-02-17,2020-02-17,48.00,1,1,2026-08-24T00:00:00.000
48,73,218,2,2020-02-18,2020-02-18,49.00,1,1,2026-08-24T00:00:00.000
49,443,110,2,2020-02-19,2020-02-19,50.00,1,1,2026-08-24T00:00:00.000
50,184,387,3,2020-02-20,2020-02-20,51.00,1,1,2026-08-24T00:00:00.000
51,133,217,4,2020-02-21,2020-02-21,52.00,1,1,2026-08-24T00:00:00.000
52,2,114,4,2020-02-22,2020-02-22,53.00,1,1,2026-08-24T00:00:00.000
53,291,100,3,2020-02-23,2020-02-23,54.00,1,1,2026-08-24T00:00:00.000
