LogisticsShipmentTariffAssignmentKey,LogisticsShipmentLineKey,LogisticsTariffItemKey,LogisticsCustomsStatusKey,DeclaredQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,98,446,9,0.8000,1,1,2026-08-24T00:00:00.000
2,119,414,1,1.5000,1,1,2026-08-24T00:00:00.000
3,414,302,3,2.2000,1,1,2026-08-24T00:00:00.000
4,365,495,1,2.9000,1,1,2026-08-24T00:00:00.000
5,349,446,8,3.6000,1,1,2026-08-24T00:00:00.000
6,56,183,6,4.3000,1,1,2026-08-24T00:00:00.000
7,192,162,7,5.0000,1,1,2026-08-24T00:00:00.000
8,64,309,3,5.7000,1,1,2026-08-24T00:00:00.000
9,234,422,2,6.4000,1,1,2026-08-24T00:00:00.000
10,425,70,7,7.1000,1,1,2026-08-24T00:00:00.000
11,287,455,2,7.8000,1,1,2026-08-24T00:00:00.000
12,290,499,2,8.5000,1,1,2026-08-24T00:00:00.000
13,476,213,3,9.2000,1,1,2026-08-24T00:00:00.000
14,264,190,8,9.9000,1,1,2026-08-24T00:00:00.000
15,170,291,10,10.6000,1,1,2026-08-24T00:00:00.000
16,374,109,10,11.3000,1,1,2026-08-24T00:00:00.000
17,137,290,9,12.0000,1,1,2026-08-24T00:00:00.000
18,55,70,6,12.7000,1,1,2026-08-24T00:00:00.000
19,189,7,1,13.4000,1,1,2026-08-24T00:00:00.000
20,286,245,4,14.1000,1,1,2026-08-24T00:00:00.000
21,433,190,7,14.8000,1,1,2026-08-24T00:00:00.000
22,246,485,8,15.5000,1,1,2026-08-24T00:00:00.000
23,272,436,8,16.2000,1,1,2026-08-24T00:00:00.000
24,291,359,4,16.9000,1,1,2026-08-24T00:00:00.000
25,108,167,10,17.6000,1,1,2026-08-24T00:00:00.000
26,483,200,10,18.3000,1,1,2026-08-24T00:00:00.000
27,4,120,1,19.0000,1,1,2026-08-24T00:00:00.000
28,283,26,5,19.7000,1,1,2026-08-24T00:00:00.000
29,406,281,4,20.4000,1,1,2026-08-24T00:00:00.000
30,349,161,8,21.1000,1,1,2026-08-24T00:00:00.000
31,2,89,7,21.8000,1,1,2026-08-24T00:00:00.000
32,130,52,6,22.5000,1,1,2026-08-24T00:00:00.000
33,424,108,6,23.2000,1,1,2026-08-24T00:00:00.000
34,148,435,8,23.9000,1,1,2026-08-24T00:00:00.000
35,299,122,2,24.6000,1,1,2026-08-24T00:00:00.000
36,75,252,7,25.3000,1,1,2026-08-24T00:00:00.000
37,203,218,10,26.0000,1,1,2026-08-24T00:00:00.000
38,434,270,10,26.7000,1,1,2026-08-24T00:00:00.000
39,14,31,4,27.4000,1,1,2026-08-24T00:00:00.000
40,417,282,10,28.1000,1,1,2026-08-24T00:00:00.000
41,457,3,8,28.8000,1,1,2026-08-24T00:00:00.000
42,384,497,1,29.5000,1,1,2026-08-24T00:00:00.000
43,221,174,9,30.2000,1,1,2026-08-24T00:00:00.000
44,444,203,2,30.9000,1,1,2026-08-24T00:00:00.000
45,178,340,4,31.6000,1,1,2026-08-24T00:00:00.000
46,97,231,1,32.3000,1,1,2026-08-24T00:00:00.000
47,183,36,7,33.0000,1,1,2026-08-24T00:00:00.000
48,197,90,3,33.7000,1,1,2026-08-24T00:00:00.000
49,248,12,10,34.4000,1,1,2026-08-24T00:00:00.000
50,233,478,7,35.1000,1,1,2026-08-24T00:00:00.000
51,447,387,1,35.8000,1,1,2026-08-24T00:00:00.000
52,329,96,2,36.5000,1,1,2026-08-24T00:00:00.000
53,362,480,1,37.2000,1,1,2026-08-24T00:00:00.000
54,193,216,9,37.9000,1,1,2026-08-24T00:00:00.000
55,450,108,2,38.6000,1,1,2026-08-24T00:00:00.000
56,176,95,5,39.3000,1,1,2026-08-24T00:00:00.000
57,71,330,5,40.0000,1,1,2026-08-24T00:00:00.000
58,117,140,1,40.7000,1,1,2026-08-24T00:00:00.000
59,83,95,9,41.4000,1,1,2026-08-24T00:00:00.000
60,11,426,1,42.1000,1,1,2026-08-24T00:00:00.000
61,349,479,6,42.8000,1,1,2026-08-24T00:00:00.000
62,413,328,2,43.5000,1,1,2026-08-24T00:00:00.000
63,241,97,9,44.2000,1,1,2026-08-24T00:00:00.000
64,171,224,9,44.9000,1,1,2026-08-24T00:00:00.000
65,210,259,1,45.6000,1,1,2026-08-24T00:00:00.000
66,73,335,7,46.3000,1,1,2026-08-24T00:00:00.000
67,27,293,9,47.0000,1,1,2026-08-24T00:00:00.000
68,91,187,10,47.7000,1,1,2026-08-24T00:00:00.000
69,455,243,6,48.4000,1,1,2026-08-24T00:00:00.000
70,159,126,3,49.1000,1,1,2026-08-24T00:00:00.000
71,447,233,10,49.8000,1,1,2026-08-24T00:00:00.000
72,256,383,10,50.5000,1,1,2026-08-24T00:00:00.000
73,92,425,10,51.2000,1,1,2026-08-24T00:00:00.000
74,487,412,9,51.9000,1,1,2026-08-24T00:00:00.000
75,8,304,10,52.6000,1,1,2026-08-24T00:00:00.000
76,486,88,9,53.3000,1,1,2026-08-24T00:00:00.000
77,15,257,7,54.0000,1,1,2026-08-24T00:00:00.000
78,149,272,1,54.7000,1,1,2026-08-24T00:00:00.000
79,73,120,7,55.4000,1,1,2026-08-24T00:00:00.000
80,452,40,7,56.1000,1,1,2026-08-24T00:00:00.000
81,410,60,4,56.8000,1,1,2026-08-24T00:00:00.000
82,285,434,8,57.5000,1,1,2026-08-24T00:00:00.000
83,475,56,3,58.2000,1,1,2026-08-24T00:00:00.000
84,327,441,9,58.9000,1,1,2026-08-24T00:00:00.000
85,413,103,6,59.6000,1,1,2026-08-24T00:00:00.000
86,378,327,8,60.3000,1,1,2026-08-24T00:00:00.000
87,280,451,5,61.0000,1,1,2026-08-24T00:00:00.000
88,244,238,8,61.7000,1,1,2026-08-24T00:00:00.000
89,392,453,6,62.4000,1,1,2026-08-24T00:00:00.000
90,474,354,3,63.1000,1,1,2026-08-24T00:00:00.000
91,497,467,9,63.8000,1,1,2026-08-24T00:00:00.000
92,369,110,9,64.5000,1,1,2026-08-24T00:00:00.000
93,116,474,8,65.2000,1,1,2026-08-24T00:00:00.000
94,173,102,1,65.9000,1,1,2026-08-24T00:00:00.000
95,249,496,10,66.6000,1,1,2026-08-24T00:00:00.000
96,121,264,6,67.3000,1,1,2026-08-24T00:00:00.000
97,231,458,7,68.0000,1,1,2026-08-24T00:00:00.000
98,32,428,1,68.7000,1,1,2026-08-24T00:00:00.000
99,196,348,1,69.4000,1,1,2026-08-24T00:00:00.000
100,298,262,3,70.1000,1,1,2026-08-24T00:00:00.000
101,416,365,9,70.8000,1,1,2026-08-24T00:00:00.000
102,104,285,6,71.5000,1,1,2026-08-24T00:00:00.000
103,114,302,5,72.2000,1,1,2026-08-24T00:00:00.000
104,59,346,6,72.9000,1,1,2026-08-24T00:00:00.000
105,304,324,8,73.6000,1,1,2026-08-24T00:00:00.000
106,387,481,8,74.3000,1,1,2026-08-24T00:00:00.000
107,249,53,6,75.0000,1,1,2026-08-24T00:00:00.000
