LogisticsShipmentToDeliveryKey,LogisticsShipmentHeaderKey,LogisticsDeliveryKey,DeliveryQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,375,236,0.8000,1,1,2026-08-24T00:00:00.000
2,15,188,1.5000,1,1,2026-08-24T00:00:00.000
3,292,487,2.2000,1,1,2026-08-24T00:00:00.000
4,132,145,2.9000,1,1,2026-08-24T00:00:00.000
5,158,14,3.6000,1,1,2026-08-24T00:00:00.000
6,361,6,4.3000,1,1,2026-08-24T00:00:00.000
7,117,366,5.0000,1,1,2026-08-24T00:00:00.000
8,54,304,5.7000,1,1,2026-08-24T00:00:00.000
9,320,149,6.4000,1,1,2026-08-24T00:00:00.000
10,143,134,7.1000,1,1,2026-08-24T00:00:00.000
11,324,335,7.8000,1,1,2026-08-24T00:00:00.000
12,61,174,8.5000,1,1,2026-08-24T00:00:00.000
13,420,463,9.2000,1,1,2026-08-24T00:00:00.000
14,236,40,9.9000,1,1,2026-08-24T00:00:00.000
15,309,230,10.6000,1,1,2026-08-24T00:00:00.000
16,68,114,11.3000,1,1,2026-08-24T00:00:00.000
17,493,223,12.0000,1,1,2026-08-24T00:00:00.000
18,148,217,12.7000,1,1,2026-08-24T00:00:00.000
19,217,105,13.4000,1,1,2026-08-24T00:00:00.000
20,461,215,14.1000,1,1,2026-08-24T00:00:00.000
21,392,400,14.8000,1,1,2026-08-24T00:00:00.000
22,270,213,15.5000,1,1,2026-08-24T00:00:00.000
23,85,366,16.2000,1,1,2026-08-24T00:00:00.000
24,327,245,16.9000,1,1,2026-08-24T00:00:00.000
25,487,224,17.6000,1,1,2026-08-24T00:00:00.000
26,313,428,18.3000,1,1,2026-08-24T00:00:00.000
27,256,421,19.0000,1,1,2026-08-24T00:00:00.000
28,326,474,19.7000,1,1,2026-08-24T00:00:00.000
29,245,352,20.4000,1,1,2026-08-24T00:00:00.000
30,69,382,21.1000,1,1,2026-08-24T00:00:00.000
31,316,347,21.8000,1,1,2026-08-24T00:00:00.000
32,154,88,22.5000,1,1,2026-08-24T00:00:00.000
33,190,135,23.2000,1,1,2026-08-24T00:00:00.000
34,284,35,23.9000,1,1,2026-08-24T00:00:00.000
35,351,455,24.6000,1,1,2026-08-24T00:00:00.000
36,288,25,25.3000,1,1,2026-08-24T00:00:00.000
37,432,132,26.0000,1,1,2026-08-24T00:00:00.000
38,465,227,26.7000,1,1,2026-08-24T00:00:00.000
39,15,416,27.4000,1,1,2026-08-24T00:00:00.000
40,117,22,28.1000,1,1,2026-08-24T00:00:00.000
41,437,237,28.8000,1,1,2026-08-24T00:00:00.000
42,61,279,29.5000,1,1,2026-08-24T00:00:00.000
43,232,271,30.2000,1,1,2026-08-24T00:00:00.000
44,295,59,30.9000,1,1,2026-08-24T00:00:00.000
45,16,44,31.6000,1,1,2026-08-24T00:00:00.000
46,151,428,32.3000,1,1,2026-08-24T00:00:00.000
47,57,346,33.0000,1,1,2026-08-24T00:00:00.000
48,343,314,33.7000,1,1,2026-08-24T00:00:00.000
49,207,213,34.4000,1,1,2026-08-24T00:00:00.000
50,145,354,35.1000,1,1,2026-08-24T00:00:00.000
51,423,90,35.8000,1,1,2026-08-24T00:00:00.000
52,260,273,36.5000,1,1,2026-08-24T00:00:00.000
53,141,152,37.2000,1,1,2026-08-24T00:00:00.000
54,113,410,37.9000,1,1,2026-08-24T00:00:00.000
55,166,220,38.6000,1,1,2026-08-24T00:00:00.000
56,417,470,39.3000,1,1,2026-08-24T00:00:00.000
57,463,249,40.0000,1,1,2026-08-24T00:00:00.000
58,178,278,40.7000,1,1,2026-08-24T00:00:00.000
59,107,125,41.4000,1,1,2026-08-24T00:00:00.000
60,12,273,42.1000,1,1,2026-08-24T00:00:00.000
61,71,219,42.8000,1,1,2026-08-24T00:00:00.000
62,150,306,43.5000,1,1,2026-08-24T00:00:00.000
63,359,296,44.2000,1,1,2026-08-24T00:00:00.000
64,179,11,44.9000,1,1,2026-08-24T00:00:00.000
65,41,481,45.6000,1,1,2026-08-24T00:00:00.000
66,357,91,46.3000,1,1,2026-08-24T00:00:00.000
67,500,326,47.0000,1,1,2026-08-24T00:00:00.000
68,154,306,47.7000,1,1,2026-08-24T00:00:00.000
69,53,61,48.4000,1,1,2026-08-24T00:00:00.000
70,244,471,49.1000,1,1,2026-08-24T00:00:00.000
71,424,171,49.8000,1,1,2026-08-24T00:00:00.000
72,482,349,50.5000,1,1,2026-08-24T00:00:00.000
73,46,48,51.2000,1,1,2026-08-24T00:00:00.000
74,14,283,51.9000,1,1,2026-08-24T00:00:00.000
75,433,461,52.6000,1,1,2026-08-24T00:00:00.000
76,474,360,53.3000,1,1,2026-08-24T00:00:00.000
77,214,380,54.0000,1,1,2026-08-24T00:00:00.000
78,241,34,54.7000,1,1,2026-08-24T00:00:00.000
79,372,98,55.4000,1,1,2026-08-24T00:00:00.000
80,95,144,56.1000,1,1,2026-08-24T00:00:00.000
81,468,395,56.8000,1,1,2026-08-24T00:00:00.000
82,388,218,57.5000,1,1,2026-08-24T00:00:00.000
