MachineUtilityAssignmentKey,MachineKey,MachineUtilityMeterKey,MachineUtilityTypeKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,400,83,12,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,203,65,9,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,234,264,1,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,79,224,3,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,232,121,11,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,245,9,2,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,491,401,10,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,475,99,7,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,200,320,9,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,10,53,8,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,312,435,8,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,324,455,11,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,466,337,8,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,153,407,4,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,148,288,8,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,114,327,5,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,270,144,8,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,185,288,11,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,453,108,9,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,4,49,2,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,460,195,6,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,228,52,4,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,197,61,10,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,197,498,2,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,340,69,7,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,152,139,4,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,4,191,9,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,96,324,5,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,362,352,6,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,443,298,2,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,312,109,10,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,8,36,12,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,88,355,6,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,410,293,4,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,82,329,9,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,81,429,7,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,209,130,2,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,414,452,6,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,394,162,1,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,455,222,4,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,277,370,9,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,62,55,10,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,76,191,4,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,311,36,2,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,436,196,5,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,420,368,7,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,2,458,10,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,179,274,11,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,400,285,9,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,12,211,7,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,471,262,2,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,216,299,6,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,69,183,4,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,175,11,10,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,157,64,5,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,486,6,8,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,227,266,6,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,59,482,12,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,70,316,1,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,234,149,9,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,358,196,4,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,197,108,4,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,222,493,8,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,398,118,6,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,109,480,9,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,256,68,5,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,46,151,7,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,400,62,8,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,60,486,1,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,253,454,8,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
