MaintenanceOrderSparePartKey,MaintenanceWorkOrderKey,MaintenanceSparePartKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,95,332,6,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,319,427,2,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,287,189,3,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,133,204,1,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,419,136,4,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,253,498,4,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,475,159,6,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,341,1,7,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,422,205,4,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,276,68,4,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,378,404,5,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,185,88,6,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,328,459,3,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,91,422,4,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,448,216,4,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,384,160,5,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,470,35,3,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,106,246,5,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,229,320,4,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,246,202,5,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,491,458,4,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,203,34,3,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,297,283,1,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,115,200,2,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,339,88,5,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,58,25,2,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,494,253,4,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,220,302,5,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,106,484,7,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,188,55,4,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,371,3,6,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,430,70,1,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,177,333,6,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,146,237,2,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,136,63,4,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,96,403,4,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,86,152,5,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,16,334,6,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,240,41,1,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,418,382,3,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,160,375,5,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,453,47,6,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,443,102,2,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,309,498,7,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,320,44,1,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,77,244,4,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,189,377,5,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,117,372,2,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,337,7,1,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,385,217,3,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,401,483,1,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,191,202,5,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,194,332,5,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,73,431,5,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,1,336,4,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,208,246,2,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,189,81,4,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,349,178,3,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,80,468,2,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,213,313,1,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,179,413,7,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,272,109,1,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,148,247,5,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,131,233,1,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,382,226,5,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,154,70,2,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,429,193,4,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,385,126,4,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,487,282,4,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,387,18,6,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,461,388,3,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,230,226,2,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,179,89,1,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,289,68,2,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,415,19,5,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,431,349,3,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,152,294,5,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,430,33,3,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,243,382,2,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,117,88,5,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,11,474,1,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,138,267,4,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,284,250,7,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,284,242,5,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,209,492,6,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,310,241,5,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,65,245,6,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,362,415,5,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,357,104,5,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,400,151,2,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,77,475,5,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,402,386,6,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,61,236,7,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,75,379,3,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,1,371,7,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,157,232,4,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,145,446,1,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,252,281,5,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,157,215,3,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,439,27,5,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,252,375,5,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,36,452,5,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,112,295,6,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,187,482,6,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,458,198,1,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,373,192,6,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,212,176,7,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,197,136,4,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,93,391,2,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,214,101,6,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,97,367,7,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,281,201,5,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,263,338,6,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,476,1,1,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,19,456,5,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,473,285,3,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,365,469,5,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,186,233,5,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,117,181,4,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,38,13,2,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,261,290,2,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,167,9,2,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,8,367,2,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,402,356,3,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,220,72,4,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,394,498,7,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,29,467,1,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,223,101,6,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,110,32,3,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,462,28,6,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,32,274,6,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,478,495,4,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,415,178,1,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,193,363,4,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,90,82,1,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,230,164,4,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,377,149,3,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,276,239,1,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,403,128,5,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,125,446,6,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,39,5,4,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,355,175,7,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,413,434,5,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,72,93,4,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,248,434,2,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,364,294,4,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,249,253,2,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,283,367,1,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,64,301,2,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,182,2,1,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,243,21,7,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,101,60,5,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,42,478,5,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,279,168,5,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,56,128,5,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,376,118,2,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,58,202,6,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,390,94,7,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,71,349,5,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,453,40,1,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,357,229,4,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,199,106,2,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,332,293,6,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,441,347,5,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,475,190,4,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,214,132,6,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,122,443,4,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,226,358,6,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,340,69,4,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,294,2,7,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,445,45,1,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,76,453,4,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,148,399,7,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,349,317,5,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,249,65,4,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,295,141,2,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,370,380,7,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,307,316,4,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,328,172,7,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,50,299,5,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,203,168,1,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,142,365,4,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,186,257,5,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,255,247,7,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,28,84,3,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,43,216,3,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,83,233,6,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,286,196,2,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,487,357,1,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,362,90,1,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,398,31,6,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,457,452,7,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,321,297,6,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,384,18,4,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,44,146,6,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,484,228,4,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,390,15,1,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,424,23,3,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,453,497,3,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,336,388,3,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,106,130,3,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,78,211,7,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,217,175,2,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,376,73,1,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,218,351,2,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,118,435,6,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,157,18,6,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,420,378,5,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,161,239,6,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,432,331,4,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,338,305,4,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,340,461,6,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,259,286,6,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,496,434,1,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,286,9,6,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,387,257,5,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,313,67,1,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,296,169,3,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,474,88,3,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,133,119,7,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,234,249,4,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,111,292,2,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,12,241,6,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,83,115,3,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,278,281,3,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,282,42,6,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,473,299,1,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,270,59,5,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,42,363,7,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,266,332,5,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,431,491,5,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,82,445,3,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,335,19,2,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,16,257,6,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,459,177,2,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,105,19,1,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,157,401,6,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,158,76,1,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,281,150,3,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
