ProductionLotGenealogyKey,ParentProductionLotKey,ChildProductionLotKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,194,475,3,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,70,496,4,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,66,413,2,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,445,412,5,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,389,143,4,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,379,345,6,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,436,156,2,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,486,150,5,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,173,298,3,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,180,467,6,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,352,222,5,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,262,398,3,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,83,467,2,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,453,409,6,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,337,454,4,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,173,384,2,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,141,491,3,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,476,317,2,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,410,211,6,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,159,119,6,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,182,44,3,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,495,467,7,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,95,132,1,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,169,41,4,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,465,361,7,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,430,19,3,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,97,366,4,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,177,163,2,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,385,422,6,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,455,174,2,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,350,30,3,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,394,62,1,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,380,160,7,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,258,118,5,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,405,278,6,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,231,115,5,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,82,470,7,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,178,375,5,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,195,198,2,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,388,248,6,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,456,354,5,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,310,269,5,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,230,264,6,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,471,493,4,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,173,415,1,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,356,438,1,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,280,207,3,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,358,329,2,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,375,95,7,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,372,26,2,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,367,467,3,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,221,480,1,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,406,193,4,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
