ProductionOperationWorkCenterKey,ProductionOperationKey,WorkCenterKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,375,403,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,371,79,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,374,212,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,439,430,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,26,271,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,102,173,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,163,29,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,8,168,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,23,405,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,293,416,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,140,320,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,119,113,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,208,456,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,119,312,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,379,58,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,100,63,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,191,188,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,452,139,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,433,41,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,37,493,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,83,17,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,81,27,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,266,114,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,483,498,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,483,484,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,103,405,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,478,387,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,462,332,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,145,124,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,202,419,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,463,442,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,255,181,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,388,247,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,49,121,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,81,454,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,157,67,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,456,357,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,445,75,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,207,334,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,499,250,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,286,437,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,110,389,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,89,367,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,135,447,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,157,395,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,455,201,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,159,128,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,33,211,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,472,335,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,166,441,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,29,341,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,196,201,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,493,62,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,355,100,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,190,359,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,337,128,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,473,284,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,421,338,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,487,403,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,347,324,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,500,34,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,224,95,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,427,264,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,342,229,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,138,95,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,58,451,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,88,239,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,200,258,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,22,329,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,445,141,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,232,363,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,257,168,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,375,235,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,390,407,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,227,92,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,45,427,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,34,17,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,112,240,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,448,229,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,200,112,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,201,389,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,14,309,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,86,265,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,178,368,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,414,486,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,1,13,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,414,316,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,441,316,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,195,410,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,214,29,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,479,178,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,192,13,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,78,498,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,248,233,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,449,126,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,125,19,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,372,16,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
