ProductionRunCrewAssignmentKey,ProductionRunKey,ProductionCrewKey,ProductionShiftKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,426,485,339,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,274,240,193,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,471,226,400,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,25,431,399,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,252,297,231,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,294,81,229,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,440,190,158,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,259,485,405,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,253,101,118,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,9,111,397,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,482,62,11,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,329,263,152,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,264,283,232,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,280,340,145,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,264,310,244,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,497,241,492,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,181,281,195,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,165,377,23,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,389,184,35,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,434,140,185,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,194,320,381,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,126,82,203,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,407,66,349,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,85,371,218,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,18,207,402,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,467,256,230,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,467,44,134,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,387,419,61,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,23,4,446,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,140,27,135,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,496,301,126,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,262,433,357,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,463,313,435,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,285,103,298,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,71,337,438,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,99,208,241,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,217,76,110,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,324,101,411,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,441,82,345,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,322,249,394,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,426,234,102,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,179,337,111,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,184,262,11,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,341,206,129,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,129,207,351,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,377,241,54,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,235,324,163,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,354,88,485,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,373,367,204,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,125,378,408,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,198,242,322,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,274,399,444,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
