ProductionWorkOrderEmployeeKey,ProductionWorkOrderKey,EmployeeKey,ProductionCrewRoleKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,397,305,170,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,285,476,14,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,66,37,61,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,334,282,115,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,215,316,205,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,34,112,100,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,340,62,413,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,492,469,69,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,178,79,166,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,135,376,248,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,287,223,87,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,140,29,161,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,265,64,446,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,152,344,48,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,476,144,109,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,311,440,97,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,416,12,78,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,423,402,144,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,93,212,290,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,476,257,168,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,166,194,479,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,231,399,124,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,112,38,368,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,365,188,66,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,190,37,196,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,214,88,266,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,40,77,70,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,252,328,389,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,163,154,477,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,344,484,253,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,62,327,499,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,315,363,449,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,104,363,328,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,291,326,397,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,136,223,358,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,100,198,146,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,342,193,241,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,156,41,450,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,132,483,46,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,384,100,465,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,295,363,126,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,332,135,346,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,65,444,143,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,283,130,236,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,237,67,466,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,240,307,423,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,398,494,33,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,381,320,189,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,452,95,216,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,235,313,212,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,164,308,300,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,185,334,98,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,21,317,343,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,301,426,252,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,208,181,482,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,418,156,171,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,292,458,369,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,287,172,358,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,60,150,497,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,71,204,101,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,281,201,47,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,281,340,228,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,150,190,84,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,330,265,261,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,494,286,171,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,63,321,200,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,365,157,254,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,384,472,373,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,439,400,122,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,480,333,479,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,493,195,173,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,224,359,412,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,355,25,273,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,302,476,409,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,232,431,402,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,135,275,131,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,88,22,11,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,394,320,447,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,386,34,32,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,115,234,294,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,323,307,135,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,165,411,465,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,309,2,242,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,331,68,15,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,58,411,146,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,255,215,264,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,430,492,471,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,460,413,491,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,5,20,475,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,206,61,327,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,275,194,293,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,305,344,467,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,314,326,24,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,15,441,156,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
