PurchaseContractProductAssignmentKey,PurchaseSupplierContractKey,ProductKey,PurchaseCommodityKey,ContractUnitPriceAmount,ContractQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000
1,34,74,41,11.3700,0.8000,1,1,2026-08-24T00:00:00.000
2,102,93,352,12.7400,1.5000,1,1,2026-08-24T00:00:00.000
3,74,122,264,14.1100,2.2000,1,1,2026-08-24T00:00:00.000
4,280,181,449,15.4800,2.9000,1,1,2026-08-24T00:00:00.000
5,309,384,454,16.8500,3.6000,1,1,2026-08-24T00:00:00.000
6,9,198,430,18.2200,4.3000,1,1,2026-08-24T00:00:00.000
7,464,227,182,19.5900,5.0000,1,1,2026-08-24T00:00:00.000
8,47,372,250,20.9600,5.7000,1,1,2026-08-24T00:00:00.000
9,167,191,350,22.3300,6.4000,1,1,2026-08-24T00:00:00.000
10,366,450,491,23.7000,7.1000,1,1,2026-08-24T00:00:00.000
11,251,223,44,25.0700,7.8000,1,1,2026-08-24T00:00:00.000
12,49,47,289,26.4400,8.5000,1,1,2026-08-24T00:00:00.000
13,263,451,106,27.8100,9.2000,1,1,2026-08-24T00:00:00.000
14,441,115,223,29.1800,9.9000,1,1,2026-08-24T00:00:00.000
15,254,24,343,30.5500,10.6000,1,1,2026-08-24T00:00:00.000
16,76,407,422,31.9200,11.3000,1,1,2026-08-24T00:00:00.000
17,435,-1,470,33.2900,12.0000,1,1,2026-08-24T00:00:00.000
18,35,119,147,34.6600,12.7000,1,1,2026-08-24T00:00:00.000
19,316,133,253,36.0300,13.4000,1,1,2026-08-24T00:00:00.000
20,386,400,167,37.4000,14.1000,1,1,2026-08-24T00:00:00.000
21,245,458,404,38.7700,14.8000,1,1,2026-08-24T00:00:00.000
22,345,270,321,40.1400,15.5000,1,1,2026-08-24T00:00:00.000
23,218,270,499,41.5100,16.2000,1,1,2026-08-24T00:00:00.000
24,141,90,204,42.8800,16.9000,1,1,2026-08-24T00:00:00.000
25,470,63,290,44.2500,17.6000,1,1,2026-08-24T00:00:00.000
26,401,201,144,45.6200,18.3000,1,1,2026-08-24T00:00:00.000
27,437,82,115,46.9900,19.0000,1,1,2026-08-24T00:00:00.000
28,384,424,413,48.3600,19.7000,1,1,2026-08-24T00:00:00.000
29,455,246,2,49.7300,20.4000,1,1,2026-08-24T00:00:00.000
30,143,436,372,51.1000,21.1000,1,1,2026-08-24T00:00:00.000
31,181,6,278,52.4700,21.8000,1,1,2026-08-24T00:00:00.000
32,49,2,480,53.8400,22.5000,1,1,2026-08-24T00:00:00.000
33,150,186,212,55.2100,23.2000,1,1,2026-08-24T00:00:00.000
34,395,-1,127,56.5800,23.9000,1,1,2026-08-24T00:00:00.000
35,276,42,288,57.9500,24.6000,1,1,2026-08-24T00:00:00.000
36,347,7,458,59.3200,25.3000,1,1,2026-08-24T00:00:00.000
37,105,101,231,60.6900,26.0000,1,1,2026-08-24T00:00:00.000
38,158,81,340,62.0600,26.7000,1,1,2026-08-24T00:00:00.000
39,266,78,354,63.4300,27.4000,1,1,2026-08-24T00:00:00.000
40,436,216,383,64.8000,28.1000,1,1,2026-08-24T00:00:00.000
41,2,121,492,66.1700,28.8000,1,1,2026-08-24T00:00:00.000
42,301,282,94,67.5400,29.5000,1,1,2026-08-24T00:00:00.000
43,320,214,489,68.9100,30.2000,1,1,2026-08-24T00:00:00.000
44,16,444,167,70.2800,30.9000,1,1,2026-08-24T00:00:00.000
45,145,164,322,71.6500,31.6000,1,1,2026-08-24T00:00:00.000
46,60,449,98,73.0200,32.3000,1,1,2026-08-24T00:00:00.000
47,343,328,55,74.3900,33.0000,1,1,2026-08-24T00:00:00.000
48,176,266,9,75.7600,33.7000,1,1,2026-08-24T00:00:00.000
49,29,216,457,77.1300,34.4000,1,1,2026-08-24T00:00:00.000
50,348,435,216,78.5000,35.1000,1,1,2026-08-24T00:00:00.000
51,9,-1,281,79.8700,35.8000,1,1,2026-08-24T00:00:00.000
52,162,432,205,81.2400,36.5000,1,1,2026-08-24T00:00:00.000
53,194,449,475,82.6100,37.2000,1,1,2026-08-24T00:00:00.000
54,201,448,376,83.9800,37.9000,1,1,2026-08-24T00:00:00.000
55,263,421,3,85.3500,38.6000,1,1,2026-08-24T00:00:00.000
56,490,416,233,86.7200,39.3000,1,1,2026-08-24T00:00:00.000
57,193,54,437,88.0900,40.0000,1,1,2026-08-24T00:00:00.000
58,16,365,181,89.4600,40.7000,1,1,2026-08-24T00:00:00.000
59,491,12,482,90.8300,41.4000,1,1,2026-08-24T00:00:00.000
60,350,429,281,92.2000,42.1000,1,1,2026-08-24T00:00:00.000
61,140,416,269,93.5700,42.8000,1,1,2026-08-24T00:00:00.000
62,380,457,91,94.9400,43.5000,1,1,2026-08-24T00:00:00.000
63,181,197,366,96.3100,44.2000,1,1,2026-08-24T00:00:00.000
64,91,452,425,97.6800,44.9000,1,1,2026-08-24T00:00:00.000
65,483,18,309,99.0500,45.6000,1,1,2026-08-24T00:00:00.000
66,137,408,349,100.4200,46.3000,1,1,2026-08-24T00:00:00.000
67,442,183,121,101.7900,47.0000,1,1,2026-08-24T00:00:00.000
68,172,-1,140,103.1600,47.7000,1,1,2026-08-24T00:00:00.000
69,479,211,71,104.5300,48.4000,1,1,2026-08-24T00:00:00.000
70,412,87,117,105.9000,49.1000,1,1,2026-08-24T00:00:00.000
71,230,452,52,107.2700,49.8000,1,1,2026-08-24T00:00:00.000
72,188,358,377,108.6400,50.5000,1,1,2026-08-24T00:00:00.000
73,67,277,297,110.0100,51.2000,1,1,2026-08-24T00:00:00.000
74,375,193,355,111.3800,51.9000,1,1,2026-08-24T00:00:00.000
75,366,315,312,112.7500,52.6000,1,1,2026-08-24T00:00:00.000
76,264,173,258,114.1200,53.3000,1,1,2026-08-24T00:00:00.000
77,469,402,51,115.4900,54.0000,1,1,2026-08-24T00:00:00.000
78,98,46,9,116.8600,54.7000,1,1,2026-08-24T00:00:00.000
79,446,455,32,118.2300,55.4000,1,1,2026-08-24T00:00:00.000
80,43,197,478,119.6000,56.1000,1,1,2026-08-24T00:00:00.000
81,337,378,475,120.9700,56.8000,1,1,2026-08-24T00:00:00.000
82,292,210,467,122.3400,57.5000,1,1,2026-08-24T00:00:00.000
83,202,480,234,123.7100,58.2000,1,1,2026-08-24T00:00:00.000
84,65,347,13,125.0800,58.9000,1,1,2026-08-24T00:00:00.000
85,90,-1,97,126.4500,59.6000,1,1,2026-08-24T00:00:00.000
86,291,450,217,127.8200,60.3000,1,1,2026-08-24T00:00:00.000
87,3,184,422,129.1900,61.0000,1,1,2026-08-24T00:00:00.000
88,409,168,111,130.5600,61.7000,1,1,2026-08-24T00:00:00.000
89,239,82,322,131.9300,62.4000,1,1,2026-08-24T00:00:00.000
90,490,340,46,133.3000,63.1000,1,1,2026-08-24T00:00:00.000
91,125,345,125,134.6700,63.8000,1,1,2026-08-24T00:00:00.000
92,189,292,94,136.0400,64.5000,1,1,2026-08-24T00:00:00.000
93,119,410,49,137.4100,65.2000,1,1,2026-08-24T00:00:00.000
94,424,115,371,138.7800,65.9000,1,1,2026-08-24T00:00:00.000
