PurchaseOrderLineToReceiptKey,PurchaseOrderLineKey,ProductKey,PlantKey,PurchaseReceiptStatusKey,ReceivedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,377,247,168,2,0.8000,1,1,2026-08-24T00:00:00.000
2,176,340,228,7,1.5000,1,1,2026-08-24T00:00:00.000
3,391,138,48,4,2.2000,1,1,2026-08-24T00:00:00.000
4,129,88,263,8,2.9000,1,1,2026-08-24T00:00:00.000
5,67,41,48,1,3.6000,1,1,2026-08-24T00:00:00.000
6,336,150,301,5,4.3000,1,1,2026-08-24T00:00:00.000
7,446,5,318,1,5.0000,1,1,2026-08-24T00:00:00.000
8,303,377,75,3,5.7000,1,1,2026-08-24T00:00:00.000
9,117,17,176,6,6.4000,1,1,2026-08-24T00:00:00.000
10,135,354,1,6,7.1000,1,1,2026-08-24T00:00:00.000
11,291,232,281,7,7.8000,1,1,2026-08-24T00:00:00.000
12,478,209,43,6,8.5000,1,1,2026-08-24T00:00:00.000
13,158,48,225,7,9.2000,1,1,2026-08-24T00:00:00.000
14,234,3,133,8,9.9000,1,1,2026-08-24T00:00:00.000
15,264,274,75,6,10.6000,1,1,2026-08-24T00:00:00.000
16,383,342,46,2,11.3000,1,1,2026-08-24T00:00:00.000
17,314,-1,292,6,12.0000,1,1,2026-08-24T00:00:00.000
18,246,181,81,3,12.7000,1,1,2026-08-24T00:00:00.000
19,216,226,328,4,13.4000,1,1,2026-08-24T00:00:00.000
20,62,80,302,1,14.1000,1,1,2026-08-24T00:00:00.000
21,303,482,120,3,14.8000,1,1,2026-08-24T00:00:00.000
22,221,396,32,4,15.5000,1,1,2026-08-24T00:00:00.000
23,427,139,242,4,16.2000,1,1,2026-08-24T00:00:00.000
24,177,459,343,1,16.9000,1,1,2026-08-24T00:00:00.000
25,334,46,244,7,17.6000,1,1,2026-08-24T00:00:00.000
26,100,93,230,5,18.3000,1,1,2026-08-24T00:00:00.000
27,357,271,193,7,19.0000,1,1,2026-08-24T00:00:00.000
28,492,96,183,7,19.7000,1,1,2026-08-24T00:00:00.000
29,297,413,80,5,20.4000,1,1,2026-08-24T00:00:00.000
30,155,433,257,3,21.1000,1,1,2026-08-24T00:00:00.000
