PurchaseRequisitionToOrderLineKey,PurchaseRequisitionKey,PurchaseOrderLineKey,LinkedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,439,130,0.8000,1,1,2026-08-24T00:00:00.000
2,319,165,1.5000,1,1,2026-08-24T00:00:00.000
3,17,18,2.2000,1,1,2026-08-24T00:00:00.000
4,490,92,2.9000,1,1,2026-08-24T00:00:00.000
5,342,483,3.6000,1,1,2026-08-24T00:00:00.000
6,467,196,4.3000,1,1,2026-08-24T00:00:00.000
7,390,463,5.0000,1,1,2026-08-24T00:00:00.000
8,330,114,5.7000,1,1,2026-08-24T00:00:00.000
9,366,18,6.4000,1,1,2026-08-24T00:00:00.000
10,460,106,7.1000,1,1,2026-08-24T00:00:00.000
11,255,307,7.8000,1,1,2026-08-24T00:00:00.000
12,297,129,8.5000,1,1,2026-08-24T00:00:00.000
13,358,416,9.2000,1,1,2026-08-24T00:00:00.000
14,331,351,9.9000,1,1,2026-08-24T00:00:00.000
15,177,65,10.6000,1,1,2026-08-24T00:00:00.000
16,480,5,11.3000,1,1,2026-08-24T00:00:00.000
17,342,173,12.0000,1,1,2026-08-24T00:00:00.000
18,426,145,12.7000,1,1,2026-08-24T00:00:00.000
19,413,308,13.4000,1,1,2026-08-24T00:00:00.000
20,479,289,14.1000,1,1,2026-08-24T00:00:00.000
21,306,207,14.8000,1,1,2026-08-24T00:00:00.000
22,393,434,15.5000,1,1,2026-08-24T00:00:00.000
23,398,396,16.2000,1,1,2026-08-24T00:00:00.000
24,23,270,16.9000,1,1,2026-08-24T00:00:00.000
25,127,375,17.6000,1,1,2026-08-24T00:00:00.000
26,94,249,18.3000,1,1,2026-08-24T00:00:00.000
27,10,462,19.0000,1,1,2026-08-24T00:00:00.000
28,134,474,19.7000,1,1,2026-08-24T00:00:00.000
29,206,356,20.4000,1,1,2026-08-24T00:00:00.000
30,345,110,21.1000,1,1,2026-08-24T00:00:00.000
31,6,438,21.8000,1,1,2026-08-24T00:00:00.000
32,464,51,22.5000,1,1,2026-08-24T00:00:00.000
33,268,88,23.2000,1,1,2026-08-24T00:00:00.000
34,271,169,23.9000,1,1,2026-08-24T00:00:00.000
35,499,457,24.6000,1,1,2026-08-24T00:00:00.000
36,444,24,25.3000,1,1,2026-08-24T00:00:00.000
37,62,16,26.0000,1,1,2026-08-24T00:00:00.000
38,383,191,26.7000,1,1,2026-08-24T00:00:00.000
39,26,349,27.4000,1,1,2026-08-24T00:00:00.000
40,301,237,28.1000,1,1,2026-08-24T00:00:00.000
41,13,92,28.8000,1,1,2026-08-24T00:00:00.000
42,429,35,29.5000,1,1,2026-08-24T00:00:00.000
43,179,427,30.2000,1,1,2026-08-24T00:00:00.000
44,442,404,30.9000,1,1,2026-08-24T00:00:00.000
45,372,126,31.6000,1,1,2026-08-24T00:00:00.000
46,367,425,32.3000,1,1,2026-08-24T00:00:00.000
47,196,156,33.0000,1,1,2026-08-24T00:00:00.000
48,384,332,33.7000,1,1,2026-08-24T00:00:00.000
49,283,296,34.4000,1,1,2026-08-24T00:00:00.000
50,427,324,35.1000,1,1,2026-08-24T00:00:00.000
51,463,234,35.8000,1,1,2026-08-24T00:00:00.000
52,28,166,36.5000,1,1,2026-08-24T00:00:00.000
53,49,159,37.2000,1,1,2026-08-24T00:00:00.000
54,304,313,37.9000,1,1,2026-08-24T00:00:00.000
55,458,205,38.6000,1,1,2026-08-24T00:00:00.000
56,425,357,39.3000,1,1,2026-08-24T00:00:00.000
57,155,450,40.0000,1,1,2026-08-24T00:00:00.000
58,35,131,40.7000,1,1,2026-08-24T00:00:00.000
59,244,349,41.4000,1,1,2026-08-24T00:00:00.000
60,24,157,42.1000,1,1,2026-08-24T00:00:00.000
61,480,284,42.8000,1,1,2026-08-24T00:00:00.000
62,433,56,43.5000,1,1,2026-08-24T00:00:00.000
63,179,221,44.2000,1,1,2026-08-24T00:00:00.000
64,47,362,44.9000,1,1,2026-08-24T00:00:00.000
65,3,219,45.6000,1,1,2026-08-24T00:00:00.000
66,30,23,46.3000,1,1,2026-08-24T00:00:00.000
67,437,270,47.0000,1,1,2026-08-24T00:00:00.000
68,236,30,47.7000,1,1,2026-08-24T00:00:00.000
69,382,301,48.4000,1,1,2026-08-24T00:00:00.000
70,411,366,49.1000,1,1,2026-08-24T00:00:00.000
71,429,321,49.8000,1,1,2026-08-24T00:00:00.000
72,415,155,50.5000,1,1,2026-08-24T00:00:00.000
73,469,107,51.2000,1,1,2026-08-24T00:00:00.000
74,488,186,51.9000,1,1,2026-08-24T00:00:00.000
75,469,30,52.6000,1,1,2026-08-24T00:00:00.000
76,196,218,53.3000,1,1,2026-08-24T00:00:00.000
77,397,424,54.0000,1,1,2026-08-24T00:00:00.000
78,398,334,54.7000,1,1,2026-08-24T00:00:00.000
79,382,77,55.4000,1,1,2026-08-24T00:00:00.000
80,327,139,56.1000,1,1,2026-08-24T00:00:00.000
81,186,365,56.8000,1,1,2026-08-24T00:00:00.000
82,451,439,57.5000,1,1,2026-08-24T00:00:00.000
83,250,114,58.2000,1,1,2026-08-24T00:00:00.000
84,446,494,58.9000,1,1,2026-08-24T00:00:00.000
85,354,241,59.6000,1,1,2026-08-24T00:00:00.000
86,493,33,60.3000,1,1,2026-08-24T00:00:00.000
87,73,411,61.0000,1,1,2026-08-24T00:00:00.000
88,62,202,61.7000,1,1,2026-08-24T00:00:00.000
89,62,245,62.4000,1,1,2026-08-24T00:00:00.000
90,33,421,63.1000,1,1,2026-08-24T00:00:00.000
91,11,484,63.8000,1,1,2026-08-24T00:00:00.000
92,174,167,64.5000,1,1,2026-08-24T00:00:00.000
93,240,268,65.2000,1,1,2026-08-24T00:00:00.000
94,348,300,65.9000,1,1,2026-08-24T00:00:00.000
95,472,431,66.6000,1,1,2026-08-24T00:00:00.000
96,208,249,67.3000,1,1,2026-08-24T00:00:00.000
97,219,178,68.0000,1,1,2026-08-24T00:00:00.000
98,147,225,68.7000,1,1,2026-08-24T00:00:00.000
99,403,35,69.4000,1,1,2026-08-24T00:00:00.000
100,151,384,70.1000,1,1,2026-08-24T00:00:00.000
101,237,245,70.8000,1,1,2026-08-24T00:00:00.000
102,142,333,71.5000,1,1,2026-08-24T00:00:00.000
103,141,311,72.2000,1,1,2026-08-24T00:00:00.000
104,426,353,72.9000,1,1,2026-08-24T00:00:00.000
105,368,340,73.6000,1,1,2026-08-24T00:00:00.000
106,391,400,74.3000,1,1,2026-08-24T00:00:00.000
107,274,72,75.0000,1,1,2026-08-24T00:00:00.000
108,299,317,75.7000,1,1,2026-08-24T00:00:00.000
109,133,250,76.4000,1,1,2026-08-24T00:00:00.000
110,36,38,77.1000,1,1,2026-08-24T00:00:00.000
111,462,294,77.8000,1,1,2026-08-24T00:00:00.000
112,361,79,78.5000,1,1,2026-08-24T00:00:00.000
113,64,140,79.2000,1,1,2026-08-24T00:00:00.000
114,255,266,79.9000,1,1,2026-08-24T00:00:00.000
115,423,426,80.6000,1,1,2026-08-24T00:00:00.000
116,434,38,81.3000,1,1,2026-08-24T00:00:00.000
117,341,288,82.0000,1,1,2026-08-24T00:00:00.000
118,408,363,82.7000,1,1,2026-08-24T00:00:00.000
119,465,396,83.4000,1,1,2026-08-24T00:00:00.000
120,192,170,84.1000,1,1,2026-08-24T00:00:00.000
121,136,468,84.8000,1,1,2026-08-24T00:00:00.000
122,280,480,85.5000,1,1,2026-08-24T00:00:00.000
123,442,135,86.2000,1,1,2026-08-24T00:00:00.000
124,265,184,86.9000,1,1,2026-08-24T00:00:00.000
125,64,492,87.6000,1,1,2026-08-24T00:00:00.000
126,402,202,88.3000,1,1,2026-08-24T00:00:00.000
127,38,278,89.0000,1,1,2026-08-24T00:00:00.000
128,115,120,89.7000,1,1,2026-08-24T00:00:00.000
129,145,169,90.4000,1,1,2026-08-24T00:00:00.000
130,253,466,91.1000,1,1,2026-08-24T00:00:00.000
131,263,422,91.8000,1,1,2026-08-24T00:00:00.000
132,331,179,92.5000,1,1,2026-08-24T00:00:00.000
133,124,74,93.2000,1,1,2026-08-24T00:00:00.000
134,394,431,93.9000,1,1,2026-08-24T00:00:00.000
135,310,410,94.6000,1,1,2026-08-24T00:00:00.000
136,55,129,95.3000,1,1,2026-08-24T00:00:00.000
137,407,73,96.0000,1,1,2026-08-24T00:00:00.000
138,359,59,96.7000,1,1,2026-08-24T00:00:00.000
139,484,81,97.4000,1,1,2026-08-24T00:00:00.000
140,434,134,98.1000,1,1,2026-08-24T00:00:00.000
141,296,327,98.8000,1,1,2026-08-24T00:00:00.000
142,434,249,99.5000,1,1,2026-08-24T00:00:00.000
143,232,486,100.2000,1,1,2026-08-24T00:00:00.000
144,42,143,100.9000,1,1,2026-08-24T00:00:00.000
145,374,124,101.6000,1,1,2026-08-24T00:00:00.000
146,276,386,102.3000,1,1,2026-08-24T00:00:00.000
147,340,474,103.0000,1,1,2026-08-24T00:00:00.000
148,477,281,103.7000,1,1,2026-08-24T00:00:00.000
149,174,81,104.4000,1,1,2026-08-24T00:00:00.000
150,425,154,105.1000,1,1,2026-08-24T00:00:00.000
151,297,283,105.8000,1,1,2026-08-24T00:00:00.000
152,495,438,106.5000,1,1,2026-08-24T00:00:00.000
153,449,377,107.2000,1,1,2026-08-24T00:00:00.000
154,440,425,107.9000,1,1,2026-08-24T00:00:00.000
155,165,99,108.6000,1,1,2026-08-24T00:00:00.000
156,72,373,109.3000,1,1,2026-08-24T00:00:00.000
157,130,64,110.0000,1,1,2026-08-24T00:00:00.000
158,129,68,110.7000,1,1,2026-08-24T00:00:00.000
159,218,356,111.4000,1,1,2026-08-24T00:00:00.000
160,116,495,112.1000,1,1,2026-08-24T00:00:00.000
161,363,409,112.8000,1,1,2026-08-24T00:00:00.000
162,229,51,113.5000,1,1,2026-08-24T00:00:00.000
163,319,92,114.2000,1,1,2026-08-24T00:00:00.000
164,364,13,114.9000,1,1,2026-08-24T00:00:00.000
165,94,183,115.6000,1,1,2026-08-24T00:00:00.000
166,197,22,116.3000,1,1,2026-08-24T00:00:00.000
167,197,128,117.0000,1,1,2026-08-24T00:00:00.000
168,13,241,117.7000,1,1,2026-08-24T00:00:00.000
169,478,108,118.4000,1,1,2026-08-24T00:00:00.000
170,93,250,119.1000,1,1,2026-08-24T00:00:00.000
171,96,246,119.8000,1,1,2026-08-24T00:00:00.000
172,411,397,120.5000,1,1,2026-08-24T00:00:00.000
173,491,177,121.2000,1,1,2026-08-24T00:00:00.000
174,468,18,121.9000,1,1,2026-08-24T00:00:00.000
175,304,77,122.6000,1,1,2026-08-24T00:00:00.000
176,189,58,123.3000,1,1,2026-08-24T00:00:00.000
177,41,391,124.0000,1,1,2026-08-24T00:00:00.000
178,35,152,124.7000,1,1,2026-08-24T00:00:00.000
179,229,449,125.4000,1,1,2026-08-24T00:00:00.000
180,230,206,126.1000,1,1,2026-08-24T00:00:00.000
181,211,460,126.8000,1,1,2026-08-24T00:00:00.000
182,490,358,127.5000,1,1,2026-08-24T00:00:00.000
183,169,7,128.2000,1,1,2026-08-24T00:00:00.000
184,297,43,128.9000,1,1,2026-08-24T00:00:00.000
185,141,414,129.6000,1,1,2026-08-24T00:00:00.000
186,377,315,130.3000,1,1,2026-08-24T00:00:00.000
187,476,330,131.0000,1,1,2026-08-24T00:00:00.000
188,113,420,131.7000,1,1,2026-08-24T00:00:00.000
189,61,431,132.4000,1,1,2026-08-24T00:00:00.000
190,312,6,133.1000,1,1,2026-08-24T00:00:00.000
191,416,283,133.8000,1,1,2026-08-24T00:00:00.000
