PurchaseRfqSupplierInvitationKey,PurchaseRequestForQuoteKey,SupplierKey,ApprovalStatusKey,QuotedAmount,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,26,14,3,11.3700,1,1,2026-08-24T00:00:00.000
2,23,163,5,12.7400,1,1,2026-08-24T00:00:00.000
3,292,340,1,14.1100,1,1,2026-08-24T00:00:00.000
4,495,145,4,15.4800,1,1,2026-08-24T00:00:00.000
5,25,12,4,16.8500,1,1,2026-08-24T00:00:00.000
6,393,64,3,18.2200,1,1,2026-08-24T00:00:00.000
7,56,71,4,19.5900,1,1,2026-08-24T00:00:00.000
8,412,115,1,20.9600,1,1,2026-08-24T00:00:00.000
9,218,161,5,22.3300,1,1,2026-08-24T00:00:00.000
10,168,261,5,23.7000,1,1,2026-08-24T00:00:00.000
11,10,194,4,25.0700,1,1,2026-08-24T00:00:00.000
12,239,288,2,26.4400,1,1,2026-08-24T00:00:00.000
13,243,140,4,27.8100,1,1,2026-08-24T00:00:00.000
14,224,214,4,29.1800,1,1,2026-08-24T00:00:00.000
15,469,369,5,30.5500,1,1,2026-08-24T00:00:00.000
16,336,456,4,31.9200,1,1,2026-08-24T00:00:00.000
17,277,181,2,33.2900,1,1,2026-08-24T00:00:00.000
18,182,146,1,34.6600,1,1,2026-08-24T00:00:00.000
19,61,214,4,36.0300,1,1,2026-08-24T00:00:00.000
20,128,51,5,37.4000,1,1,2026-08-24T00:00:00.000
21,253,340,3,38.7700,1,1,2026-08-24T00:00:00.000
22,443,199,4,40.1400,1,1,2026-08-24T00:00:00.000
23,425,196,3,41.5100,1,1,2026-08-24T00:00:00.000
24,2,484,3,42.8800,1,1,2026-08-24T00:00:00.000
25,11,450,1,44.2500,1,1,2026-08-24T00:00:00.000
26,414,71,5,45.6200,1,1,2026-08-24T00:00:00.000
27,96,21,5,46.9900,1,1,2026-08-24T00:00:00.000
28,145,35,4,48.3600,1,1,2026-08-24T00:00:00.000
29,438,208,4,49.7300,1,1,2026-08-24T00:00:00.000
30,317,347,4,51.1000,1,1,2026-08-24T00:00:00.000
31,38,51,4,52.4700,1,1,2026-08-24T00:00:00.000
32,344,148,5,53.8400,1,1,2026-08-24T00:00:00.000
33,115,379,2,55.2100,1,1,2026-08-24T00:00:00.000
34,76,164,3,56.5800,1,1,2026-08-24T00:00:00.000
35,359,479,2,57.9500,1,1,2026-08-24T00:00:00.000
