QualityDefectCharacteristicKey,QualityDefectCodeKey,QualityInspectionCharacteristicKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,481,215,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,181,295,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,257,423,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,165,261,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,336,22,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,30,313,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,253,462,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,325,115,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,480,287,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,130,421,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,37,173,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,401,126,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,318,106,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,399,107,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,365,452,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,458,70,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,372,90,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,438,218,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,29,223,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,297,432,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,2,128,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,63,321,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,308,206,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,398,64,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,282,114,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,13,41,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,252,453,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,179,9,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,354,42,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,362,138,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,179,143,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,337,86,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,315,17,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,456,471,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,11,474,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,491,296,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,328,97,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,133,113,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
