QualitySupplierProductApprovalKey,SupplierKey,ProductKey,QualityInspectionPlanKey,ApprovalStatusKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,277,71,376,4,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,352,346,18,5,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,118,461,228,3,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,240,424,409,2,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,162,184,303,2,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,70,358,143,5,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,334,123,311,4,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,209,186,377,5,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,375,363,411,4,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,132,356,167,4,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,445,309,165,1,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,247,1,9,4,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,272,50,448,3,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,315,366,394,4,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,246,355,180,1,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,62,463,242,2,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,262,307,240,2,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,298,303,187,3,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,131,437,10,2,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,20,488,468,4,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,234,52,450,5,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,323,184,333,4,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,50,304,361,4,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,411,145,368,1,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,429,137,298,3,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,334,441,498,5,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,463,85,233,3,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,379,333,446,4,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,42,196,105,3,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,77,278,429,4,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,61,262,49,3,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,348,79,234,3,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,286,450,68,1,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,313,349,458,1,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,69,193,124,2,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,152,179,481,5,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,318,423,284,2,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,45,149,308,1,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,376,495,198,5,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,181,459,277,3,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,230,261,9,5,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,173,44,408,3,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,419,281,66,1,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,368,334,491,1,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,276,137,32,4,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,398,428,447,4,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,258,7,287,3,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,294,14,396,3,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,495,38,61,4,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,310,267,235,5,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,208,41,121,1,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,26,357,463,2,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,120,492,71,4,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,150,297,369,2,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,163,247,43,1,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,277,40,405,2,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,278,363,272,5,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,304,32,187,4,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,156,220,43,3,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,107,70,312,1,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,194,154,485,1,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,133,52,68,1,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,170,233,54,2,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,402,9,434,5,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,86,356,280,4,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
