RoutingWorkCenterAssignmentKey,RoutingHeaderKey,WorkCenterKey,RoutingOperationTypeKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,19,292,168,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,171,10,11,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,148,300,499,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,167,346,52,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,294,109,324,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,189,190,429,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,62,101,166,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,178,440,313,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,311,151,185,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,28,266,329,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,322,150,191,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,320,169,315,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,263,42,52,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,17,429,94,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,137,338,455,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,12,212,223,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,379,108,253,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,244,179,366,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,375,397,460,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,73,2,317,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,31,180,447,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,66,439,406,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,99,497,412,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,239,56,466,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,140,361,221,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,492,268,5,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,278,444,5,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,12,19,152,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,143,285,82,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,125,312,107,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,210,313,131,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,336,77,4,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,12,76,267,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,392,380,53,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,198,310,177,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,11,395,26,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,475,6,174,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,31,379,18,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,183,212,407,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,463,112,353,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,211,39,11,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,332,292,295,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,74,466,276,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,192,468,68,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,469,207,255,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,5,121,403,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,481,32,222,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,462,241,164,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,408,294,89,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,443,279,382,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,447,425,243,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,174,316,60,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,197,207,392,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,58,228,235,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,168,62,424,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,73,356,399,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,354,417,139,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,398,297,206,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,200,133,58,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,429,19,43,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,97,127,120,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
