SafetyRiskAssessmentHazardKey,SafetyRiskAssessmentKey,SafetyHazardConditionKey,AssessedRiskScore,ControlEffectivenessScore,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.00,0.00,-1,0,1900-01-01T00:00:00.000
1,249,305,2.00,2.00,1,1,2026-08-24T00:00:00.000
2,32,310,3.00,3.00,1,1,2026-08-24T00:00:00.000
3,149,189,4.00,4.00,1,1,2026-08-24T00:00:00.000
4,317,188,5.00,5.00,1,1,2026-08-24T00:00:00.000
5,35,183,6.00,6.00,1,1,2026-08-24T00:00:00.000
6,430,171,7.00,7.00,1,1,2026-08-24T00:00:00.000
7,423,215,8.00,8.00,1,1,2026-08-24T00:00:00.000
8,184,299,9.00,9.00,1,1,2026-08-24T00:00:00.000
9,96,488,10.00,10.00,1,1,2026-08-24T00:00:00.000
10,164,295,11.00,11.00,1,1,2026-08-24T00:00:00.000
11,369,95,12.00,12.00,1,1,2026-08-24T00:00:00.000
12,18,294,13.00,13.00,1,1,2026-08-24T00:00:00.000
13,361,294,14.00,14.00,1,1,2026-08-24T00:00:00.000
14,31,461,15.00,15.00,1,1,2026-08-24T00:00:00.000
15,62,183,16.00,16.00,1,1,2026-08-24T00:00:00.000
16,63,436,17.00,17.00,1,1,2026-08-24T00:00:00.000
17,357,172,18.00,18.00,1,1,2026-08-24T00:00:00.000
18,435,230,19.00,19.00,1,1,2026-08-24T00:00:00.000
19,412,269,20.00,20.00,1,1,2026-08-24T00:00:00.000
20,329,260,21.00,21.00,1,1,2026-08-24T00:00:00.000
21,320,446,22.00,22.00,1,1,2026-08-24T00:00:00.000
22,109,246,23.00,23.00,1,1,2026-08-24T00:00:00.000
23,354,214,24.00,24.00,1,1,2026-08-24T00:00:00.000
24,477,142,25.00,25.00,1,1,2026-08-24T00:00:00.000
25,138,335,26.00,26.00,1,1,2026-08-24T00:00:00.000
26,321,194,27.00,27.00,1,1,2026-08-24T00:00:00.000
27,137,472,28.00,28.00,1,1,2026-08-24T00:00:00.000
28,361,225,29.00,29.00,1,1,2026-08-24T00:00:00.000
29,156,133,30.00,30.00,1,1,2026-08-24T00:00:00.000
30,448,189,31.00,31.00,1,1,2026-08-24T00:00:00.000
31,462,360,32.00,32.00,1,1,2026-08-24T00:00:00.000
32,238,374,33.00,33.00,1,1,2026-08-24T00:00:00.000
33,194,406,34.00,34.00,1,1,2026-08-24T00:00:00.000
34,191,470,35.00,35.00,1,1,2026-08-24T00:00:00.000
35,244,289,36.00,36.00,1,1,2026-08-24T00:00:00.000
36,394,394,37.00,37.00,1,1,2026-08-24T00:00:00.000
37,482,175,38.00,38.00,1,1,2026-08-24T00:00:00.000
38,223,353,39.00,39.00,1,1,2026-08-24T00:00:00.000
39,84,451,40.00,40.00,1,1,2026-08-24T00:00:00.000
40,33,476,41.00,41.00,1,1,2026-08-24T00:00:00.000
41,102,210,42.00,42.00,1,1,2026-08-24T00:00:00.000
42,466,362,43.00,43.00,1,1,2026-08-24T00:00:00.000
43,57,214,44.00,44.00,1,1,2026-08-24T00:00:00.000
44,135,1,45.00,45.00,1,1,2026-08-24T00:00:00.000
45,156,474,46.00,46.00,1,1,2026-08-24T00:00:00.000
46,304,283,47.00,47.00,1,1,2026-08-24T00:00:00.000
47,75,233,48.00,48.00,1,1,2026-08-24T00:00:00.000
48,137,369,49.00,49.00,1,1,2026-08-24T00:00:00.000
49,340,330,50.00,50.00,1,1,2026-08-24T00:00:00.000
50,306,166,51.00,51.00,1,1,2026-08-24T00:00:00.000
