SalesOrderLinePromotionKey,SalesOrderLineKey,SalesPromotionKey,SalesPriceConditionTypeKey,DiscountAmount,DiscountRate,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,0.000000,-1,0,1900-01-01T00:00:00.000
1,316,362,18,11.3700,0.000100,1,1,2026-08-24T00:00:00.000
2,188,315,10,12.7400,0.000200,1,1,2026-08-24T00:00:00.000
3,8,265,13,14.1100,0.000300,1,1,2026-08-24T00:00:00.000
4,118,127,16,15.4800,0.000400,1,1,2026-08-24T00:00:00.000
5,186,126,10,16.8500,0.000500,1,1,2026-08-24T00:00:00.000
6,249,28,5,18.2200,0.000600,1,1,2026-08-24T00:00:00.000
7,53,39,14,19.5900,0.000700,1,1,2026-08-24T00:00:00.000
8,426,24,12,20.9600,0.000800,1,1,2026-08-24T00:00:00.000
9,459,373,4,22.3300,0.000900,1,1,2026-08-24T00:00:00.000
10,481,251,5,23.7000,0.001000,1,1,2026-08-24T00:00:00.000
11,108,119,18,25.0700,0.001100,1,1,2026-08-24T00:00:00.000
12,497,201,16,26.4400,0.001200,1,1,2026-08-24T00:00:00.000
13,407,396,6,27.8100,0.001300,1,1,2026-08-24T00:00:00.000
14,364,435,9,29.1800,0.001400,1,1,2026-08-24T00:00:00.000
15,427,288,4,30.5500,0.001500,1,1,2026-08-24T00:00:00.000
16,145,167,8,31.9200,0.001600,1,1,2026-08-24T00:00:00.000
17,220,180,13,33.2900,0.001700,1,1,2026-08-24T00:00:00.000
18,57,208,16,34.6600,0.001800,1,1,2026-08-24T00:00:00.000
19,14,470,17,36.0300,0.001900,1,1,2026-08-24T00:00:00.000
20,387,133,17,37.4000,0.002000,1,1,2026-08-24T00:00:00.000
21,449,245,11,38.7700,0.002100,1,1,2026-08-24T00:00:00.000
22,107,406,9,40.1400,0.002200,1,1,2026-08-24T00:00:00.000
23,360,201,10,41.5100,0.002300,1,1,2026-08-24T00:00:00.000
24,57,148,17,42.8800,0.002400,1,1,2026-08-24T00:00:00.000
25,489,244,18,44.2500,0.002500,1,1,2026-08-24T00:00:00.000
26,342,355,18,45.6200,0.002600,1,1,2026-08-24T00:00:00.000
27,325,268,3,46.9900,0.002700,1,1,2026-08-24T00:00:00.000
28,263,385,9,48.3600,0.002800,1,1,2026-08-24T00:00:00.000
29,447,126,10,49.7300,0.002900,1,1,2026-08-24T00:00:00.000
30,338,365,2,51.1000,0.003000,1,1,2026-08-24T00:00:00.000
