SalesOrderToShipmentRequestKey,SalesOrderLineKey,ProductKey,CustomerKey,RequestedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,162,378,329,0.8000,1,1,2026-08-24T00:00:00.000
2,310,411,382,1.5000,1,1,2026-08-24T00:00:00.000
3,144,471,357,2.2000,1,1,2026-08-24T00:00:00.000
4,464,111,84,2.9000,1,1,2026-08-24T00:00:00.000
5,482,268,168,3.6000,1,1,2026-08-24T00:00:00.000
6,308,21,294,4.3000,1,1,2026-08-24T00:00:00.000
7,479,47,298,5.0000,1,1,2026-08-24T00:00:00.000
8,160,430,138,5.7000,1,1,2026-08-24T00:00:00.000
9,490,271,399,6.4000,1,1,2026-08-24T00:00:00.000
10,55,73,463,7.1000,1,1,2026-08-24T00:00:00.000
11,117,220,267,7.8000,1,1,2026-08-24T00:00:00.000
12,32,209,250,8.5000,1,1,2026-08-24T00:00:00.000
13,171,415,385,9.2000,1,1,2026-08-24T00:00:00.000
14,345,389,166,9.9000,1,1,2026-08-24T00:00:00.000
15,203,34,172,10.6000,1,1,2026-08-24T00:00:00.000
16,298,394,104,11.3000,1,1,2026-08-24T00:00:00.000
17,304,46,323,12.0000,1,1,2026-08-24T00:00:00.000
18,317,73,112,12.7000,1,1,2026-08-24T00:00:00.000
19,185,41,433,13.4000,1,1,2026-08-24T00:00:00.000
20,426,422,422,14.1000,1,1,2026-08-24T00:00:00.000
21,159,263,273,14.8000,1,1,2026-08-24T00:00:00.000
22,211,21,412,15.5000,1,1,2026-08-24T00:00:00.000
23,197,330,42,16.2000,1,1,2026-08-24T00:00:00.000
24,4,349,163,16.9000,1,1,2026-08-24T00:00:00.000
25,185,261,314,17.6000,1,1,2026-08-24T00:00:00.000
26,297,498,51,18.3000,1,1,2026-08-24T00:00:00.000
27,428,332,438,19.0000,1,1,2026-08-24T00:00:00.000
28,13,366,85,19.7000,1,1,2026-08-24T00:00:00.000
29,166,135,287,20.4000,1,1,2026-08-24T00:00:00.000
30,26,373,424,21.1000,1,1,2026-08-24T00:00:00.000
31,140,122,239,21.8000,1,1,2026-08-24T00:00:00.000
32,498,167,478,22.5000,1,1,2026-08-24T00:00:00.000
33,66,84,262,23.2000,1,1,2026-08-24T00:00:00.000
34,349,329,274,23.9000,1,1,2026-08-24T00:00:00.000
35,205,320,169,24.6000,1,1,2026-08-24T00:00:00.000
36,245,133,435,25.3000,1,1,2026-08-24T00:00:00.000
37,258,161,391,26.0000,1,1,2026-08-24T00:00:00.000
38,343,471,182,26.7000,1,1,2026-08-24T00:00:00.000
39,48,138,287,27.4000,1,1,2026-08-24T00:00:00.000
40,383,443,254,28.1000,1,1,2026-08-24T00:00:00.000
41,46,253,328,28.8000,1,1,2026-08-24T00:00:00.000
42,137,401,100,29.5000,1,1,2026-08-24T00:00:00.000
43,465,386,299,30.2000,1,1,2026-08-24T00:00:00.000
44,380,296,303,30.9000,1,1,2026-08-24T00:00:00.000
45,335,242,476,31.6000,1,1,2026-08-24T00:00:00.000
46,38,308,367,32.3000,1,1,2026-08-24T00:00:00.000
47,37,376,126,33.0000,1,1,2026-08-24T00:00:00.000
48,68,251,352,33.7000,1,1,2026-08-24T00:00:00.000
49,328,147,281,34.4000,1,1,2026-08-24T00:00:00.000
