ServiceContractProductKey,ServiceContractKey,ProductKey,CoverageStartDate,CoverageEndDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,141,155,2020-01-02,2021-01-01,1,1,2026-08-24T00:00:00.000
2,161,323,2020-01-03,2021-01-02,1,1,2026-08-24T00:00:00.000
3,432,265,2020-01-04,2021-01-03,1,1,2026-08-24T00:00:00.000
4,68,227,2020-01-05,2021-01-04,1,1,2026-08-24T00:00:00.000
5,259,18,2020-01-06,2021-01-05,1,1,2026-08-24T00:00:00.000
6,22,394,2020-01-07,2021-01-06,1,1,2026-08-24T00:00:00.000
7,217,127,2020-01-08,2021-01-07,1,1,2026-08-24T00:00:00.000
8,481,378,2020-01-09,2021-01-08,1,1,2026-08-24T00:00:00.000
9,311,191,2020-01-10,2021-01-09,1,1,2026-08-24T00:00:00.000
10,398,413,2020-01-11,2021-01-10,1,1,2026-08-24T00:00:00.000
11,97,96,2020-01-12,2021-01-11,1,1,2026-08-24T00:00:00.000
12,468,146,2020-01-13,2021-01-12,1,1,2026-08-24T00:00:00.000
13,427,358,2020-01-14,2021-01-13,1,1,2026-08-24T00:00:00.000
14,256,498,2020-01-15,2021-01-14,1,1,2026-08-24T00:00:00.000
15,461,304,2020-01-16,2021-01-15,1,1,2026-08-24T00:00:00.000
16,463,24,2020-01-17,2021-01-16,1,1,2026-08-24T00:00:00.000
17,497,498,2020-01-18,2021-01-17,1,1,2026-08-24T00:00:00.000
18,124,294,2020-01-19,2021-01-18,1,1,2026-08-24T00:00:00.000
19,201,432,2020-01-20,2021-01-19,1,1,2026-08-24T00:00:00.000
20,453,328,2020-01-21,2021-01-20,1,1,2026-08-24T00:00:00.000
21,401,353,2020-01-22,2021-01-21,1,1,2026-08-24T00:00:00.000
22,49,275,2020-01-23,2021-01-22,1,1,2026-08-24T00:00:00.000
23,58,216,2020-01-24,2021-01-23,1,1,2026-08-24T00:00:00.000
24,387,472,2020-01-25,2021-01-24,1,1,2026-08-24T00:00:00.000
25,157,357,2020-01-26,2021-01-25,1,1,2026-08-24T00:00:00.000
26,96,294,2020-01-27,2021-01-26,1,1,2026-08-24T00:00:00.000
27,286,274,2020-01-28,2021-01-27,1,1,2026-08-24T00:00:00.000
28,378,223,2020-01-29,2021-01-28,1,1,2026-08-24T00:00:00.000
29,16,452,2020-01-30,2021-01-29,1,1,2026-08-24T00:00:00.000
30,364,353,2020-01-31,2021-01-30,1,1,2026-08-24T00:00:00.000
31,202,213,2020-02-01,2021-01-31,1,1,2026-08-24T00:00:00.000
32,183,132,2020-02-02,2021-02-01,1,1,2026-08-24T00:00:00.000
33,271,204,2020-02-03,2021-02-02,1,1,2026-08-24T00:00:00.000
34,422,149,2020-02-04,2021-02-03,1,1,2026-08-24T00:00:00.000
35,200,385,2020-02-05,2021-02-04,1,1,2026-08-24T00:00:00.000
36,247,13,2020-02-06,2021-02-05,1,1,2026-08-24T00:00:00.000
37,82,445,2020-02-07,2021-02-06,1,1,2026-08-24T00:00:00.000
38,442,418,2020-02-08,2021-02-07,1,1,2026-08-24T00:00:00.000
39,16,86,2020-02-09,2021-02-08,1,1,2026-08-24T00:00:00.000
40,379,144,2020-02-10,2021-02-09,1,1,2026-08-24T00:00:00.000
41,149,138,2020-02-11,2021-02-10,1,1,2026-08-24T00:00:00.000
42,386,204,2020-02-12,2021-02-11,1,1,2026-08-24T00:00:00.000
43,361,233,2020-02-13,2021-02-12,1,1,2026-08-24T00:00:00.000
44,79,76,2020-02-14,2021-02-13,1,1,2026-08-24T00:00:00.000
45,49,470,2020-02-15,2021-02-14,1,1,2026-08-24T00:00:00.000
46,341,137,2020-02-16,2021-02-15,1,1,2026-08-24T00:00:00.000
47,118,398,2020-02-17,2021-02-16,1,1,2026-08-24T00:00:00.000
48,111,302,2020-02-18,2021-02-17,1,1,2026-08-24T00:00:00.000
49,379,157,2020-02-19,2021-02-18,1,1,2026-08-24T00:00:00.000
50,264,173,2020-02-20,2021-02-19,1,1,2026-08-24T00:00:00.000
51,267,304,2020-02-21,2021-02-20,1,1,2026-08-24T00:00:00.000
52,416,108,2020-02-22,2021-02-21,1,1,2026-08-24T00:00:00.000
53,317,125,2020-02-23,2021-02-22,1,1,2026-08-24T00:00:00.000
54,35,285,2020-02-24,2021-02-23,1,1,2026-08-24T00:00:00.000
55,458,43,2020-02-25,2021-02-24,1,1,2026-08-24T00:00:00.000
56,173,29,2020-02-26,2021-02-25,1,1,2026-08-24T00:00:00.000
57,11,295,2020-02-27,2021-02-26,1,1,2026-08-24T00:00:00.000
58,368,321,2020-02-28,2021-02-27,1,1,2026-08-24T00:00:00.000
59,378,27,2020-02-29,2021-02-28,1,1,2026-08-24T00:00:00.000
60,81,337,2020-03-01,2021-03-01,1,1,2026-08-24T00:00:00.000
61,114,265,2020-03-02,2021-03-02,1,1,2026-08-24T00:00:00.000
62,220,484,2020-03-03,2021-03-03,1,1,2026-08-24T00:00:00.000
63,318,68,2020-03-04,2021-03-04,1,1,2026-08-24T00:00:00.000
64,304,237,2020-03-05,2021-03-05,1,1,2026-08-24T00:00:00.000
65,299,151,2020-03-06,2021-03-06,1,1,2026-08-24T00:00:00.000
66,11,202,2020-03-07,2021-03-07,1,1,2026-08-24T00:00:00.000
67,149,257,2020-03-08,2021-03-08,1,1,2026-08-24T00:00:00.000
68,204,460,2020-03-09,2021-03-09,1,1,2026-08-24T00:00:00.000
69,453,270,2020-03-10,2021-03-10,1,1,2026-08-24T00:00:00.000
70,473,275,2020-03-11,2021-03-11,1,1,2026-08-24T00:00:00.000
71,472,180,2020-03-12,2021-03-12,1,1,2026-08-24T00:00:00.000
72,149,148,2020-03-13,2021-03-13,1,1,2026-08-24T00:00:00.000
73,65,458,2020-03-14,2021-03-14,1,1,2026-08-24T00:00:00.000
74,244,495,2020-03-15,2021-03-15,1,1,2026-08-24T00:00:00.000
75,58,62,2020-03-16,2021-03-16,1,1,2026-08-24T00:00:00.000
76,364,289,2020-03-17,2021-03-17,1,1,2026-08-24T00:00:00.000
77,23,43,2020-03-18,2021-03-18,1,1,2026-08-24T00:00:00.000
78,72,223,2020-03-19,2021-03-19,1,1,2026-08-24T00:00:00.000
79,39,142,2020-03-20,2021-03-20,1,1,2026-08-24T00:00:00.000
80,144,119,2020-03-21,2021-03-21,1,1,2026-08-24T00:00:00.000
81,314,94,2020-03-22,2021-03-22,1,1,2026-08-24T00:00:00.000
82,369,120,2020-03-23,2021-03-23,1,1,2026-08-24T00:00:00.000
83,105,323,2020-03-24,2021-03-24,1,1,2026-08-24T00:00:00.000
84,206,244,2020-03-25,2021-03-25,1,1,2026-08-24T00:00:00.000
85,189,386,2020-03-26,2021-03-26,1,1,2026-08-24T00:00:00.000
86,366,259,2020-03-27,2021-03-27,1,1,2026-08-24T00:00:00.000
87,398,186,2020-03-28,2021-03-28,1,1,2026-08-24T00:00:00.000
88,153,130,2020-03-29,2021-03-29,1,1,2026-08-24T00:00:00.000
89,311,496,2020-03-30,2021-03-30,1,1,2026-08-24T00:00:00.000
90,68,485,2020-03-31,2021-03-31,1,1,2026-08-24T00:00:00.000
91,145,449,2020-04-01,2021-04-01,1,1,2026-08-24T00:00:00.000
92,102,340,2020-04-02,2021-04-02,1,1,2026-08-24T00:00:00.000
93,9,203,2020-04-03,2021-04-03,1,1,2026-08-24T00:00:00.000
94,175,330,2020-04-04,2021-04-04,1,1,2026-08-24T00:00:00.000
95,193,126,2020-04-05,2021-04-05,1,1,2026-08-24T00:00:00.000
96,438,487,2020-04-06,2021-04-06,1,1,2026-08-24T00:00:00.000
97,431,232,2020-04-07,2021-04-07,1,1,2026-08-24T00:00:00.000
98,468,133,2020-04-08,2021-04-08,1,1,2026-08-24T00:00:00.000
99,325,319,2020-04-09,2021-04-09,1,1,2026-08-24T00:00:00.000
100,391,474,2020-04-10,2021-04-10,1,1,2026-08-24T00:00:00.000
101,194,185,2020-04-11,2021-04-11,1,1,2026-08-24T00:00:00.000
102,109,325,2020-04-12,2021-04-12,1,1,2026-08-24T00:00:00.000
103,258,129,2020-04-13,2021-04-13,1,1,2026-08-24T00:00:00.000
104,171,494,2020-04-14,2021-04-14,1,1,2026-08-24T00:00:00.000
105,207,182,2020-04-15,2021-04-15,1,1,2026-08-24T00:00:00.000
106,223,76,2020-04-16,2021-04-16,1,1,2026-08-24T00:00:00.000
107,494,58,2020-04-17,2021-04-17,1,1,2026-08-24T00:00:00.000
108,372,309,2020-04-18,2021-04-18,1,1,2026-08-24T00:00:00.000
109,273,134,2020-04-19,2021-04-19,1,1,2026-08-24T00:00:00.000
110,377,313,2020-04-20,2021-04-20,1,1,2026-08-24T00:00:00.000
111,400,405,2020-04-21,2021-04-21,1,1,2026-08-24T00:00:00.000
112,289,17,2020-04-22,2021-04-22,1,1,2026-08-24T00:00:00.000
113,199,443,2020-04-23,2021-04-23,1,1,2026-08-24T00:00:00.000
114,143,331,2020-04-24,2021-04-24,1,1,2026-08-24T00:00:00.000
