ServiceOrderPartKey,ServiceRepairCodeKey,ProductKey,UnitOfMeasureKey,StandardPartQuantity,IsMandatoryPart,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.0000,0,-1,0,1900-01-01T00:00:00.000
1,394,58,3,0.8000,1,1,1,2026-08-24T00:00:00.000
2,419,140,2,1.5000,1,1,1,2026-08-24T00:00:00.000
3,267,102,3,2.2000,1,1,1,2026-08-24T00:00:00.000
4,96,349,3,2.9000,1,1,1,2026-08-24T00:00:00.000
5,367,330,7,3.6000,0,1,1,2026-08-24T00:00:00.000
6,29,97,3,4.3000,1,1,1,2026-08-24T00:00:00.000
7,67,205,2,5.0000,1,1,1,2026-08-24T00:00:00.000
8,157,316,4,5.7000,1,1,1,2026-08-24T00:00:00.000
9,279,187,1,6.4000,1,1,1,2026-08-24T00:00:00.000
10,190,314,2,7.1000,0,1,1,2026-08-24T00:00:00.000
11,143,29,3,7.8000,1,1,1,2026-08-24T00:00:00.000
12,46,229,7,8.5000,1,1,1,2026-08-24T00:00:00.000
13,476,48,6,9.2000,1,1,1,2026-08-24T00:00:00.000
14,445,252,5,9.9000,1,1,1,2026-08-24T00:00:00.000
15,371,460,7,10.6000,0,1,1,2026-08-24T00:00:00.000
16,86,479,3,11.3000,1,1,1,2026-08-24T00:00:00.000
17,378,319,5,12.0000,1,1,1,2026-08-24T00:00:00.000
18,408,47,7,12.7000,1,1,1,2026-08-24T00:00:00.000
19,483,386,7,13.4000,1,1,1,2026-08-24T00:00:00.000
20,111,409,1,14.1000,0,1,1,2026-08-24T00:00:00.000
21,84,317,6,14.8000,1,1,1,2026-08-24T00:00:00.000
22,217,245,3,15.5000,1,1,1,2026-08-24T00:00:00.000
23,440,94,4,16.2000,1,1,1,2026-08-24T00:00:00.000
24,65,152,3,16.9000,1,1,1,2026-08-24T00:00:00.000
25,170,358,4,17.6000,0,1,1,2026-08-24T00:00:00.000
26,468,179,5,18.3000,1,1,1,2026-08-24T00:00:00.000
27,342,57,4,19.0000,1,1,1,2026-08-24T00:00:00.000
28,393,289,7,19.7000,1,1,1,2026-08-24T00:00:00.000
29,126,287,7,20.4000,1,1,1,2026-08-24T00:00:00.000
30,415,235,7,21.1000,0,1,1,2026-08-24T00:00:00.000
31,381,450,1,21.8000,1,1,1,2026-08-24T00:00:00.000
32,98,82,5,22.5000,1,1,1,2026-08-24T00:00:00.000
33,440,180,1,23.2000,1,1,1,2026-08-24T00:00:00.000
34,101,466,5,23.9000,1,1,1,2026-08-24T00:00:00.000
35,271,298,2,24.6000,0,1,1,2026-08-24T00:00:00.000
36,362,79,1,25.3000,1,1,1,2026-08-24T00:00:00.000
37,207,183,5,26.0000,1,1,1,2026-08-24T00:00:00.000
38,32,295,5,26.7000,1,1,1,2026-08-24T00:00:00.000
39,452,139,1,27.4000,1,1,1,2026-08-24T00:00:00.000
40,493,341,4,28.1000,0,1,1,2026-08-24T00:00:00.000
41,278,70,2,28.8000,1,1,1,2026-08-24T00:00:00.000
42,123,226,1,29.5000,1,1,1,2026-08-24T00:00:00.000
43,395,385,5,30.2000,1,1,1,2026-08-24T00:00:00.000
44,261,404,5,30.9000,1,1,1,2026-08-24T00:00:00.000
45,102,188,7,31.6000,0,1,1,2026-08-24T00:00:00.000
46,281,483,7,32.3000,1,1,1,2026-08-24T00:00:00.000
47,478,20,6,33.0000,1,1,1,2026-08-24T00:00:00.000
48,154,236,1,33.7000,1,1,1,2026-08-24T00:00:00.000
49,161,267,4,34.4000,1,1,1,2026-08-24T00:00:00.000
50,469,238,4,35.1000,0,1,1,2026-08-24T00:00:00.000
51,464,324,7,35.8000,1,1,1,2026-08-24T00:00:00.000
52,214,238,5,36.5000,1,1,1,2026-08-24T00:00:00.000
53,387,60,2,37.2000,1,1,1,2026-08-24T00:00:00.000
54,350,262,4,37.9000,1,1,1,2026-08-24T00:00:00.000
55,179,201,1,38.6000,0,1,1,2026-08-24T00:00:00.000
56,435,296,1,39.3000,1,1,1,2026-08-24T00:00:00.000
57,45,220,4,40.0000,1,1,1,2026-08-24T00:00:00.000
58,477,332,2,40.7000,1,1,1,2026-08-24T00:00:00.000
59,445,192,3,41.4000,1,1,1,2026-08-24T00:00:00.000
60,230,289,3,42.1000,0,1,1,2026-08-24T00:00:00.000
61,438,11,5,42.8000,1,1,1,2026-08-24T00:00:00.000
62,192,222,5,43.5000,1,1,1,2026-08-24T00:00:00.000
63,232,268,3,44.2000,1,1,1,2026-08-24T00:00:00.000
64,223,213,7,44.9000,1,1,1,2026-08-24T00:00:00.000
65,359,327,5,45.6000,0,1,1,2026-08-24T00:00:00.000
66,57,260,7,46.3000,1,1,1,2026-08-24T00:00:00.000
67,40,57,6,47.0000,1,1,1,2026-08-24T00:00:00.000
68,496,207,5,47.7000,1,1,1,2026-08-24T00:00:00.000
69,383,1,7,48.4000,1,1,1,2026-08-24T00:00:00.000
70,368,154,4,49.1000,0,1,1,2026-08-24T00:00:00.000
71,291,140,5,49.8000,1,1,1,2026-08-24T00:00:00.000
72,376,61,3,50.5000,1,1,1,2026-08-24T00:00:00.000
73,269,380,1,51.2000,1,1,1,2026-08-24T00:00:00.000
74,40,39,4,51.9000,1,1,1,2026-08-24T00:00:00.000
75,222,464,5,52.6000,0,1,1,2026-08-24T00:00:00.000
76,440,17,3,53.3000,1,1,1,2026-08-24T00:00:00.000
77,410,361,3,54.0000,1,1,1,2026-08-24T00:00:00.000
78,53,387,5,54.7000,1,1,1,2026-08-24T00:00:00.000
79,381,175,1,55.4000,1,1,1,2026-08-24T00:00:00.000
80,311,132,3,56.1000,0,1,1,2026-08-24T00:00:00.000
81,439,7,1,56.8000,1,1,1,2026-08-24T00:00:00.000
82,106,151,3,57.5000,1,1,1,2026-08-24T00:00:00.000
83,323,43,6,58.2000,1,1,1,2026-08-24T00:00:00.000
84,490,347,1,58.9000,1,1,1,2026-08-24T00:00:00.000
85,16,347,2,59.6000,0,1,1,2026-08-24T00:00:00.000
86,67,204,2,60.3000,1,1,1,2026-08-24T00:00:00.000
87,207,122,6,61.0000,1,1,1,2026-08-24T00:00:00.000
88,257,415,2,61.7000,1,1,1,2026-08-24T00:00:00.000
89,283,378,7,62.4000,1,1,1,2026-08-24T00:00:00.000
90,171,394,7,63.1000,0,1,1,2026-08-24T00:00:00.000
91,147,387,1,63.8000,1,1,1,2026-08-24T00:00:00.000
92,67,330,2,64.5000,1,1,1,2026-08-24T00:00:00.000
93,69,293,2,65.2000,1,1,1,2026-08-24T00:00:00.000
94,432,130,7,65.9000,1,1,1,2026-08-24T00:00:00.000
95,380,179,7,66.6000,0,1,1,2026-08-24T00:00:00.000
96,144,403,5,67.3000,1,1,1,2026-08-24T00:00:00.000
97,392,182,6,68.0000,1,1,1,2026-08-24T00:00:00.000
98,219,365,4,68.7000,1,1,1,2026-08-24T00:00:00.000
99,47,212,5,69.4000,1,1,1,2026-08-24T00:00:00.000
100,129,340,7,70.1000,0,1,1,2026-08-24T00:00:00.000
101,315,235,6,70.8000,1,1,1,2026-08-24T00:00:00.000
102,183,341,2,71.5000,1,1,1,2026-08-24T00:00:00.000
103,124,425,2,72.2000,1,1,1,2026-08-24T00:00:00.000
104,197,106,1,72.9000,1,1,1,2026-08-24T00:00:00.000
105,1,71,4,73.6000,0,1,1,2026-08-24T00:00:00.000
106,85,379,5,74.3000,1,1,1,2026-08-24T00:00:00.000
107,280,39,2,75.0000,1,1,1,2026-08-24T00:00:00.000
108,480,239,6,75.7000,1,1,1,2026-08-24T00:00:00.000
109,495,456,5,76.4000,1,1,1,2026-08-24T00:00:00.000
110,150,105,4,77.1000,0,1,1,2026-08-24T00:00:00.000
111,321,448,1,77.8000,1,1,1,2026-08-24T00:00:00.000
112,489,249,6,78.5000,1,1,1,2026-08-24T00:00:00.000
113,183,226,3,79.2000,1,1,1,2026-08-24T00:00:00.000
114,426,153,7,79.9000,1,1,1,2026-08-24T00:00:00.000
115,426,496,3,80.6000,0,1,1,2026-08-24T00:00:00.000
116,472,154,4,81.3000,1,1,1,2026-08-24T00:00:00.000
117,60,60,4,82.0000,1,1,1,2026-08-24T00:00:00.000
118,52,427,7,82.7000,1,1,1,2026-08-24T00:00:00.000
119,160,362,3,83.4000,1,1,1,2026-08-24T00:00:00.000
120,41,298,5,84.1000,0,1,1,2026-08-24T00:00:00.000
121,130,302,6,84.8000,1,1,1,2026-08-24T00:00:00.000
122,114,120,7,85.5000,1,1,1,2026-08-24T00:00:00.000
123,256,427,7,86.2000,1,1,1,2026-08-24T00:00:00.000
124,204,256,7,86.9000,1,1,1,2026-08-24T00:00:00.000
125,264,95,6,87.6000,0,1,1,2026-08-24T00:00:00.000
126,315,32,3,88.3000,1,1,1,2026-08-24T00:00:00.000
127,59,91,3,89.0000,1,1,1,2026-08-24T00:00:00.000
128,286,302,5,89.7000,1,1,1,2026-08-24T00:00:00.000
129,4,96,3,90.4000,1,1,1,2026-08-24T00:00:00.000
130,492,272,6,91.1000,0,1,1,2026-08-24T00:00:00.000
131,423,344,1,91.8000,1,1,1,2026-08-24T00:00:00.000
132,327,238,6,92.5000,1,1,1,2026-08-24T00:00:00.000
133,37,178,1,93.2000,1,1,1,2026-08-24T00:00:00.000
134,95,326,7,93.9000,1,1,1,2026-08-24T00:00:00.000
135,103,132,3,94.6000,0,1,1,2026-08-24T00:00:00.000
136,475,285,7,95.3000,1,1,1,2026-08-24T00:00:00.000
137,294,139,5,96.0000,1,1,1,2026-08-24T00:00:00.000
138,381,275,5,96.7000,1,1,1,2026-08-24T00:00:00.000
139,238,239,4,97.4000,1,1,1,2026-08-24T00:00:00.000
140,488,496,2,98.1000,0,1,1,2026-08-24T00:00:00.000
141,71,217,5,98.8000,1,1,1,2026-08-24T00:00:00.000
142,9,100,2,99.5000,1,1,1,2026-08-24T00:00:00.000
143,61,284,7,100.2000,1,1,1,2026-08-24T00:00:00.000
144,482,83,1,100.9000,1,1,1,2026-08-24T00:00:00.000
145,17,243,3,101.6000,0,1,1,2026-08-24T00:00:00.000
146,279,400,1,102.3000,1,1,1,2026-08-24T00:00:00.000
147,199,308,4,103.0000,1,1,1,2026-08-24T00:00:00.000
148,67,44,5,103.7000,1,1,1,2026-08-24T00:00:00.000
149,12,98,7,104.4000,1,1,1,2026-08-24T00:00:00.000
150,117,418,3,105.1000,0,1,1,2026-08-24T00:00:00.000
151,141,500,2,105.8000,1,1,1,2026-08-24T00:00:00.000
152,391,137,5,106.5000,1,1,1,2026-08-24T00:00:00.000
153,386,286,1,107.2000,1,1,1,2026-08-24T00:00:00.000
154,329,177,5,107.9000,1,1,1,2026-08-24T00:00:00.000
155,492,235,7,108.6000,0,1,1,2026-08-24T00:00:00.000
156,161,224,4,109.3000,1,1,1,2026-08-24T00:00:00.000
157,156,298,5,110.0000,1,1,1,2026-08-24T00:00:00.000
158,291,58,1,110.7000,1,1,1,2026-08-24T00:00:00.000
159,406,101,4,111.4000,1,1,1,2026-08-24T00:00:00.000
160,153,198,5,112.1000,0,1,1,2026-08-24T00:00:00.000
161,369,455,4,112.8000,1,1,1,2026-08-24T00:00:00.000
162,120,169,4,113.5000,1,1,1,2026-08-24T00:00:00.000
163,417,418,4,114.2000,1,1,1,2026-08-24T00:00:00.000
164,230,60,1,114.9000,1,1,1,2026-08-24T00:00:00.000
165,312,72,1,115.6000,0,1,1,2026-08-24T00:00:00.000
166,60,407,3,116.3000,1,1,1,2026-08-24T00:00:00.000
167,407,83,2,117.0000,1,1,1,2026-08-24T00:00:00.000
168,480,272,1,117.7000,1,1,1,2026-08-24T00:00:00.000
169,157,268,4,118.4000,1,1,1,2026-08-24T00:00:00.000
170,1,192,6,119.1000,0,1,1,2026-08-24T00:00:00.000
171,362,304,7,119.8000,1,1,1,2026-08-24T00:00:00.000
172,353,327,2,120.5000,1,1,1,2026-08-24T00:00:00.000
173,271,430,3,121.2000,1,1,1,2026-08-24T00:00:00.000
174,256,283,3,121.9000,1,1,1,2026-08-24T00:00:00.000
175,242,337,6,122.6000,0,1,1,2026-08-24T00:00:00.000
176,47,355,5,123.3000,1,1,1,2026-08-24T00:00:00.000
177,104,420,6,124.0000,1,1,1,2026-08-24T00:00:00.000
178,304,99,5,124.7000,1,1,1,2026-08-24T00:00:00.000
179,64,419,3,125.4000,1,1,1,2026-08-24T00:00:00.000
180,461,177,1,126.1000,0,1,1,2026-08-24T00:00:00.000
181,112,8,2,126.8000,1,1,1,2026-08-24T00:00:00.000
182,53,353,6,127.5000,1,1,1,2026-08-24T00:00:00.000
183,5,41,2,128.2000,1,1,1,2026-08-24T00:00:00.000
184,309,232,6,128.9000,1,1,1,2026-08-24T00:00:00.000
185,459,297,5,129.6000,0,1,1,2026-08-24T00:00:00.000
186,194,207,3,130.3000,1,1,1,2026-08-24T00:00:00.000
187,448,356,6,131.0000,1,1,1,2026-08-24T00:00:00.000
188,400,152,7,131.7000,1,1,1,2026-08-24T00:00:00.000
189,367,42,1,132.4000,1,1,1,2026-08-24T00:00:00.000
190,13,194,3,133.1000,0,1,1,2026-08-24T00:00:00.000
191,452,134,1,133.8000,1,1,1,2026-08-24T00:00:00.000
192,435,490,5,134.5000,1,1,1,2026-08-24T00:00:00.000
193,138,49,7,135.2000,1,1,1,2026-08-24T00:00:00.000
194,239,103,1,135.9000,1,1,1,2026-08-24T00:00:00.000
195,422,311,1,136.6000,0,1,1,2026-08-24T00:00:00.000
196,404,116,1,137.3000,1,1,1,2026-08-24T00:00:00.000
197,87,338,5,138.0000,1,1,1,2026-08-24T00:00:00.000
198,407,152,6,138.7000,1,1,1,2026-08-24T00:00:00.000
199,350,174,2,139.4000,1,1,1,2026-08-24T00:00:00.000
200,131,338,1,140.1000,0,1,1,2026-08-24T00:00:00.000
201,151,115,4,140.8000,1,1,1,2026-08-24T00:00:00.000
202,381,270,3,141.5000,1,1,1,2026-08-24T00:00:00.000
203,240,407,1,142.2000,1,1,1,2026-08-24T00:00:00.000
204,298,382,6,142.9000,1,1,1,2026-08-24T00:00:00.000
205,305,212,2,143.6000,0,1,1,2026-08-24T00:00:00.000
206,232,84,3,144.3000,1,1,1,2026-08-24T00:00:00.000
207,223,29,7,145.0000,1,1,1,2026-08-24T00:00:00.000
208,197,458,4,145.7000,1,1,1,2026-08-24T00:00:00.000
209,115,132,4,146.4000,1,1,1,2026-08-24T00:00:00.000
210,57,476,6,147.1000,0,1,1,2026-08-24T00:00:00.000
211,47,112,7,147.8000,1,1,1,2026-08-24T00:00:00.000
212,19,497,4,148.5000,1,1,1,2026-08-24T00:00:00.000
213,97,100,6,149.2000,1,1,1,2026-08-24T00:00:00.000
214,340,385,5,149.9000,1,1,1,2026-08-24T00:00:00.000
215,43,32,4,150.6000,0,1,1,2026-08-24T00:00:00.000
216,373,77,4,151.3000,1,1,1,2026-08-24T00:00:00.000
217,466,86,6,152.0000,1,1,1,2026-08-24T00:00:00.000
218,474,427,1,152.7000,1,1,1,2026-08-24T00:00:00.000
219,251,455,7,153.4000,1,1,1,2026-08-24T00:00:00.000
220,297,472,3,154.1000,0,1,1,2026-08-24T00:00:00.000
221,263,360,6,154.8000,1,1,1,2026-08-24T00:00:00.000
222,120,272,2,155.5000,1,1,1,2026-08-24T00:00:00.000
223,212,407,7,156.2000,1,1,1,2026-08-24T00:00:00.000
224,221,225,6,156.9000,1,1,1,2026-08-24T00:00:00.000
225,387,158,2,157.6000,0,1,1,2026-08-24T00:00:00.000
226,421,338,5,158.3000,1,1,1,2026-08-24T00:00:00.000
227,221,335,7,159.0000,1,1,1,2026-08-24T00:00:00.000
228,472,70,3,159.7000,1,1,1,2026-08-24T00:00:00.000
229,109,164,6,160.4000,1,1,1,2026-08-24T00:00:00.000
230,128,264,2,161.1000,0,1,1,2026-08-24T00:00:00.000
231,221,197,2,161.8000,1,1,1,2026-08-24T00:00:00.000
232,79,162,2,162.5000,1,1,1,2026-08-24T00:00:00.000
233,359,237,6,163.2000,1,1,1,2026-08-24T00:00:00.000
234,375,411,1,163.9000,1,1,1,2026-08-24T00:00:00.000
235,319,372,1,164.6000,0,1,1,2026-08-24T00:00:00.000
236,178,215,6,165.3000,1,1,1,2026-08-24T00:00:00.000
237,245,414,4,166.0000,1,1,1,2026-08-24T00:00:00.000
238,59,291,7,166.7000,1,1,1,2026-08-24T00:00:00.000
