AccountGroupKey,AccountGroupCode,AccountCategoryKey,AccountGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,AG000001,1,Meridian AccountGroup 1,1,1,2026-08-24T00:00:00.000
2,AG000002,6,Zenith AccountGroup 2,1,1,2026-08-24T00:00:00.000
3,AG000003,4,Evergreen AccountGroup 3,1,1,2026-08-24T00:00:00.000
4,AG000004,1,Ion AccountGroup 4,1,1,2026-08-24T00:00:00.000
5,AG000005,2,Unity AccountGroup 5,1,1,2026-08-24T00:00:00.000
6,AG000006,5,Titan AccountGroup 6,1,1,2026-08-24T00:00:00.000
7,AG000007,1,Keystone AccountGroup 7,1,1,2026-08-24T00:00:00.000
8,AG000008,3,Riverton AccountGroup 8,1,1,2026-08-24T00:00:00.000
9,AG000009,2,Willow AccountGroup 9,1,1,2026-08-24T00:00:00.000
10,AG000010,6,Ion AccountGroup 10,1,1,2026-08-24T00:00:00.000
11,AG000011,1,Junction AccountGroup 11,1,1,2026-08-24T00:00:00.000
12,AG000012,7,Quartz AccountGroup 12,1,1,2026-08-24T00:00:00.000
13,AG000013,7,Cedar AccountGroup 13,1,1,2026-08-24T00:00:00.000
14,AG000014,3,Evergreen AccountGroup 14,1,1,2026-08-24T00:00:00.000
15,AG000015,8,Zenith AccountGroup 15,1,1,2026-08-24T00:00:00.000
16,AG000016,6,Northstar AccountGroup 16,1,1,2026-08-24T00:00:00.000
17,AG000017,4,Meridian AccountGroup 17,1,1,2026-08-24T00:00:00.000
18,AG000018,7,Evergreen AccountGroup 18,1,1,2026-08-24T00:00:00.000
19,AG000019,2,Granite AccountGroup 19,1,1,2026-08-24T00:00:00.000
20,AG000020,5,Vertex AccountGroup 20,1,1,2026-08-24T00:00:00.000
21,AG000021,2,Harbor AccountGroup 21,1,1,2026-08-24T00:00:00.000
22,AG000022,1,Orion AccountGroup 22,1,1,2026-08-24T00:00:00.000
23,AG000023,5,Willow AccountGroup 23,1,1,2026-08-24T00:00:00.000
24,AG000024,3,Zenith AccountGroup 24,1,1,2026-08-24T00:00:00.000
25,AG000025,8,Riverton AccountGroup 25,1,1,2026-08-24T00:00:00.000
26,AG000026,3,Junction AccountGroup 26,1,1,2026-08-24T00:00:00.000
27,AG000027,2,Meridian AccountGroup 27,1,1,2026-08-24T00:00:00.000
28,AG000028,7,Unity AccountGroup 28,1,1,2026-08-24T00:00:00.000
29,AG000029,8,Granite AccountGroup 29,1,1,2026-08-24T00:00:00.000
30,AG000030,2,Pioneer AccountGroup 30,1,1,2026-08-24T00:00:00.000
31,AG000031,1,Beacon AccountGroup 31,1,1,2026-08-24T00:00:00.000
32,AG000032,1,Keystone AccountGroup 32,1,1,2026-08-24T00:00:00.000
33,AG000033,5,Vertex AccountGroup 33,1,1,2026-08-24T00:00:00.000
34,AG000034,4,Quartz AccountGroup 34,1,1,2026-08-24T00:00:00.000
35,AG000035,7,Cedar AccountGroup 35,1,1,2026-08-24T00:00:00.000
36,AG000036,1,Evergreen AccountGroup 36,1,1,2026-08-24T00:00:00.000
37,AG000037,8,Pioneer AccountGroup 37,1,1,2026-08-24T00:00:00.000
38,AG000038,7,Atlas AccountGroup 38,1,1,2026-08-24T00:00:00.000
39,AG000039,5,Titan AccountGroup 39,1,1,2026-08-24T00:00:00.000
40,AG000040,5,Junction AccountGroup 40,1,1,2026-08-24T00:00:00.000
41,AG000041,4,Junction AccountGroup 41,1,1,2026-08-24T00:00:00.000
42,AG000042,2,Summit AccountGroup 42,1,1,2026-08-24T00:00:00.000
43,AG000043,3,Meridian AccountGroup 43,1,1,2026-08-24T00:00:00.000
44,AG000044,7,Unity AccountGroup 44,1,1,2026-08-24T00:00:00.000
45,AG000045,5,Harbor AccountGroup 45,1,1,2026-08-24T00:00:00.000
