AccountSubGroupKey,AccountSubGroupCode,AccountGroupKey,AccountSubGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ASG000001,8,Unity AccountSubGroup 1,1,1,2026-08-24T00:00:00.000
2,ASG000002,5,Titan AccountSubGroup 2,1,1,2026-08-24T00:00:00.000
3,ASG000003,33,Keystone AccountSubGroup 3,1,1,2026-08-24T00:00:00.000
4,ASG000004,31,Atlas AccountSubGroup 4,1,1,2026-08-24T00:00:00.000
5,ASG000005,1,Northstar AccountSubGroup 5,1,1,2026-08-24T00:00:00.000
6,ASG000006,30,Pioneer AccountSubGroup 6,1,1,2026-08-24T00:00:00.000
7,ASG000007,17,Forge AccountSubGroup 7,1,1,2026-08-24T00:00:00.000
8,ASG000008,18,Beacon AccountSubGroup 8,1,1,2026-08-24T00:00:00.000
9,ASG000009,16,Vertex AccountSubGroup 9,1,1,2026-08-24T00:00:00.000
10,ASG000010,23,Cedar AccountSubGroup 10,1,1,2026-08-24T00:00:00.000
11,ASG000011,42,Delta AccountSubGroup 11,1,1,2026-08-24T00:00:00.000
12,ASG000012,38,Delta AccountSubGroup 12,1,1,2026-08-24T00:00:00.000
13,ASG000013,16,Keystone AccountSubGroup 13,1,1,2026-08-24T00:00:00.000
14,ASG000014,42,Granite AccountSubGroup 14,1,1,2026-08-24T00:00:00.000
15,ASG000015,40,Vertex AccountSubGroup 15,1,1,2026-08-24T00:00:00.000
16,ASG000016,15,Summit AccountSubGroup 16,1,1,2026-08-24T00:00:00.000
17,ASG000017,40,Quartz AccountSubGroup 17,1,1,2026-08-24T00:00:00.000
18,ASG000018,2,Atlas AccountSubGroup 18,1,1,2026-08-24T00:00:00.000
19,ASG000019,11,Evergreen AccountSubGroup 19,1,1,2026-08-24T00:00:00.000
20,ASG000020,34,Delta AccountSubGroup 20,1,1,2026-08-24T00:00:00.000
21,ASG000021,20,Atlas AccountSubGroup 21,1,1,2026-08-24T00:00:00.000
22,ASG000022,12,Pioneer AccountSubGroup 22,1,1,2026-08-24T00:00:00.000
23,ASG000023,2,Vertex AccountSubGroup 23,1,1,2026-08-24T00:00:00.000
24,ASG000024,22,Keystone AccountSubGroup 24,1,1,2026-08-24T00:00:00.000
25,ASG000025,18,Northstar AccountSubGroup 25,1,1,2026-08-24T00:00:00.000
26,ASG000026,2,Keystone AccountSubGroup 26,1,1,2026-08-24T00:00:00.000
27,ASG000027,41,Evergreen AccountSubGroup 27,1,1,2026-08-24T00:00:00.000
