AssetKey,AssetNumber,SiteKey,AssetModelKey,AssetCriticalityKey,ParentAssetKey,AssetStatusKey,MaintenanceStrategyKey,UnitOfMeasureKey,RecordStatusKey,AssetName,AssetDescription,SerialNumber,InstallationDate,CommissionedDate,RetirementDate,ReplacementCostAmount,NameplateCapacityValue,WarrantyEndDate,SafetyCriticalFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,-1,Unknown,N/A,UNKNOWN,1900-01-01,1900-01-01,1900-01-01,0.0000,0.0000,1900-01-01,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,A000001,169,351,9,-1,8,10,5,3,Keystone Asset 1,Asset starter record 1,A000001,2020-01-02,2020-01-02,2021-01-01,11.3700,11.3700,2021-01-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55e26fa5532354ecae49a0c74c6fd16855e26fa5532354ecae49a0c74c6fd168
2,A000002,291,100,9,-1,11,3,4,2,Quartz Asset 2,Asset starter record 2,A000002,2020-01-03,2020-01-03,2021-01-02,12.7400,12.7400,2021-01-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4eff8682b05b5642b1513419e6092d814eff8682b05b5642b1513419e6092d81
3,A000003,354,295,1,-1,3,8,5,2,Willow Asset 3,Asset starter record 3,A000003,2020-01-04,2020-01-04,2021-01-03,14.1100,14.1100,2021-01-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fd7589fab5653a7b344cee26d876b1b3fd7589fab5653a7b344cee26d876b1b
4,A000004,83,86,9,-1,2,10,6,3,Orion Asset 4,Asset starter record 4,A000004,2020-01-05,2020-01-05,2021-01-04,15.4800,15.4800,2021-01-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e69fa38ea395b8198baa816584466bf7e69fa38ea395b8198baa816584466bf
5,A000005,239,275,1,-1,10,9,7,4,Willow Asset 5,Asset starter record 5,A000005,2020-01-06,2020-01-06,2021-01-05,16.8500,16.8500,2021-01-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea1e3c7eecb855dd9318c3da345a1fccea1e3c7eecb855dd9318c3da345a1fcc
6,A000006,224,100,2,-1,6,8,5,3,Liberty Asset 6,Asset starter record 6,A000006,2020-01-07,2020-01-07,2021-01-06,18.2200,18.2200,2021-01-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51377ce410cf58e483747639df6077b451377ce410cf58e483747639df6077b4
7,A000007,353,290,5,-1,8,6,2,2,Ion Asset 7,Asset starter record 7,A000007,2020-01-08,2020-01-08,2021-01-07,19.5900,19.5900,2021-01-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c0c1f956be7510ea5b5010cd265c68c2c0c1f956be7510ea5b5010cd265c68c
8,A000008,453,207,7,-1,8,10,7,1,Pioneer Asset 8,Asset starter record 8,A000008,2020-01-09,2020-01-09,2021-01-08,20.9600,20.9600,2021-01-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6becfc166a265ed6ae21386b988c9add6becfc166a265ed6ae21386b988c9add
9,A000009,406,236,1,-1,2,5,1,3,Quartz Asset 9,Asset starter record 9,A000009,2020-01-10,2020-01-10,2021-01-09,22.3300,22.3300,2021-01-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6fb856c48695a4d929de3b4e5c2960fd6fb856c48695a4d929de3b4e5c2960f
10,A000010,207,344,8,-1,11,5,3,3,Harbor Asset 10,Asset starter record 10,A000010,2020-01-11,2020-01-11,2021-01-10,23.7000,23.7000,2021-01-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0059e28075ba570e85f1693641bf4fe20059e28075ba570e85f1693641bf4fe2
11,A000011,286,160,10,-1,4,1,1,3,Junction Asset 11,Asset starter record 11,A000011,2020-01-12,2020-01-12,2021-01-11,25.0700,25.0700,2021-01-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b108aa12090585d92dd29d260f430159b108aa12090585d92dd29d260f43015
12,A000012,196,452,4,-1,14,8,4,3,Cedar Asset 12,Asset starter record 12,A000012,2020-01-13,2020-01-13,2021-01-12,26.4400,26.4400,2021-01-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3b6640ae88351b19d99412ed235fa64d3b6640ae88351b19d99412ed235fa64
13,A000013,30,413,3,-1,3,7,6,2,Junction Asset 13,Asset starter record 13,A000013,2020-01-14,2020-01-14,2021-01-13,27.8100,27.8100,2021-01-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bcf4ab068d753aa9dd5afb61f66a8d29bcf4ab068d753aa9dd5afb61f66a8d2
14,A000014,426,280,3,-1,9,2,7,4,Zenith Asset 14,Asset starter record 14,A000014,2020-01-15,2020-01-15,2021-01-14,29.1800,29.1800,2021-01-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d3ce3f15f4a5f1d9e0d1dc3ea7910b91d3ce3f15f4a5f1d9e0d1dc3ea7910b9
15,A000015,372,158,5,-1,14,8,7,4,Harbor Asset 15,Asset starter record 15,A000015,2020-01-16,2020-01-16,2021-01-15,30.5500,30.5500,2021-01-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f615105f71f5aa3a4e265fa504daf1b5f615105f71f5aa3a4e265fa504daf1b
16,A000016,479,136,6,-1,3,3,5,4,Summit Asset 16,Asset starter record 16,A000016,2020-01-17,2020-01-17,2021-01-16,31.9200,31.9200,2021-01-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,998cb7bc3b415341bee59048d9ad725b998cb7bc3b415341bee59048d9ad725b
17,A000017,291,426,3,-1,11,5,2,2,Liberty Asset 17,Asset starter record 17,A000017,2020-01-18,2020-01-18,2021-01-17,33.2900,33.2900,2021-01-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff4193fb0f595a079b6b0edb2e6e9ccfff4193fb0f595a079b6b0edb2e6e9ccf
18,A000018,64,412,6,-1,9,2,2,3,Keystone Asset 18,Asset starter record 18,A000018,2020-01-19,2020-01-19,2021-01-18,34.6600,34.6600,2021-01-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1001ba62301651318331f374b3d18e1e1001ba62301651318331f374b3d18e1e
19,A000019,99,300,7,-1,4,2,1,3,Summit Asset 19,Asset starter record 19,A000019,2020-01-20,2020-01-20,2021-01-19,36.0300,36.0300,2021-01-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0629491de3f351098b0f38ff8a5d3d590629491de3f351098b0f38ff8a5d3d59
20,A000020,141,74,9,-1,7,4,2,1,Unity Asset 20,Asset starter record 20,A000020,2020-01-21,2020-01-21,2021-01-20,37.4000,37.4000,2021-01-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b0a0d3be13d5eae9ad751fce1b559e87b0a0d3be13d5eae9ad751fce1b559e8
21,A000021,63,266,4,-1,14,1,6,2,Riverton Asset 21,Asset starter record 21,A000021,2020-01-22,2020-01-22,2021-01-21,38.7700,38.7700,2021-01-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e9759dac450587baa5096e5d941b7890e9759dac450587baa5096e5d941b789
22,A000022,283,244,10,-1,8,3,4,4,Ion Asset 22,Asset starter record 22,A000022,2020-01-23,2020-01-23,2021-01-22,40.1400,40.1400,2021-01-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7402d8d30a5551689d7f681bc1a08db57402d8d30a5551689d7f681bc1a08db5
23,A000023,465,318,6,-1,11,1,4,2,Orion Asset 23,Asset starter record 23,A000023,2020-01-24,2020-01-24,2021-01-23,41.5100,41.5100,2021-01-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1068b82e58165d7599740ef4d1676ce71068b82e58165d7599740ef4d1676ce7
24,A000024,14,360,7,-1,9,5,1,1,Cedar Asset 24,Asset starter record 24,A000024,2020-01-25,2020-01-25,2021-01-24,42.8800,42.8800,2021-01-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,605f33442e8b510189a6ecebf470a9c9605f33442e8b510189a6ecebf470a9c9
25,A000025,219,365,10,-1,7,1,3,4,Ion Asset 25,Asset starter record 25,A000025,2020-01-26,2020-01-26,2021-01-25,44.2500,44.2500,2021-01-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97159914c51c57d2b88ed9177486b25897159914c51c57d2b88ed9177486b258
26,A000026,282,92,5,-1,15,10,6,1,Evergreen Asset 26,Asset starter record 26,A000026,2020-01-27,2020-01-27,2021-01-26,45.6200,45.6200,2021-01-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b48205bdf66a5ea495e5d3a456b42dd0b48205bdf66a5ea495e5d3a456b42dd0
27,A000027,402,408,6,-1,5,6,1,1,Quartz Asset 27,Asset starter record 27,A000027,2020-01-28,2020-01-28,2021-01-27,46.9900,46.9900,2021-01-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4dd74f332935263aaf4193554f6ab0bb4dd74f332935263aaf4193554f6ab0b
28,A000028,491,320,10,-1,6,7,1,4,Summit Asset 28,Asset starter record 28,A000028,2020-01-29,2020-01-29,2021-01-28,48.3600,48.3600,2021-01-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c8d53bfcf885a748a5dfc67d89c10a05c8d53bfcf885a748a5dfc67d89c10a0
29,A000029,29,461,4,-1,16,6,2,4,Northstar Asset 29,Asset starter record 29,A000029,2020-01-30,2020-01-30,2021-01-29,49.7300,49.7300,2021-01-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bd2fa508c8458be81b307f5c10d7e3e9bd2fa508c8458be81b307f5c10d7e3e
30,A000030,272,103,3,-1,12,7,1,4,Quartz Asset 30,Asset starter record 30,A000030,2020-01-31,2020-01-31,2021-01-30,51.1000,51.1000,2021-01-30,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c4d7419d38b5b46955695ff6df76d974c4d7419d38b5b46955695ff6df76d97
31,A000031,447,70,5,-1,13,10,5,3,Delta Asset 31,Asset starter record 31,A000031,2020-02-01,2020-02-01,2021-01-31,52.4700,52.4700,2021-01-31,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a1735d0745855cab9af9f098d584dec7a1735d0745855cab9af9f098d584dec
