BomClassKey,BomClassCode,BomFamilyKey,BomClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,BC000001,9,Beacon BomClass 1,1,1,2026-08-24T00:00:00.000
2,BC000002,5,Granite BomClass 2,1,1,2026-08-24T00:00:00.000
3,BC000003,18,Willow BomClass 3,1,1,2026-08-24T00:00:00.000
4,BC000004,19,Harbor BomClass 4,1,1,2026-08-24T00:00:00.000
5,BC000005,14,Atlas BomClass 5,1,1,2026-08-24T00:00:00.000
6,BC000006,2,Titan BomClass 6,1,1,2026-08-24T00:00:00.000
7,BC000007,1,Cedar BomClass 7,1,1,2026-08-24T00:00:00.000
8,BC000008,12,Harbor BomClass 8,1,1,2026-08-24T00:00:00.000
9,BC000009,5,Northstar BomClass 9,1,1,2026-08-24T00:00:00.000
10,BC000010,17,Keystone BomClass 10,1,1,2026-08-24T00:00:00.000
11,BC000011,1,Junction BomClass 11,1,1,2026-08-24T00:00:00.000
12,BC000012,3,Keystone BomClass 12,1,1,2026-08-24T00:00:00.000
13,BC000013,19,Atlas BomClass 13,1,1,2026-08-24T00:00:00.000
14,BC000014,19,Granite BomClass 14,1,1,2026-08-24T00:00:00.000
15,BC000015,9,Ion BomClass 15,1,1,2026-08-24T00:00:00.000
16,BC000016,16,Summit BomClass 16,1,1,2026-08-24T00:00:00.000
17,BC000017,15,Junction BomClass 17,1,1,2026-08-24T00:00:00.000
18,BC000018,15,Granite BomClass 18,1,1,2026-08-24T00:00:00.000
19,BC000019,13,Willow BomClass 19,1,1,2026-08-24T00:00:00.000
20,BC000020,8,Meridian BomClass 20,1,1,2026-08-24T00:00:00.000
21,BC000021,14,Harbor BomClass 21,1,1,2026-08-24T00:00:00.000
22,BC000022,16,Evergreen BomClass 22,1,1,2026-08-24T00:00:00.000
23,BC000023,14,Harbor BomClass 23,1,1,2026-08-24T00:00:00.000
24,BC000024,8,Cedar BomClass 24,1,1,2026-08-24T00:00:00.000
25,BC000025,5,Orion BomClass 25,1,1,2026-08-24T00:00:00.000
26,BC000026,5,Summit BomClass 26,1,1,2026-08-24T00:00:00.000
27,BC000027,10,Unity BomClass 27,1,1,2026-08-24T00:00:00.000
28,BC000028,6,Unity BomClass 28,1,1,2026-08-24T00:00:00.000
29,BC000029,1,Northstar BomClass 29,1,1,2026-08-24T00:00:00.000
30,BC000030,19,Quartz BomClass 30,1,1,2026-08-24T00:00:00.000
31,BC000031,9,Harbor BomClass 31,1,1,2026-08-24T00:00:00.000
32,BC000032,7,Northstar BomClass 32,1,1,2026-08-24T00:00:00.000
33,BC000033,4,Meridian BomClass 33,1,1,2026-08-24T00:00:00.000
34,BC000034,19,Titan BomClass 34,1,1,2026-08-24T00:00:00.000
35,BC000035,7,Pioneer BomClass 35,1,1,2026-08-24T00:00:00.000
36,BC000036,5,Pioneer BomClass 36,1,1,2026-08-24T00:00:00.000
37,BC000037,4,Harbor BomClass 37,1,1,2026-08-24T00:00:00.000
38,BC000038,19,Riverton BomClass 38,1,1,2026-08-24T00:00:00.000
39,BC000039,17,Northstar BomClass 39,1,1,2026-08-24T00:00:00.000
40,BC000040,6,Willow BomClass 40,1,1,2026-08-24T00:00:00.000
41,BC000041,11,Evergreen BomClass 41,1,1,2026-08-24T00:00:00.000
42,BC000042,5,Atlas BomClass 42,1,1,2026-08-24T00:00:00.000
43,BC000043,3,Evergreen BomClass 43,1,1,2026-08-24T00:00:00.000
44,BC000044,18,Riverton BomClass 44,1,1,2026-08-24T00:00:00.000
45,BC000045,16,Unity BomClass 45,1,1,2026-08-24T00:00:00.000
46,BC000046,16,Zenith BomClass 46,1,1,2026-08-24T00:00:00.000
47,BC000047,3,Liberty BomClass 47,1,1,2026-08-24T00:00:00.000
48,BC000048,17,Delta BomClass 48,1,1,2026-08-24T00:00:00.000
49,BC000049,12,Pioneer BomClass 49,1,1,2026-08-24T00:00:00.000
50,BC000050,12,Zenith BomClass 50,1,1,2026-08-24T00:00:00.000
51,BC000051,4,Delta BomClass 51,1,1,2026-08-24T00:00:00.000
52,BC000052,9,Summit BomClass 52,1,1,2026-08-24T00:00:00.000
53,BC000053,11,Evergreen BomClass 53,1,1,2026-08-24T00:00:00.000
54,BC000054,2,Willow BomClass 54,1,1,2026-08-24T00:00:00.000
55,BC000055,9,Zenith BomClass 55,1,1,2026-08-24T00:00:00.000
56,BC000056,9,Zenith BomClass 56,1,1,2026-08-24T00:00:00.000
57,BC000057,9,Northstar BomClass 57,1,1,2026-08-24T00:00:00.000
58,BC000058,9,Liberty BomClass 58,1,1,2026-08-24T00:00:00.000
59,BC000059,4,Unity BomClass 59,1,1,2026-08-24T00:00:00.000
60,BC000060,9,Atlas BomClass 60,1,1,2026-08-24T00:00:00.000
61,BC000061,5,Ion BomClass 61,1,1,2026-08-24T00:00:00.000
62,BC000062,6,Junction BomClass 62,1,1,2026-08-24T00:00:00.000
63,BC000063,19,Northstar BomClass 63,1,1,2026-08-24T00:00:00.000
64,BC000064,7,Riverton BomClass 64,1,1,2026-08-24T00:00:00.000
65,BC000065,12,Keystone BomClass 65,1,1,2026-08-24T00:00:00.000
66,BC000066,10,Vertex BomClass 66,1,1,2026-08-24T00:00:00.000
67,BC000067,9,Junction BomClass 67,1,1,2026-08-24T00:00:00.000
68,BC000068,14,Willow BomClass 68,1,1,2026-08-24T00:00:00.000
69,BC000069,7,Zenith BomClass 69,1,1,2026-08-24T00:00:00.000
70,BC000070,8,Beacon BomClass 70,1,1,2026-08-24T00:00:00.000
71,BC000071,14,Junction BomClass 71,1,1,2026-08-24T00:00:00.000
72,BC000072,8,Delta BomClass 72,1,1,2026-08-24T00:00:00.000
73,BC000073,11,Atlas BomClass 73,1,1,2026-08-24T00:00:00.000
74,BC000074,2,Riverton BomClass 74,1,1,2026-08-24T00:00:00.000
75,BC000075,15,Vertex BomClass 75,1,1,2026-08-24T00:00:00.000
76,BC000076,3,Summit BomClass 76,1,1,2026-08-24T00:00:00.000
77,BC000077,6,Orion BomClass 77,1,1,2026-08-24T00:00:00.000
78,BC000078,3,Cedar BomClass 78,1,1,2026-08-24T00:00:00.000
79,BC000079,1,Beacon BomClass 79,1,1,2026-08-24T00:00:00.000
80,BC000080,7,Vertex BomClass 80,1,1,2026-08-24T00:00:00.000
