BomFamilyKey,BomFamilyCode,BomFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,BF000001,Junction BomFamily 1,1,1,2026-08-24T00:00:00.000
2,BF000002,Willow BomFamily 2,1,1,2026-08-24T00:00:00.000
3,BF000003,Pioneer BomFamily 3,1,1,2026-08-24T00:00:00.000
4,BF000004,Delta BomFamily 4,1,1,2026-08-24T00:00:00.000
5,BF000005,Orion BomFamily 5,1,1,2026-08-24T00:00:00.000
6,BF000006,Junction BomFamily 6,1,1,2026-08-24T00:00:00.000
7,BF000007,Liberty BomFamily 7,1,1,2026-08-24T00:00:00.000
8,BF000008,Evergreen BomFamily 8,1,1,2026-08-24T00:00:00.000
9,BF000009,Unity BomFamily 9,1,1,2026-08-24T00:00:00.000
10,BF000010,Willow BomFamily 10,1,1,2026-08-24T00:00:00.000
11,BF000011,Unity BomFamily 11,1,1,2026-08-24T00:00:00.000
12,BF000012,Titan BomFamily 12,1,1,2026-08-24T00:00:00.000
13,BF000013,Delta BomFamily 13,1,1,2026-08-24T00:00:00.000
14,BF000014,Willow BomFamily 14,1,1,2026-08-24T00:00:00.000
15,BF000015,Willow BomFamily 15,1,1,2026-08-24T00:00:00.000
16,BF000016,Meridian BomFamily 16,1,1,2026-08-24T00:00:00.000
17,BF000017,Evergreen BomFamily 17,1,1,2026-08-24T00:00:00.000
18,BF000018,Vertex BomFamily 18,1,1,2026-08-24T00:00:00.000
19,BF000019,Junction BomFamily 19,1,1,2026-08-24T00:00:00.000
20,BF000020,Vertex BomFamily 20,1,1,2026-08-24T00:00:00.000
