BomHeaderKey,BomNumber,ProductKey,BomUsageCategoryKey,EngineeringLifecycleStatusKey,BomHeaderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,BH000001,75,184,10,Atlas BomHeader 1,BH000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4933eae71ad5572c92c6a1f87ccdf7db4933eae71ad5572c92c6a1f87ccdf7db
2,BH000002,152,426,10,Delta BomHeader 2,BH000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68befce0604151f9a0ba9ab673218e6b68befce0604151f9a0ba9ab673218e6b
3,BH000003,498,448,2,Vertex BomHeader 3,BH000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cd95eaa14c656ef8e1af4258b26f88e5cd95eaa14c656ef8e1af4258b26f88e
4,BH000004,167,220,7,Liberty BomHeader 4,BH000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02f2d68ce8c85b4587d72eabfbcef47402f2d68ce8c85b4587d72eabfbcef474
5,BH000005,234,159,1,Unity BomHeader 5,BH000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eadf4a57fb64515fbc6249647d7ea5bbeadf4a57fb64515fbc6249647d7ea5bb
6,BH000006,317,429,1,Liberty BomHeader 6,BH000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83455e972c09596b9561ef43d9a8d2f783455e972c09596b9561ef43d9a8d2f7
7,BH000007,399,91,7,Quartz BomHeader 7,BH000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c44b5cea11750d4b2e6177499a44fff6c44b5cea11750d4b2e6177499a44fff
8,BH000008,294,209,9,Atlas BomHeader 8,BH000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d631e348c2425d97bb3197da3feb27e0d631e348c2425d97bb3197da3feb27e0
9,BH000009,327,119,7,Summit BomHeader 9,BH000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ce15d0d09845d4b9ce202a5e3d5fae39ce15d0d09845d4b9ce202a5e3d5fae3
10,BH000010,456,270,4,Granite BomHeader 10,BH000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e881b913c4a7531291cc8d155db2333ee881b913c4a7531291cc8d155db2333e
11,BH000011,126,182,4,Cedar BomHeader 11,BH000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,205c8599f298562fa7693b339f13efaf205c8599f298562fa7693b339f13efaf
12,BH000012,484,288,6,Beacon BomHeader 12,BH000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b579a475e8bc597c805f5ffbaf1f8288b579a475e8bc597c805f5ffbaf1f8288
