BusinessUnitKey,BusinessUnitCode,OrgBusinessUnitKey,BusinessUnitPortfolioKey,CurrencyKey,RecordStatusKey,BusinessUnitName,BusinessUnitDescription,PresidentName,PrimaryPlantCode,DefaultCurrencyCode,ProfitCenterCode,StrategicFlag,EffectiveStartDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,-1,-1,Unknown,N/A,Unknown,UNKNOWN,UNK,UNKNOWN,0,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,BU000001,142,20,2,1,Delta BusinessUnit 1,BusinessUnit starter record 1,Morgan Garcia,BU000001,EUR,BU000001,1,2020-01-02,1,1,2026-08-24T00:00:00.000
2,BU000002,102,7,3,4,Riverton BusinessUnit 2,BusinessUnit starter record 2,Riley Adams,BU000002,GBP,BU000002,1,2020-01-03,1,1,2026-08-24T00:00:00.000
3,BU000003,97,45,1,4,Forge BusinessUnit 3,BusinessUnit starter record 3,Taylor Martin,BU000003,CAD,BU000003,1,2020-01-04,1,1,2026-08-24T00:00:00.000
4,BU000004,146,14,4,3,Quartz BusinessUnit 4,BusinessUnit starter record 4,Casey Adams,BU000004,MXN,BU000004,1,2020-01-05,1,1,2026-08-24T00:00:00.000
5,BU000005,88,28,5,2,Granite BusinessUnit 5,BusinessUnit starter record 5,Morgan Patel,BU000005,JPY,BU000005,0,2020-01-06,1,1,2026-08-24T00:00:00.000
6,BU000006,89,61,1,3,Forge BusinessUnit 6,BusinessUnit starter record 6,Casey Khan,BU000006,USD,BU000006,1,2020-01-07,1,1,2026-08-24T00:00:00.000
7,BU000007,31,27,4,1,Riverton BusinessUnit 7,BusinessUnit starter record 7,Jordan Khan,BU000007,EUR,BU000007,1,2020-01-08,1,1,2026-08-24T00:00:00.000
8,BU000008,31,39,5,1,Beacon BusinessUnit 8,BusinessUnit starter record 8,Finley Garcia,BU000008,GBP,BU000008,1,2020-01-09,1,1,2026-08-24T00:00:00.000
9,BU000009,147,58,2,4,Quartz BusinessUnit 9,BusinessUnit starter record 9,Harper Khan,BU000009,CAD,BU000009,1,2020-01-10,1,1,2026-08-24T00:00:00.000
10,BU000010,105,64,4,2,Harbor BusinessUnit 10,BusinessUnit starter record 10,Blair Khan,BU000010,MXN,BU000010,0,2020-01-11,1,1,2026-08-24T00:00:00.000
11,BU000011,108,68,4,1,Forge BusinessUnit 11,BusinessUnit starter record 11,Devon Evans,BU000011,JPY,BU000011,1,2020-01-12,1,1,2026-08-24T00:00:00.000
12,BU000012,14,63,1,3,Keystone BusinessUnit 12,BusinessUnit starter record 12,Jordan Singh,BU000012,USD,BU000012,1,2020-01-13,1,1,2026-08-24T00:00:00.000
13,BU000013,118,57,4,2,Keystone BusinessUnit 13,BusinessUnit starter record 13,Morgan Khan,BU000013,EUR,BU000013,1,2020-01-14,1,1,2026-08-24T00:00:00.000
14,BU000014,154,68,1,2,Unity BusinessUnit 14,BusinessUnit starter record 14,Blair Khan,BU000014,GBP,BU000014,1,2020-01-15,1,1,2026-08-24T00:00:00.000
15,BU000015,1,1,5,3,Forge BusinessUnit 15,BusinessUnit starter record 15,Emerson Khan,BU000015,CAD,BU000015,0,2020-01-16,1,1,2026-08-24T00:00:00.000
16,BU000016,110,11,2,2,Harbor BusinessUnit 16,BusinessUnit starter record 16,Harper Singh,BU000016,MXN,BU000016,1,2020-01-17,1,1,2026-08-24T00:00:00.000
17,BU000017,2,43,3,2,Keystone BusinessUnit 17,BusinessUnit starter record 17,Jordan Bennett,BU000017,JPY,BU000017,1,2020-01-18,1,1,2026-08-24T00:00:00.000
18,BU000018,11,12,1,4,Delta BusinessUnit 18,BusinessUnit starter record 18,Casey Reed,BU000018,USD,BU000018,1,2020-01-19,1,1,2026-08-24T00:00:00.000
19,BU000019,49,15,3,2,Orion BusinessUnit 19,BusinessUnit starter record 19,Casey Hughes,BU000019,EUR,BU000019,1,2020-01-20,1,1,2026-08-24T00:00:00.000
20,BU000020,81,23,3,4,Meridian BusinessUnit 20,BusinessUnit starter record 20,Emerson Bennett,BU000020,GBP,BU000020,0,2020-01-21,1,1,2026-08-24T00:00:00.000
21,BU000021,138,70,5,4,Summit BusinessUnit 21,BusinessUnit starter record 21,Finley Patel,BU000021,CAD,BU000021,1,2020-01-22,1,1,2026-08-24T00:00:00.000
22,BU000022,134,34,5,1,Harbor BusinessUnit 22,BusinessUnit starter record 22,Riley Evans,BU000022,MXN,BU000022,1,2020-01-23,1,1,2026-08-24T00:00:00.000
