CalendarYearKey,CalendarYearCode,CalendarYearName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,CY000001,Meridian CalendarYear 1,1,1,2026-08-24T00:00:00.000
2,CY000002,Beacon CalendarYear 2,1,1,2026-08-24T00:00:00.000
3,CY000003,Riverton CalendarYear 3,1,1,2026-08-24T00:00:00.000
4,CY000004,Meridian CalendarYear 4,1,1,2026-08-24T00:00:00.000
5,CY000005,Titan CalendarYear 5,1,1,2026-08-24T00:00:00.000
6,CY000006,Riverton CalendarYear 6,1,1,2026-08-24T00:00:00.000
7,CY000007,Atlas CalendarYear 7,1,1,2026-08-24T00:00:00.000
8,CY000008,Keystone CalendarYear 8,1,1,2026-08-24T00:00:00.000
9,CY000009,Willow CalendarYear 9,1,1,2026-08-24T00:00:00.000
10,CY000010,Zenith CalendarYear 10,1,1,2026-08-24T00:00:00.000
11,CY000011,Northstar CalendarYear 11,1,1,2026-08-24T00:00:00.000
12,CY000012,Meridian CalendarYear 12,1,1,2026-08-24T00:00:00.000
13,CY000013,Keystone CalendarYear 13,1,1,2026-08-24T00:00:00.000
14,CY000014,Evergreen CalendarYear 14,1,1,2026-08-24T00:00:00.000
15,CY000015,Evergreen CalendarYear 15,1,1,2026-08-24T00:00:00.000
16,CY000016,Delta CalendarYear 16,1,1,2026-08-24T00:00:00.000
17,CY000017,Unity CalendarYear 17,1,1,2026-08-24T00:00:00.000
18,CY000018,Riverton CalendarYear 18,1,1,2026-08-24T00:00:00.000
19,CY000019,Meridian CalendarYear 19,1,1,2026-08-24T00:00:00.000
20,CY000020,Meridian CalendarYear 20,1,1,2026-08-24T00:00:00.000
