EmployeeJobFamilyKey,JobFamilyCode,RecordStatusKey,JobFamilyName,JobFamilyDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,EJF000001,3,Cedar EmployeeJobFamily 1,EmployeeJobFamily starter record 1,Finley Hughes,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,EJF000002,4,Willow EmployeeJobFamily 2,EmployeeJobFamily starter record 2,Emerson Khan,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,EJF000003,3,Ion EmployeeJobFamily 3,EmployeeJobFamily starter record 3,Finley Evans,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,EJF000004,2,Vertex EmployeeJobFamily 4,EmployeeJobFamily starter record 4,Finley Martin,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,EJF000005,2,Delta EmployeeJobFamily 5,EmployeeJobFamily starter record 5,Quinn Evans,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,EJF000006,4,Northstar EmployeeJobFamily 6,EmployeeJobFamily starter record 6,Riley Diaz,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,EJF000007,1,Beacon EmployeeJobFamily 7,EmployeeJobFamily starter record 7,Morgan Singh,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,EJF000008,3,Summit EmployeeJobFamily 8,EmployeeJobFamily starter record 8,Emerson Evans,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,EJF000009,4,Liberty EmployeeJobFamily 9,EmployeeJobFamily starter record 9,Harper Chen,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,EJF000010,3,Junction EmployeeJobFamily 10,EmployeeJobFamily starter record 10,Devon Singh,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,EJF000011,3,Vertex EmployeeJobFamily 11,EmployeeJobFamily starter record 11,Alex Chen,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,EJF000012,3,Unity EmployeeJobFamily 12,EmployeeJobFamily starter record 12,Quinn Bennett,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,EJF000013,4,Atlas EmployeeJobFamily 13,EmployeeJobFamily starter record 13,Riley Bennett,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,EJF000014,1,Unity EmployeeJobFamily 14,EmployeeJobFamily starter record 14,Alex Martin,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,EJF000015,1,Cedar EmployeeJobFamily 15,EmployeeJobFamily starter record 15,Morgan Patel,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,EJF000016,2,Titan EmployeeJobFamily 16,EmployeeJobFamily starter record 16,Casey Hughes,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,EJF000017,3,Orion EmployeeJobFamily 17,EmployeeJobFamily starter record 17,Finley Martin,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,EJF000018,3,Unity EmployeeJobFamily 18,EmployeeJobFamily starter record 18,Alex Evans,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,EJF000019,4,Junction EmployeeJobFamily 19,EmployeeJobFamily starter record 19,Devon Evans,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,EJF000020,4,Summit EmployeeJobFamily 20,EmployeeJobFamily starter record 20,Jordan Evans,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,EJF000021,1,Titan EmployeeJobFamily 21,EmployeeJobFamily starter record 21,Blair Adams,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,EJF000022,2,Quartz EmployeeJobFamily 22,EmployeeJobFamily starter record 22,Blair Singh,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,EJF000023,2,Orion EmployeeJobFamily 23,EmployeeJobFamily starter record 23,Jordan Singh,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,EJF000024,3,Keystone EmployeeJobFamily 24,EmployeeJobFamily starter record 24,Jordan Adams,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,EJF000025,4,Meridian EmployeeJobFamily 25,EmployeeJobFamily starter record 25,Casey Patel,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,EJF000026,3,Orion EmployeeJobFamily 26,EmployeeJobFamily starter record 26,Alex Diaz,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,EJF000027,1,Summit EmployeeJobFamily 27,EmployeeJobFamily starter record 27,Harper Patel,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,EJF000028,1,Cedar EmployeeJobFamily 28,EmployeeJobFamily starter record 28,Emerson Martin,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,EJF000029,1,Keystone EmployeeJobFamily 29,EmployeeJobFamily starter record 29,Harper Singh,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,EJF000030,2,Vertex EmployeeJobFamily 30,EmployeeJobFamily starter record 30,Alex Patel,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,EJF000031,3,Zenith EmployeeJobFamily 31,EmployeeJobFamily starter record 31,Taylor Hughes,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,EJF000032,2,Riverton EmployeeJobFamily 32,EmployeeJobFamily starter record 32,Alex Khan,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,EJF000033,3,Keystone EmployeeJobFamily 33,EmployeeJobFamily starter record 33,Blair Singh,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,EJF000034,2,Granite EmployeeJobFamily 34,EmployeeJobFamily starter record 34,Jordan Bennett,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,EJF000035,3,Quartz EmployeeJobFamily 35,EmployeeJobFamily starter record 35,Jordan Garcia,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,EJF000036,3,Pioneer EmployeeJobFamily 36,EmployeeJobFamily starter record 36,Riley Adams,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,EJF000037,3,Keystone EmployeeJobFamily 37,EmployeeJobFamily starter record 37,Alex Diaz,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,EJF000038,2,Keystone EmployeeJobFamily 38,EmployeeJobFamily starter record 38,Taylor Hughes,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,EJF000039,4,Northstar EmployeeJobFamily 39,EmployeeJobFamily starter record 39,Finley Reed,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,EJF000040,4,Unity EmployeeJobFamily 40,EmployeeJobFamily starter record 40,Devon Adams,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,EJF000041,2,Cedar EmployeeJobFamily 41,EmployeeJobFamily starter record 41,Devon Garcia,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,EJF000042,4,Delta EmployeeJobFamily 42,EmployeeJobFamily starter record 42,Taylor Reed,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,EJF000043,3,Forge EmployeeJobFamily 43,EmployeeJobFamily starter record 43,Morgan Garcia,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,EJF000044,4,Harbor EmployeeJobFamily 44,EmployeeJobFamily starter record 44,Casey Reed,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,EJF000045,1,Forge EmployeeJobFamily 45,EmployeeJobFamily starter record 45,Quinn Garcia,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,EJF000046,4,Pioneer EmployeeJobFamily 46,EmployeeJobFamily starter record 46,Casey Bennett,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,EJF000047,1,Forge EmployeeJobFamily 47,EmployeeJobFamily starter record 47,Riley Evans,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,EJF000048,1,Orion EmployeeJobFamily 48,EmployeeJobFamily starter record 48,Riley Chen,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,EJF000049,1,Pioneer EmployeeJobFamily 49,EmployeeJobFamily starter record 49,Riley Evans,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,EJF000050,4,Beacon EmployeeJobFamily 50,EmployeeJobFamily starter record 50,Finley Hughes,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,EJF000051,1,Delta EmployeeJobFamily 51,EmployeeJobFamily starter record 51,Finley Reed,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,EJF000052,2,Beacon EmployeeJobFamily 52,EmployeeJobFamily starter record 52,Blair Evans,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
