EmployeePayGradeKey,PayGradeCode,CurrencyKey,RecordStatusKey,PayGradeName,PayGradeDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,EPG000001,3,3,Riverton EmployeePayGrade 1,EmployeePayGrade starter record 1,Devon Reed,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,EPG000002,5,1,Cedar EmployeePayGrade 2,EmployeePayGrade starter record 2,Casey Hughes,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,EPG000003,2,2,Riverton EmployeePayGrade 3,EmployeePayGrade starter record 3,Jordan Khan,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,EPG000004,4,2,Quartz EmployeePayGrade 4,EmployeePayGrade starter record 4,Emerson Martin,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,EPG000005,1,4,Evergreen EmployeePayGrade 5,EmployeePayGrade starter record 5,Jordan Reed,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,EPG000006,2,3,Titan EmployeePayGrade 6,EmployeePayGrade starter record 6,Casey Garcia,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,EPG000007,1,4,Atlas EmployeePayGrade 7,EmployeePayGrade starter record 7,Blair Patel,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,EPG000008,2,1,Junction EmployeePayGrade 8,EmployeePayGrade starter record 8,Morgan Reed,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,EPG000009,5,3,Orion EmployeePayGrade 9,EmployeePayGrade starter record 9,Harper Diaz,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,EPG000010,2,4,Quartz EmployeePayGrade 10,EmployeePayGrade starter record 10,Morgan Bennett,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,EPG000011,3,2,Orion EmployeePayGrade 11,EmployeePayGrade starter record 11,Casey Evans,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,EPG000012,3,2,Vertex EmployeePayGrade 12,EmployeePayGrade starter record 12,Casey Garcia,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,EPG000013,4,4,Liberty EmployeePayGrade 13,EmployeePayGrade starter record 13,Emerson Adams,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,EPG000014,5,1,Atlas EmployeePayGrade 14,EmployeePayGrade starter record 14,Morgan Hughes,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,EPG000015,3,4,Beacon EmployeePayGrade 15,EmployeePayGrade starter record 15,Alex Martin,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,EPG000016,3,1,Unity EmployeePayGrade 16,EmployeePayGrade starter record 16,Harper Evans,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,EPG000017,2,4,Delta EmployeePayGrade 17,EmployeePayGrade starter record 17,Casey Reed,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,EPG000018,3,4,Atlas EmployeePayGrade 18,EmployeePayGrade starter record 18,Quinn Evans,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,EPG000019,1,3,Northstar EmployeePayGrade 19,EmployeePayGrade starter record 19,Emerson Evans,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,EPG000020,4,3,Forge EmployeePayGrade 20,EmployeePayGrade starter record 20,Casey Martin,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,EPG000021,5,2,Evergreen EmployeePayGrade 21,EmployeePayGrade starter record 21,Emerson Reed,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,EPG000022,3,1,Meridian EmployeePayGrade 22,EmployeePayGrade starter record 22,Morgan Martin,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,EPG000023,2,2,Cedar EmployeePayGrade 23,EmployeePayGrade starter record 23,Morgan Adams,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,EPG000024,3,2,Zenith EmployeePayGrade 24,EmployeePayGrade starter record 24,Emerson Hughes,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,EPG000025,2,1,Keystone EmployeePayGrade 25,EmployeePayGrade starter record 25,Casey Chen,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,EPG000026,4,2,Northstar EmployeePayGrade 26,EmployeePayGrade starter record 26,Devon Garcia,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,EPG000027,5,3,Cedar EmployeePayGrade 27,EmployeePayGrade starter record 27,Taylor Singh,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,EPG000028,3,1,Ion EmployeePayGrade 28,EmployeePayGrade starter record 28,Emerson Diaz,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,EPG000029,4,4,Northstar EmployeePayGrade 29,EmployeePayGrade starter record 29,Finley Chen,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,EPG000030,5,4,Atlas EmployeePayGrade 30,EmployeePayGrade starter record 30,Alex Khan,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,EPG000031,2,4,Pioneer EmployeePayGrade 31,EmployeePayGrade starter record 31,Casey Khan,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,EPG000032,1,2,Northstar EmployeePayGrade 32,EmployeePayGrade starter record 32,Taylor Patel,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,EPG000033,5,3,Northstar EmployeePayGrade 33,EmployeePayGrade starter record 33,Casey Adams,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,EPG000034,1,4,Vertex EmployeePayGrade 34,EmployeePayGrade starter record 34,Blair Hughes,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,EPG000035,5,2,Forge EmployeePayGrade 35,EmployeePayGrade starter record 35,Riley Patel,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,EPG000036,3,1,Delta EmployeePayGrade 36,EmployeePayGrade starter record 36,Emerson Martin,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,EPG000037,2,1,Titan EmployeePayGrade 37,EmployeePayGrade starter record 37,Morgan Adams,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,EPG000038,2,4,Orion EmployeePayGrade 38,EmployeePayGrade starter record 38,Alex Reed,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,EPG000039,2,4,Quartz EmployeePayGrade 39,EmployeePayGrade starter record 39,Quinn Chen,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,EPG000040,5,2,Atlas EmployeePayGrade 40,EmployeePayGrade starter record 40,Devon Patel,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,EPG000041,2,3,Vertex EmployeePayGrade 41,EmployeePayGrade starter record 41,Riley Diaz,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,EPG000042,1,3,Vertex EmployeePayGrade 42,EmployeePayGrade starter record 42,Finley Bennett,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,EPG000043,5,1,Junction EmployeePayGrade 43,EmployeePayGrade starter record 43,Riley Reed,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,EPG000044,4,4,Cedar EmployeePayGrade 44,EmployeePayGrade starter record 44,Emerson Chen,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,EPG000045,4,1,Northstar EmployeePayGrade 45,EmployeePayGrade starter record 45,Quinn Chen,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,EPG000046,1,2,Liberty EmployeePayGrade 46,EmployeePayGrade starter record 46,Devon Garcia,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
