EnergyCarrierKey,EnergyCarrierCode,EnergySourceCategoryKey,EnergyCarrierName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EC000001,6,Keystone EnergyCarrier 1,1,1,2026-08-24T00:00:00.000
2,EC000002,15,Delta EnergyCarrier 2,1,1,2026-08-24T00:00:00.000
3,EC000003,14,Orion EnergyCarrier 3,1,1,2026-08-24T00:00:00.000
4,EC000004,3,Ion EnergyCarrier 4,1,1,2026-08-24T00:00:00.000
5,EC000005,5,Quartz EnergyCarrier 5,1,1,2026-08-24T00:00:00.000
6,EC000006,18,Titan EnergyCarrier 6,1,1,2026-08-24T00:00:00.000
7,EC000007,6,Vertex EnergyCarrier 7,1,1,2026-08-24T00:00:00.000
8,EC000008,2,Delta EnergyCarrier 8,1,1,2026-08-24T00:00:00.000
9,EC000009,2,Northstar EnergyCarrier 9,1,1,2026-08-24T00:00:00.000
10,EC000010,3,Riverton EnergyCarrier 10,1,1,2026-08-24T00:00:00.000
11,EC000011,8,Unity EnergyCarrier 11,1,1,2026-08-24T00:00:00.000
12,EC000012,15,Unity EnergyCarrier 12,1,1,2026-08-24T00:00:00.000
13,EC000013,15,Riverton EnergyCarrier 13,1,1,2026-08-24T00:00:00.000
14,EC000014,8,Forge EnergyCarrier 14,1,1,2026-08-24T00:00:00.000
15,EC000015,4,Junction EnergyCarrier 15,1,1,2026-08-24T00:00:00.000
16,EC000016,1,Beacon EnergyCarrier 16,1,1,2026-08-24T00:00:00.000
17,EC000017,8,Delta EnergyCarrier 17,1,1,2026-08-24T00:00:00.000
18,EC000018,18,Zenith EnergyCarrier 18,1,1,2026-08-24T00:00:00.000
19,EC000019,10,Ion EnergyCarrier 19,1,1,2026-08-24T00:00:00.000
20,EC000020,10,Junction EnergyCarrier 20,1,1,2026-08-24T00:00:00.000
21,EC000021,2,Liberty EnergyCarrier 21,1,1,2026-08-24T00:00:00.000
22,EC000022,4,Summit EnergyCarrier 22,1,1,2026-08-24T00:00:00.000
23,EC000023,14,Granite EnergyCarrier 23,1,1,2026-08-24T00:00:00.000
24,EC000024,6,Keystone EnergyCarrier 24,1,1,2026-08-24T00:00:00.000
25,EC000025,5,Ion EnergyCarrier 25,1,1,2026-08-24T00:00:00.000
26,EC000026,8,Keystone EnergyCarrier 26,1,1,2026-08-24T00:00:00.000
27,EC000027,2,Harbor EnergyCarrier 27,1,1,2026-08-24T00:00:00.000
28,EC000028,12,Orion EnergyCarrier 28,1,1,2026-08-24T00:00:00.000
29,EC000029,3,Cedar EnergyCarrier 29,1,1,2026-08-24T00:00:00.000
30,EC000030,1,Meridian EnergyCarrier 30,1,1,2026-08-24T00:00:00.000
31,EC000031,7,Keystone EnergyCarrier 31,1,1,2026-08-24T00:00:00.000
32,EC000032,16,Delta EnergyCarrier 32,1,1,2026-08-24T00:00:00.000
33,EC000033,14,Ion EnergyCarrier 33,1,1,2026-08-24T00:00:00.000
34,EC000034,1,Atlas EnergyCarrier 34,1,1,2026-08-24T00:00:00.000
35,EC000035,3,Pioneer EnergyCarrier 35,1,1,2026-08-24T00:00:00.000
36,EC000036,16,Keystone EnergyCarrier 36,1,1,2026-08-24T00:00:00.000
37,EC000037,12,Northstar EnergyCarrier 37,1,1,2026-08-24T00:00:00.000
38,EC000038,11,Pioneer EnergyCarrier 38,1,1,2026-08-24T00:00:00.000
39,EC000039,13,Unity EnergyCarrier 39,1,1,2026-08-24T00:00:00.000
40,EC000040,17,Granite EnergyCarrier 40,1,1,2026-08-24T00:00:00.000
41,EC000041,10,Beacon EnergyCarrier 41,1,1,2026-08-24T00:00:00.000
42,EC000042,16,Keystone EnergyCarrier 42,1,1,2026-08-24T00:00:00.000
43,EC000043,18,Zenith EnergyCarrier 43,1,1,2026-08-24T00:00:00.000
44,EC000044,5,Granite EnergyCarrier 44,1,1,2026-08-24T00:00:00.000
45,EC000045,7,Willow EnergyCarrier 45,1,1,2026-08-24T00:00:00.000
46,EC000046,4,Riverton EnergyCarrier 46,1,1,2026-08-24T00:00:00.000
47,EC000047,4,Summit EnergyCarrier 47,1,1,2026-08-24T00:00:00.000
48,EC000048,14,Junction EnergyCarrier 48,1,1,2026-08-24T00:00:00.000
49,EC000049,9,Willow EnergyCarrier 49,1,1,2026-08-24T00:00:00.000
50,EC000050,17,Willow EnergyCarrier 50,1,1,2026-08-24T00:00:00.000
51,EC000051,7,Liberty EnergyCarrier 51,1,1,2026-08-24T00:00:00.000
52,EC000052,6,Harbor EnergyCarrier 52,1,1,2026-08-24T00:00:00.000
53,EC000053,7,Cedar EnergyCarrier 53,1,1,2026-08-24T00:00:00.000
54,EC000054,8,Northstar EnergyCarrier 54,1,1,2026-08-24T00:00:00.000
55,EC000055,14,Keystone EnergyCarrier 55,1,1,2026-08-24T00:00:00.000
