EnergyMeterPointClassKey,EnergyMeterPointClassCode,EnergyMeterTypeKey,EnergyMeterPointClassName,IsIntervalMetered,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,-1,0,1900-01-01T00:00:00.000
1,EMPC000001,44,Evergreen EnergyMeterPointClass 1,1,1,1,2026-08-24T00:00:00.000
2,EMPC000002,7,Pioneer EnergyMeterPointClass 2,1,1,1,2026-08-24T00:00:00.000
3,EMPC000003,77,Atlas EnergyMeterPointClass 3,1,1,1,2026-08-24T00:00:00.000
4,EMPC000004,8,Pioneer EnergyMeterPointClass 4,1,1,1,2026-08-24T00:00:00.000
5,EMPC000005,101,Granite EnergyMeterPointClass 5,0,1,1,2026-08-24T00:00:00.000
6,EMPC000006,41,Quartz EnergyMeterPointClass 6,1,1,1,2026-08-24T00:00:00.000
7,EMPC000007,60,Titan EnergyMeterPointClass 7,1,1,1,2026-08-24T00:00:00.000
8,EMPC000008,161,Keystone EnergyMeterPointClass 8,1,1,1,2026-08-24T00:00:00.000
9,EMPC000009,93,Willow EnergyMeterPointClass 9,1,1,1,2026-08-24T00:00:00.000
10,EMPC000010,59,Northstar EnergyMeterPointClass 10,0,1,1,2026-08-24T00:00:00.000
11,EMPC000011,47,Pioneer EnergyMeterPointClass 11,1,1,1,2026-08-24T00:00:00.000
12,EMPC000012,135,Riverton EnergyMeterPointClass 12,1,1,1,2026-08-24T00:00:00.000
13,EMPC000013,67,Willow EnergyMeterPointClass 13,1,1,1,2026-08-24T00:00:00.000
14,EMPC000014,19,Evergreen EnergyMeterPointClass 14,1,1,1,2026-08-24T00:00:00.000
15,EMPC000015,51,Titan EnergyMeterPointClass 15,0,1,1,2026-08-24T00:00:00.000
16,EMPC000016,63,Meridian EnergyMeterPointClass 16,1,1,1,2026-08-24T00:00:00.000
17,EMPC000017,108,Beacon EnergyMeterPointClass 17,1,1,1,2026-08-24T00:00:00.000
18,EMPC000018,98,Cedar EnergyMeterPointClass 18,1,1,1,2026-08-24T00:00:00.000
19,EMPC000019,17,Keystone EnergyMeterPointClass 19,1,1,1,2026-08-24T00:00:00.000
20,EMPC000020,163,Keystone EnergyMeterPointClass 20,0,1,1,2026-08-24T00:00:00.000
21,EMPC000021,17,Harbor EnergyMeterPointClass 21,1,1,1,2026-08-24T00:00:00.000
22,EMPC000022,132,Forge EnergyMeterPointClass 22,1,1,1,2026-08-24T00:00:00.000
23,EMPC000023,133,Quartz EnergyMeterPointClass 23,1,1,1,2026-08-24T00:00:00.000
24,EMPC000024,63,Delta EnergyMeterPointClass 24,1,1,1,2026-08-24T00:00:00.000
25,EMPC000025,2,Vertex EnergyMeterPointClass 25,0,1,1,2026-08-24T00:00:00.000
26,EMPC000026,115,Unity EnergyMeterPointClass 26,1,1,1,2026-08-24T00:00:00.000
27,EMPC000027,107,Meridian EnergyMeterPointClass 27,1,1,1,2026-08-24T00:00:00.000
28,EMPC000028,80,Willow EnergyMeterPointClass 28,1,1,1,2026-08-24T00:00:00.000
29,EMPC000029,57,Forge EnergyMeterPointClass 29,1,1,1,2026-08-24T00:00:00.000
30,EMPC000030,41,Atlas EnergyMeterPointClass 30,0,1,1,2026-08-24T00:00:00.000
31,EMPC000031,37,Unity EnergyMeterPointClass 31,1,1,1,2026-08-24T00:00:00.000
32,EMPC000032,120,Liberty EnergyMeterPointClass 32,1,1,1,2026-08-24T00:00:00.000
33,EMPC000033,123,Vertex EnergyMeterPointClass 33,1,1,1,2026-08-24T00:00:00.000
34,EMPC000034,20,Orion EnergyMeterPointClass 34,1,1,1,2026-08-24T00:00:00.000
35,EMPC000035,135,Forge EnergyMeterPointClass 35,0,1,1,2026-08-24T00:00:00.000
36,EMPC000036,128,Ion EnergyMeterPointClass 36,1,1,1,2026-08-24T00:00:00.000
37,EMPC000037,94,Cedar EnergyMeterPointClass 37,1,1,1,2026-08-24T00:00:00.000
38,EMPC000038,125,Willow EnergyMeterPointClass 38,1,1,1,2026-08-24T00:00:00.000
39,EMPC000039,173,Zenith EnergyMeterPointClass 39,1,1,1,2026-08-24T00:00:00.000
40,EMPC000040,122,Beacon EnergyMeterPointClass 40,0,1,1,2026-08-24T00:00:00.000
41,EMPC000041,29,Forge EnergyMeterPointClass 41,1,1,1,2026-08-24T00:00:00.000
42,EMPC000042,64,Northstar EnergyMeterPointClass 42,1,1,1,2026-08-24T00:00:00.000
43,EMPC000043,98,Liberty EnergyMeterPointClass 43,1,1,1,2026-08-24T00:00:00.000
44,EMPC000044,165,Forge EnergyMeterPointClass 44,1,1,1,2026-08-24T00:00:00.000
45,EMPC000045,33,Granite EnergyMeterPointClass 45,0,1,1,2026-08-24T00:00:00.000
46,EMPC000046,165,Titan EnergyMeterPointClass 46,1,1,1,2026-08-24T00:00:00.000
47,EMPC000047,77,Atlas EnergyMeterPointClass 47,1,1,1,2026-08-24T00:00:00.000
48,EMPC000048,128,Harbor EnergyMeterPointClass 48,1,1,1,2026-08-24T00:00:00.000
49,EMPC000049,21,Willow EnergyMeterPointClass 49,1,1,1,2026-08-24T00:00:00.000
50,EMPC000050,138,Orion EnergyMeterPointClass 50,0,1,1,2026-08-24T00:00:00.000
51,EMPC000051,40,Keystone EnergyMeterPointClass 51,1,1,1,2026-08-24T00:00:00.000
52,EMPC000052,107,Summit EnergyMeterPointClass 52,1,1,1,2026-08-24T00:00:00.000
53,EMPC000053,98,Titan EnergyMeterPointClass 53,1,1,1,2026-08-24T00:00:00.000
54,EMPC000054,46,Harbor EnergyMeterPointClass 54,1,1,1,2026-08-24T00:00:00.000
55,EMPC000055,60,Meridian EnergyMeterPointClass 55,0,1,1,2026-08-24T00:00:00.000
56,EMPC000056,179,Vertex EnergyMeterPointClass 56,1,1,1,2026-08-24T00:00:00.000
57,EMPC000057,78,Riverton EnergyMeterPointClass 57,1,1,1,2026-08-24T00:00:00.000
58,EMPC000058,117,Ion EnergyMeterPointClass 58,1,1,1,2026-08-24T00:00:00.000
59,EMPC000059,139,Titan EnergyMeterPointClass 59,1,1,1,2026-08-24T00:00:00.000
60,EMPC000060,129,Granite EnergyMeterPointClass 60,0,1,1,2026-08-24T00:00:00.000
61,EMPC000061,111,Granite EnergyMeterPointClass 61,1,1,1,2026-08-24T00:00:00.000
62,EMPC000062,180,Vertex EnergyMeterPointClass 62,1,1,1,2026-08-24T00:00:00.000
63,EMPC000063,32,Delta EnergyMeterPointClass 63,1,1,1,2026-08-24T00:00:00.000
64,EMPC000064,142,Keystone EnergyMeterPointClass 64,1,1,1,2026-08-24T00:00:00.000
65,EMPC000065,168,Keystone EnergyMeterPointClass 65,0,1,1,2026-08-24T00:00:00.000
66,EMPC000066,110,Zenith EnergyMeterPointClass 66,1,1,1,2026-08-24T00:00:00.000
67,EMPC000067,15,Ion EnergyMeterPointClass 67,1,1,1,2026-08-24T00:00:00.000
68,EMPC000068,24,Junction EnergyMeterPointClass 68,1,1,1,2026-08-24T00:00:00.000
69,EMPC000069,113,Harbor EnergyMeterPointClass 69,1,1,1,2026-08-24T00:00:00.000
70,EMPC000070,108,Beacon EnergyMeterPointClass 70,0,1,1,2026-08-24T00:00:00.000
71,EMPC000071,159,Atlas EnergyMeterPointClass 71,1,1,1,2026-08-24T00:00:00.000
72,EMPC000072,142,Granite EnergyMeterPointClass 72,1,1,1,2026-08-24T00:00:00.000
73,EMPC000073,93,Willow EnergyMeterPointClass 73,1,1,1,2026-08-24T00:00:00.000
74,EMPC000074,29,Vertex EnergyMeterPointClass 74,1,1,1,2026-08-24T00:00:00.000
75,EMPC000075,158,Ion EnergyMeterPointClass 75,0,1,1,2026-08-24T00:00:00.000
76,EMPC000076,123,Titan EnergyMeterPointClass 76,1,1,1,2026-08-24T00:00:00.000
77,EMPC000077,105,Ion EnergyMeterPointClass 77,1,1,1,2026-08-24T00:00:00.000
78,EMPC000078,79,Riverton EnergyMeterPointClass 78,1,1,1,2026-08-24T00:00:00.000
79,EMPC000079,63,Delta EnergyMeterPointClass 79,1,1,1,2026-08-24T00:00:00.000
80,EMPC000080,160,Pioneer EnergyMeterPointClass 80,0,1,1,2026-08-24T00:00:00.000
81,EMPC000081,17,Delta EnergyMeterPointClass 81,1,1,1,2026-08-24T00:00:00.000
82,EMPC000082,173,Cedar EnergyMeterPointClass 82,1,1,1,2026-08-24T00:00:00.000
83,EMPC000083,34,Zenith EnergyMeterPointClass 83,1,1,1,2026-08-24T00:00:00.000
84,EMPC000084,63,Atlas EnergyMeterPointClass 84,1,1,1,2026-08-24T00:00:00.000
85,EMPC000085,122,Delta EnergyMeterPointClass 85,0,1,1,2026-08-24T00:00:00.000
86,EMPC000086,76,Atlas EnergyMeterPointClass 86,1,1,1,2026-08-24T00:00:00.000
87,EMPC000087,162,Liberty EnergyMeterPointClass 87,1,1,1,2026-08-24T00:00:00.000
88,EMPC000088,93,Vertex EnergyMeterPointClass 88,1,1,1,2026-08-24T00:00:00.000
89,EMPC000089,116,Zenith EnergyMeterPointClass 89,1,1,1,2026-08-24T00:00:00.000
90,EMPC000090,127,Harbor EnergyMeterPointClass 90,0,1,1,2026-08-24T00:00:00.000
91,EMPC000091,169,Meridian EnergyMeterPointClass 91,1,1,1,2026-08-24T00:00:00.000
92,EMPC000092,161,Cedar EnergyMeterPointClass 92,1,1,1,2026-08-24T00:00:00.000
93,EMPC000093,140,Delta EnergyMeterPointClass 93,1,1,1,2026-08-24T00:00:00.000
94,EMPC000094,9,Granite EnergyMeterPointClass 94,1,1,1,2026-08-24T00:00:00.000
95,EMPC000095,44,Cedar EnergyMeterPointClass 95,0,1,1,2026-08-24T00:00:00.000
96,EMPC000096,48,Ion EnergyMeterPointClass 96,1,1,1,2026-08-24T00:00:00.000
97,EMPC000097,36,Beacon EnergyMeterPointClass 97,1,1,1,2026-08-24T00:00:00.000
98,EMPC000098,19,Riverton EnergyMeterPointClass 98,1,1,1,2026-08-24T00:00:00.000
99,EMPC000099,6,Harbor EnergyMeterPointClass 99,1,1,1,2026-08-24T00:00:00.000
100,EMPC000100,133,Quartz EnergyMeterPointClass 100,0,1,1,2026-08-24T00:00:00.000
101,EMPC000101,73,Granite EnergyMeterPointClass 101,1,1,1,2026-08-24T00:00:00.000
102,EMPC000102,138,Summit EnergyMeterPointClass 102,1,1,1,2026-08-24T00:00:00.000
103,EMPC000103,112,Unity EnergyMeterPointClass 103,1,1,1,2026-08-24T00:00:00.000
104,EMPC000104,145,Orion EnergyMeterPointClass 104,1,1,1,2026-08-24T00:00:00.000
105,EMPC000105,157,Orion EnergyMeterPointClass 105,0,1,1,2026-08-24T00:00:00.000
106,EMPC000106,89,Junction EnergyMeterPointClass 106,1,1,1,2026-08-24T00:00:00.000
107,EMPC000107,131,Junction EnergyMeterPointClass 107,1,1,1,2026-08-24T00:00:00.000
108,EMPC000108,155,Orion EnergyMeterPointClass 108,1,1,1,2026-08-24T00:00:00.000
109,EMPC000109,27,Cedar EnergyMeterPointClass 109,1,1,1,2026-08-24T00:00:00.000
