EnergyMeterTypeKey,EnergyMeterTypeCode,EnergyCarrierKey,EnergyMeterTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EMT000001,28,Forge EnergyMeterType 1,1,1,2026-08-24T00:00:00.000
2,EMT000002,39,Northstar EnergyMeterType 2,1,1,2026-08-24T00:00:00.000
3,EMT000003,5,Vertex EnergyMeterType 3,1,1,2026-08-24T00:00:00.000
4,EMT000004,16,Zenith EnergyMeterType 4,1,1,2026-08-24T00:00:00.000
5,EMT000005,22,Summit EnergyMeterType 5,1,1,2026-08-24T00:00:00.000
6,EMT000006,18,Atlas EnergyMeterType 6,1,1,2026-08-24T00:00:00.000
7,EMT000007,3,Atlas EnergyMeterType 7,1,1,2026-08-24T00:00:00.000
8,EMT000008,21,Junction EnergyMeterType 8,1,1,2026-08-24T00:00:00.000
9,EMT000009,10,Pioneer EnergyMeterType 9,1,1,2026-08-24T00:00:00.000
10,EMT000010,47,Liberty EnergyMeterType 10,1,1,2026-08-24T00:00:00.000
11,EMT000011,49,Quartz EnergyMeterType 11,1,1,2026-08-24T00:00:00.000
12,EMT000012,15,Cedar EnergyMeterType 12,1,1,2026-08-24T00:00:00.000
13,EMT000013,14,Liberty EnergyMeterType 13,1,1,2026-08-24T00:00:00.000
14,EMT000014,53,Ion EnergyMeterType 14,1,1,2026-08-24T00:00:00.000
15,EMT000015,27,Vertex EnergyMeterType 15,1,1,2026-08-24T00:00:00.000
16,EMT000016,51,Junction EnergyMeterType 16,1,1,2026-08-24T00:00:00.000
17,EMT000017,12,Orion EnergyMeterType 17,1,1,2026-08-24T00:00:00.000
18,EMT000018,25,Meridian EnergyMeterType 18,1,1,2026-08-24T00:00:00.000
19,EMT000019,45,Ion EnergyMeterType 19,1,1,2026-08-24T00:00:00.000
20,EMT000020,22,Forge EnergyMeterType 20,1,1,2026-08-24T00:00:00.000
21,EMT000021,53,Quartz EnergyMeterType 21,1,1,2026-08-24T00:00:00.000
22,EMT000022,55,Keystone EnergyMeterType 22,1,1,2026-08-24T00:00:00.000
23,EMT000023,37,Pioneer EnergyMeterType 23,1,1,2026-08-24T00:00:00.000
24,EMT000024,37,Cedar EnergyMeterType 24,1,1,2026-08-24T00:00:00.000
25,EMT000025,13,Harbor EnergyMeterType 25,1,1,2026-08-24T00:00:00.000
26,EMT000026,47,Riverton EnergyMeterType 26,1,1,2026-08-24T00:00:00.000
27,EMT000027,23,Cedar EnergyMeterType 27,1,1,2026-08-24T00:00:00.000
28,EMT000028,29,Zenith EnergyMeterType 28,1,1,2026-08-24T00:00:00.000
