EnergyProjectProgramKey,EnergyProjectProgramCode,EnergyProjectPortfolioKey,EnergyProjectProgramName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EPP000001,15,Northstar EnergyProjectProgram 1,1,1,2026-08-24T00:00:00.000
2,EPP000002,12,Delta EnergyProjectProgram 2,1,1,2026-08-24T00:00:00.000
3,EPP000003,6,Atlas EnergyProjectProgram 3,1,1,2026-08-24T00:00:00.000
4,EPP000004,15,Meridian EnergyProjectProgram 4,1,1,2026-08-24T00:00:00.000
5,EPP000005,1,Ion EnergyProjectProgram 5,1,1,2026-08-24T00:00:00.000
6,EPP000006,14,Meridian EnergyProjectProgram 6,1,1,2026-08-24T00:00:00.000
7,EPP000007,16,Ion EnergyProjectProgram 7,1,1,2026-08-24T00:00:00.000
8,EPP000008,7,Quartz EnergyProjectProgram 8,1,1,2026-08-24T00:00:00.000
9,EPP000009,16,Willow EnergyProjectProgram 9,1,1,2026-08-24T00:00:00.000
10,EPP000010,2,Delta EnergyProjectProgram 10,1,1,2026-08-24T00:00:00.000
11,EPP000011,3,Atlas EnergyProjectProgram 11,1,1,2026-08-24T00:00:00.000
12,EPP000012,15,Keystone EnergyProjectProgram 12,1,1,2026-08-24T00:00:00.000
13,EPP000013,11,Harbor EnergyProjectProgram 13,1,1,2026-08-24T00:00:00.000
14,EPP000014,1,Unity EnergyProjectProgram 14,1,1,2026-08-24T00:00:00.000
15,EPP000015,15,Summit EnergyProjectProgram 15,1,1,2026-08-24T00:00:00.000
16,EPP000016,5,Unity EnergyProjectProgram 16,1,1,2026-08-24T00:00:00.000
17,EPP000017,10,Beacon EnergyProjectProgram 17,1,1,2026-08-24T00:00:00.000
18,EPP000018,6,Meridian EnergyProjectProgram 18,1,1,2026-08-24T00:00:00.000
19,EPP000019,1,Liberty EnergyProjectProgram 19,1,1,2026-08-24T00:00:00.000
20,EPP000020,6,Liberty EnergyProjectProgram 20,1,1,2026-08-24T00:00:00.000
21,EPP000021,11,Willow EnergyProjectProgram 21,1,1,2026-08-24T00:00:00.000
22,EPP000022,2,Quartz EnergyProjectProgram 22,1,1,2026-08-24T00:00:00.000
23,EPP000023,18,Harbor EnergyProjectProgram 23,1,1,2026-08-24T00:00:00.000
24,EPP000024,14,Unity EnergyProjectProgram 24,1,1,2026-08-24T00:00:00.000
25,EPP000025,16,Junction EnergyProjectProgram 25,1,1,2026-08-24T00:00:00.000
26,EPP000026,6,Pioneer EnergyProjectProgram 26,1,1,2026-08-24T00:00:00.000
27,EPP000027,7,Granite EnergyProjectProgram 27,1,1,2026-08-24T00:00:00.000
28,EPP000028,16,Ion EnergyProjectProgram 28,1,1,2026-08-24T00:00:00.000
29,EPP000029,7,Junction EnergyProjectProgram 29,1,1,2026-08-24T00:00:00.000
30,EPP000030,16,Beacon EnergyProjectProgram 30,1,1,2026-08-24T00:00:00.000
31,EPP000031,17,Riverton EnergyProjectProgram 31,1,1,2026-08-24T00:00:00.000
32,EPP000032,2,Harbor EnergyProjectProgram 32,1,1,2026-08-24T00:00:00.000
33,EPP000033,3,Cedar EnergyProjectProgram 33,1,1,2026-08-24T00:00:00.000
34,EPP000034,10,Quartz EnergyProjectProgram 34,1,1,2026-08-24T00:00:00.000
35,EPP000035,12,Unity EnergyProjectProgram 35,1,1,2026-08-24T00:00:00.000
36,EPP000036,16,Summit EnergyProjectProgram 36,1,1,2026-08-24T00:00:00.000
37,EPP000037,5,Riverton EnergyProjectProgram 37,1,1,2026-08-24T00:00:00.000
38,EPP000038,1,Atlas EnergyProjectProgram 38,1,1,2026-08-24T00:00:00.000
39,EPP000039,17,Quartz EnergyProjectProgram 39,1,1,2026-08-24T00:00:00.000
40,EPP000040,14,Zenith EnergyProjectProgram 40,1,1,2026-08-24T00:00:00.000
41,EPP000041,12,Pioneer EnergyProjectProgram 41,1,1,2026-08-24T00:00:00.000
42,EPP000042,16,Junction EnergyProjectProgram 42,1,1,2026-08-24T00:00:00.000
43,EPP000043,7,Beacon EnergyProjectProgram 43,1,1,2026-08-24T00:00:00.000
44,EPP000044,13,Forge EnergyProjectProgram 44,1,1,2026-08-24T00:00:00.000
45,EPP000045,17,Meridian EnergyProjectProgram 45,1,1,2026-08-24T00:00:00.000
46,EPP000046,8,Beacon EnergyProjectProgram 46,1,1,2026-08-24T00:00:00.000
47,EPP000047,10,Keystone EnergyProjectProgram 47,1,1,2026-08-24T00:00:00.000
48,EPP000048,16,Titan EnergyProjectProgram 48,1,1,2026-08-24T00:00:00.000
49,EPP000049,10,Orion EnergyProjectProgram 49,1,1,2026-08-24T00:00:00.000
50,EPP000050,12,Junction EnergyProjectProgram 50,1,1,2026-08-24T00:00:00.000
51,EPP000051,3,Harbor EnergyProjectProgram 51,1,1,2026-08-24T00:00:00.000
52,EPP000052,15,Summit EnergyProjectProgram 52,1,1,2026-08-24T00:00:00.000
53,EPP000053,3,Junction EnergyProjectProgram 53,1,1,2026-08-24T00:00:00.000
54,EPP000054,7,Delta EnergyProjectProgram 54,1,1,2026-08-24T00:00:00.000
55,EPP000055,9,Orion EnergyProjectProgram 55,1,1,2026-08-24T00:00:00.000
56,EPP000056,7,Evergreen EnergyProjectProgram 56,1,1,2026-08-24T00:00:00.000
