EnergyProjectTypeKey,EnergyProjectTypeCode,EnergyProjectProgramKey,EnergyProjectTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EPT000001,3,Riverton EnergyProjectType 1,1,1,2026-08-24T00:00:00.000
2,EPT000002,35,Forge EnergyProjectType 2,1,1,2026-08-24T00:00:00.000
3,EPT000003,50,Evergreen EnergyProjectType 3,1,1,2026-08-24T00:00:00.000
4,EPT000004,84,Orion EnergyProjectType 4,1,1,2026-08-24T00:00:00.000
5,EPT000005,17,Cedar EnergyProjectType 5,1,1,2026-08-24T00:00:00.000
6,EPT000006,44,Meridian EnergyProjectType 6,1,1,2026-08-24T00:00:00.000
7,EPT000007,13,Junction EnergyProjectType 7,1,1,2026-08-24T00:00:00.000
8,EPT000008,15,Evergreen EnergyProjectType 8,1,1,2026-08-24T00:00:00.000
9,EPT000009,79,Harbor EnergyProjectType 9,1,1,2026-08-24T00:00:00.000
10,EPT000010,23,Unity EnergyProjectType 10,1,1,2026-08-24T00:00:00.000
11,EPT000011,26,Junction EnergyProjectType 11,1,1,2026-08-24T00:00:00.000
12,EPT000012,67,Forge EnergyProjectType 12,1,1,2026-08-24T00:00:00.000
13,EPT000013,12,Atlas EnergyProjectType 13,1,1,2026-08-24T00:00:00.000
14,EPT000014,46,Cedar EnergyProjectType 14,1,1,2026-08-24T00:00:00.000
15,EPT000015,22,Zenith EnergyProjectType 15,1,1,2026-08-24T00:00:00.000
16,EPT000016,57,Beacon EnergyProjectType 16,1,1,2026-08-24T00:00:00.000
17,EPT000017,77,Ion EnergyProjectType 17,1,1,2026-08-24T00:00:00.000
18,EPT000018,55,Evergreen EnergyProjectType 18,1,1,2026-08-24T00:00:00.000
19,EPT000019,26,Junction EnergyProjectType 19,1,1,2026-08-24T00:00:00.000
20,EPT000020,19,Meridian EnergyProjectType 20,1,1,2026-08-24T00:00:00.000
21,EPT000021,46,Forge EnergyProjectType 21,1,1,2026-08-24T00:00:00.000
22,EPT000022,50,Cedar EnergyProjectType 22,1,1,2026-08-24T00:00:00.000
23,EPT000023,32,Orion EnergyProjectType 23,1,1,2026-08-24T00:00:00.000
24,EPT000024,41,Riverton EnergyProjectType 24,1,1,2026-08-24T00:00:00.000
25,EPT000025,14,Titan EnergyProjectType 25,1,1,2026-08-24T00:00:00.000
26,EPT000026,77,Ion EnergyProjectType 26,1,1,2026-08-24T00:00:00.000
27,EPT000027,68,Atlas EnergyProjectType 27,1,1,2026-08-24T00:00:00.000
28,EPT000028,23,Unity EnergyProjectType 28,1,1,2026-08-24T00:00:00.000
29,EPT000029,27,Cedar EnergyProjectType 29,1,1,2026-08-24T00:00:00.000
30,EPT000030,81,Beacon EnergyProjectType 30,1,1,2026-08-24T00:00:00.000
