EnergyRateScheduleKey,EnergyRateScheduleCode,EnergyTariffProviderKey,EnergyRateScheduleName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ERS000001,36,Pioneer EnergyRateSchedule 1,1,1,2026-08-24T00:00:00.000
2,ERS000002,298,Zenith EnergyRateSchedule 2,1,1,2026-08-24T00:00:00.000
3,ERS000003,213,Quartz EnergyRateSchedule 3,1,1,2026-08-24T00:00:00.000
4,ERS000004,64,Liberty EnergyRateSchedule 4,1,1,2026-08-24T00:00:00.000
5,ERS000005,44,Summit EnergyRateSchedule 5,1,1,2026-08-24T00:00:00.000
6,ERS000006,285,Ion EnergyRateSchedule 6,1,1,2026-08-24T00:00:00.000
7,ERS000007,138,Ion EnergyRateSchedule 7,1,1,2026-08-24T00:00:00.000
8,ERS000008,77,Junction EnergyRateSchedule 8,1,1,2026-08-24T00:00:00.000
9,ERS000009,177,Keystone EnergyRateSchedule 9,1,1,2026-08-24T00:00:00.000
10,ERS000010,119,Junction EnergyRateSchedule 10,1,1,2026-08-24T00:00:00.000
11,ERS000011,249,Vertex EnergyRateSchedule 11,1,1,2026-08-24T00:00:00.000
12,ERS000012,266,Junction EnergyRateSchedule 12,1,1,2026-08-24T00:00:00.000
13,ERS000013,111,Pioneer EnergyRateSchedule 13,1,1,2026-08-24T00:00:00.000
14,ERS000014,201,Beacon EnergyRateSchedule 14,1,1,2026-08-24T00:00:00.000
15,ERS000015,70,Delta EnergyRateSchedule 15,1,1,2026-08-24T00:00:00.000
16,ERS000016,48,Quartz EnergyRateSchedule 16,1,1,2026-08-24T00:00:00.000
17,ERS000017,252,Liberty EnergyRateSchedule 17,1,1,2026-08-24T00:00:00.000
18,ERS000018,222,Liberty EnergyRateSchedule 18,1,1,2026-08-24T00:00:00.000
19,ERS000019,37,Willow EnergyRateSchedule 19,1,1,2026-08-24T00:00:00.000
20,ERS000020,20,Pioneer EnergyRateSchedule 20,1,1,2026-08-24T00:00:00.000
21,ERS000021,218,Zenith EnergyRateSchedule 21,1,1,2026-08-24T00:00:00.000
22,ERS000022,298,Harbor EnergyRateSchedule 22,1,1,2026-08-24T00:00:00.000
23,ERS000023,89,Delta EnergyRateSchedule 23,1,1,2026-08-24T00:00:00.000
24,ERS000024,17,Keystone EnergyRateSchedule 24,1,1,2026-08-24T00:00:00.000
25,ERS000025,214,Quartz EnergyRateSchedule 25,1,1,2026-08-24T00:00:00.000
26,ERS000026,238,Keystone EnergyRateSchedule 26,1,1,2026-08-24T00:00:00.000
27,ERS000027,280,Summit EnergyRateSchedule 27,1,1,2026-08-24T00:00:00.000
28,ERS000028,181,Riverton EnergyRateSchedule 28,1,1,2026-08-24T00:00:00.000
29,ERS000029,181,Summit EnergyRateSchedule 29,1,1,2026-08-24T00:00:00.000
30,ERS000030,162,Atlas EnergyRateSchedule 30,1,1,2026-08-24T00:00:00.000
31,ERS000031,233,Orion EnergyRateSchedule 31,1,1,2026-08-24T00:00:00.000
32,ERS000032,291,Unity EnergyRateSchedule 32,1,1,2026-08-24T00:00:00.000
33,ERS000033,111,Granite EnergyRateSchedule 33,1,1,2026-08-24T00:00:00.000
34,ERS000034,87,Northstar EnergyRateSchedule 34,1,1,2026-08-24T00:00:00.000
35,ERS000035,56,Evergreen EnergyRateSchedule 35,1,1,2026-08-24T00:00:00.000
36,ERS000036,184,Forge EnergyRateSchedule 36,1,1,2026-08-24T00:00:00.000
37,ERS000037,35,Pioneer EnergyRateSchedule 37,1,1,2026-08-24T00:00:00.000
38,ERS000038,197,Vertex EnergyRateSchedule 38,1,1,2026-08-24T00:00:00.000
39,ERS000039,115,Meridian EnergyRateSchedule 39,1,1,2026-08-24T00:00:00.000
40,ERS000040,86,Quartz EnergyRateSchedule 40,1,1,2026-08-24T00:00:00.000
41,ERS000041,112,Vertex EnergyRateSchedule 41,1,1,2026-08-24T00:00:00.000
42,ERS000042,37,Willow EnergyRateSchedule 42,1,1,2026-08-24T00:00:00.000
43,ERS000043,46,Evergreen EnergyRateSchedule 43,1,1,2026-08-24T00:00:00.000
44,ERS000044,24,Atlas EnergyRateSchedule 44,1,1,2026-08-24T00:00:00.000
45,ERS000045,59,Riverton EnergyRateSchedule 45,1,1,2026-08-24T00:00:00.000
46,ERS000046,223,Pioneer EnergyRateSchedule 46,1,1,2026-08-24T00:00:00.000
47,ERS000047,218,Riverton EnergyRateSchedule 47,1,1,2026-08-24T00:00:00.000
48,ERS000048,158,Northstar EnergyRateSchedule 48,1,1,2026-08-24T00:00:00.000
49,ERS000049,174,Riverton EnergyRateSchedule 49,1,1,2026-08-24T00:00:00.000
50,ERS000050,119,Harbor EnergyRateSchedule 50,1,1,2026-08-24T00:00:00.000
51,ERS000051,261,Evergreen EnergyRateSchedule 51,1,1,2026-08-24T00:00:00.000
52,ERS000052,76,Forge EnergyRateSchedule 52,1,1,2026-08-24T00:00:00.000
53,ERS000053,107,Ion EnergyRateSchedule 53,1,1,2026-08-24T00:00:00.000
54,ERS000054,179,Vertex EnergyRateSchedule 54,1,1,2026-08-24T00:00:00.000
55,ERS000055,215,Northstar EnergyRateSchedule 55,1,1,2026-08-24T00:00:00.000
56,ERS000056,124,Vertex EnergyRateSchedule 56,1,1,2026-08-24T00:00:00.000
57,ERS000057,286,Junction EnergyRateSchedule 57,1,1,2026-08-24T00:00:00.000
58,ERS000058,175,Keystone EnergyRateSchedule 58,1,1,2026-08-24T00:00:00.000
59,ERS000059,248,Orion EnergyRateSchedule 59,1,1,2026-08-24T00:00:00.000
60,ERS000060,204,Unity EnergyRateSchedule 60,1,1,2026-08-24T00:00:00.000
61,ERS000061,13,Orion EnergyRateSchedule 61,1,1,2026-08-24T00:00:00.000
62,ERS000062,293,Vertex EnergyRateSchedule 62,1,1,2026-08-24T00:00:00.000
63,ERS000063,202,Orion EnergyRateSchedule 63,1,1,2026-08-24T00:00:00.000
64,ERS000064,153,Zenith EnergyRateSchedule 64,1,1,2026-08-24T00:00:00.000
65,ERS000065,113,Delta EnergyRateSchedule 65,1,1,2026-08-24T00:00:00.000
66,ERS000066,234,Pioneer EnergyRateSchedule 66,1,1,2026-08-24T00:00:00.000
67,ERS000067,61,Willow EnergyRateSchedule 67,1,1,2026-08-24T00:00:00.000
68,ERS000068,22,Pioneer EnergyRateSchedule 68,1,1,2026-08-24T00:00:00.000
69,ERS000069,98,Willow EnergyRateSchedule 69,1,1,2026-08-24T00:00:00.000
70,ERS000070,133,Zenith EnergyRateSchedule 70,1,1,2026-08-24T00:00:00.000
71,ERS000071,203,Harbor EnergyRateSchedule 71,1,1,2026-08-24T00:00:00.000
72,ERS000072,196,Vertex EnergyRateSchedule 72,1,1,2026-08-24T00:00:00.000
73,ERS000073,137,Ion EnergyRateSchedule 73,1,1,2026-08-24T00:00:00.000
74,ERS000074,185,Vertex EnergyRateSchedule 74,1,1,2026-08-24T00:00:00.000
75,ERS000075,76,Vertex EnergyRateSchedule 75,1,1,2026-08-24T00:00:00.000
76,ERS000076,178,Forge EnergyRateSchedule 76,1,1,2026-08-24T00:00:00.000
77,ERS000077,94,Pioneer EnergyRateSchedule 77,1,1,2026-08-24T00:00:00.000
78,ERS000078,107,Meridian EnergyRateSchedule 78,1,1,2026-08-24T00:00:00.000
79,ERS000079,132,Forge EnergyRateSchedule 79,1,1,2026-08-24T00:00:00.000
80,ERS000080,53,Ion EnergyRateSchedule 80,1,1,2026-08-24T00:00:00.000
81,ERS000081,262,Harbor EnergyRateSchedule 81,1,1,2026-08-24T00:00:00.000
82,ERS000082,209,Pioneer EnergyRateSchedule 82,1,1,2026-08-24T00:00:00.000
83,ERS000083,243,Liberty EnergyRateSchedule 83,1,1,2026-08-24T00:00:00.000
84,ERS000084,106,Willow EnergyRateSchedule 84,1,1,2026-08-24T00:00:00.000
85,ERS000085,256,Northstar EnergyRateSchedule 85,1,1,2026-08-24T00:00:00.000
86,ERS000086,18,Quartz EnergyRateSchedule 86,1,1,2026-08-24T00:00:00.000
87,ERS000087,230,Delta EnergyRateSchedule 87,1,1,2026-08-24T00:00:00.000
88,ERS000088,255,Summit EnergyRateSchedule 88,1,1,2026-08-24T00:00:00.000
89,ERS000089,205,Cedar EnergyRateSchedule 89,1,1,2026-08-24T00:00:00.000
90,ERS000090,45,Titan EnergyRateSchedule 90,1,1,2026-08-24T00:00:00.000
91,ERS000091,14,Beacon EnergyRateSchedule 91,1,1,2026-08-24T00:00:00.000
92,ERS000092,244,Atlas EnergyRateSchedule 92,1,1,2026-08-24T00:00:00.000
93,ERS000093,239,Ion EnergyRateSchedule 93,1,1,2026-08-24T00:00:00.000
94,ERS000094,158,Northstar EnergyRateSchedule 94,1,1,2026-08-24T00:00:00.000
95,ERS000095,67,Zenith EnergyRateSchedule 95,1,1,2026-08-24T00:00:00.000
96,ERS000096,130,Forge EnergyRateSchedule 96,1,1,2026-08-24T00:00:00.000
97,ERS000097,288,Beacon EnergyRateSchedule 97,1,1,2026-08-24T00:00:00.000
98,ERS000098,246,Ion EnergyRateSchedule 98,1,1,2026-08-24T00:00:00.000
99,ERS000099,130,Northstar EnergyRateSchedule 99,1,1,2026-08-24T00:00:00.000
100,ERS000100,102,Zenith EnergyRateSchedule 100,1,1,2026-08-24T00:00:00.000
101,ERS000101,23,Riverton EnergyRateSchedule 101,1,1,2026-08-24T00:00:00.000
102,ERS000102,213,Forge EnergyRateSchedule 102,1,1,2026-08-24T00:00:00.000
103,ERS000103,114,Ion EnergyRateSchedule 103,1,1,2026-08-24T00:00:00.000
104,ERS000104,56,Titan EnergyRateSchedule 104,1,1,2026-08-24T00:00:00.000
105,ERS000105,243,Liberty EnergyRateSchedule 105,1,1,2026-08-24T00:00:00.000
106,ERS000106,216,Zenith EnergyRateSchedule 106,1,1,2026-08-24T00:00:00.000
107,ERS000107,184,Granite EnergyRateSchedule 107,1,1,2026-08-24T00:00:00.000
108,ERS000108,218,Evergreen EnergyRateSchedule 108,1,1,2026-08-24T00:00:00.000
109,ERS000109,190,Evergreen EnergyRateSchedule 109,1,1,2026-08-24T00:00:00.000
110,ERS000110,51,Titan EnergyRateSchedule 110,1,1,2026-08-24T00:00:00.000
111,ERS000111,101,Harbor EnergyRateSchedule 111,1,1,2026-08-24T00:00:00.000
112,ERS000112,6,Cedar EnergyRateSchedule 112,1,1,2026-08-24T00:00:00.000
