EnergySubmeterZoneKey,EnergySubmeterZoneCode,EnergyUtilityCircuitKey,EnergySubmeterZoneName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ESZ000001,249,Summit EnergySubmeterZone 1,1,1,2026-08-24T00:00:00.000
2,ESZ000002,159,Summit EnergySubmeterZone 2,1,1,2026-08-24T00:00:00.000
3,ESZ000003,238,Beacon EnergySubmeterZone 3,1,1,2026-08-24T00:00:00.000
4,ESZ000004,295,Junction EnergySubmeterZone 4,1,1,2026-08-24T00:00:00.000
5,ESZ000005,259,Zenith EnergySubmeterZone 5,1,1,2026-08-24T00:00:00.000
6,ESZ000006,413,Orion EnergySubmeterZone 6,1,1,2026-08-24T00:00:00.000
7,ESZ000007,58,Keystone EnergySubmeterZone 7,1,1,2026-08-24T00:00:00.000
8,ESZ000008,302,Riverton EnergySubmeterZone 8,1,1,2026-08-24T00:00:00.000
9,ESZ000009,422,Titan EnergySubmeterZone 9,1,1,2026-08-24T00:00:00.000
10,ESZ000010,250,Beacon EnergySubmeterZone 10,1,1,2026-08-24T00:00:00.000
11,ESZ000011,118,Meridian EnergySubmeterZone 11,1,1,2026-08-24T00:00:00.000
12,ESZ000012,196,Riverton EnergySubmeterZone 12,1,1,2026-08-24T00:00:00.000
13,ESZ000013,253,Meridian EnergySubmeterZone 13,1,1,2026-08-24T00:00:00.000
14,ESZ000014,157,Vertex EnergySubmeterZone 14,1,1,2026-08-24T00:00:00.000
15,ESZ000015,35,Ion EnergySubmeterZone 15,1,1,2026-08-24T00:00:00.000
16,ESZ000016,207,Willow EnergySubmeterZone 16,1,1,2026-08-24T00:00:00.000
17,ESZ000017,246,Riverton EnergySubmeterZone 17,1,1,2026-08-24T00:00:00.000
18,ESZ000018,100,Northstar EnergySubmeterZone 18,1,1,2026-08-24T00:00:00.000
19,ESZ000019,170,Northstar EnergySubmeterZone 19,1,1,2026-08-24T00:00:00.000
20,ESZ000020,97,Granite EnergySubmeterZone 20,1,1,2026-08-24T00:00:00.000
21,ESZ000021,136,Unity EnergySubmeterZone 21,1,1,2026-08-24T00:00:00.000
22,ESZ000022,480,Zenith EnergySubmeterZone 22,1,1,2026-08-24T00:00:00.000
23,ESZ000023,384,Junction EnergySubmeterZone 23,1,1,2026-08-24T00:00:00.000
24,ESZ000024,117,Evergreen EnergySubmeterZone 24,1,1,2026-08-24T00:00:00.000
25,ESZ000025,107,Willow EnergySubmeterZone 25,1,1,2026-08-24T00:00:00.000
26,ESZ000026,387,Quartz EnergySubmeterZone 26,1,1,2026-08-24T00:00:00.000
27,ESZ000027,296,Evergreen EnergySubmeterZone 27,1,1,2026-08-24T00:00:00.000
28,ESZ000028,32,Northstar EnergySubmeterZone 28,1,1,2026-08-24T00:00:00.000
29,ESZ000029,147,Granite EnergySubmeterZone 29,1,1,2026-08-24T00:00:00.000
30,ESZ000030,131,Quartz EnergySubmeterZone 30,1,1,2026-08-24T00:00:00.000
31,ESZ000031,158,Granite EnergySubmeterZone 31,1,1,2026-08-24T00:00:00.000
32,ESZ000032,138,Keystone EnergySubmeterZone 32,1,1,2026-08-24T00:00:00.000
33,ESZ000033,297,Junction EnergySubmeterZone 33,1,1,2026-08-24T00:00:00.000
34,ESZ000034,363,Unity EnergySubmeterZone 34,1,1,2026-08-24T00:00:00.000
35,ESZ000035,115,Pioneer EnergySubmeterZone 35,1,1,2026-08-24T00:00:00.000
36,ESZ000036,36,Unity EnergySubmeterZone 36,1,1,2026-08-24T00:00:00.000
37,ESZ000037,419,Orion EnergySubmeterZone 37,1,1,2026-08-24T00:00:00.000
38,ESZ000038,125,Willow EnergySubmeterZone 38,1,1,2026-08-24T00:00:00.000
39,ESZ000039,323,Summit EnergySubmeterZone 39,1,1,2026-08-24T00:00:00.000
40,ESZ000040,23,Beacon EnergySubmeterZone 40,1,1,2026-08-24T00:00:00.000
41,ESZ000041,500,Northstar EnergySubmeterZone 41,1,1,2026-08-24T00:00:00.000
42,ESZ000042,217,Granite EnergySubmeterZone 42,1,1,2026-08-24T00:00:00.000
43,ESZ000043,5,Zenith EnergySubmeterZone 43,1,1,2026-08-24T00:00:00.000
44,ESZ000044,351,Evergreen EnergySubmeterZone 44,1,1,2026-08-24T00:00:00.000
45,ESZ000045,377,Unity EnergySubmeterZone 45,1,1,2026-08-24T00:00:00.000
