EnergyTariffMarketKey,EnergyTariffMarketCode,EnergyTariffMarketName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,ETM000001,Unity EnergyTariffMarket 1,1,1,2026-08-24T00:00:00.000
2,ETM000002,Quartz EnergyTariffMarket 2,1,1,2026-08-24T00:00:00.000
3,ETM000003,Summit EnergyTariffMarket 3,1,1,2026-08-24T00:00:00.000
4,ETM000004,Zenith EnergyTariffMarket 4,1,1,2026-08-24T00:00:00.000
5,ETM000005,Harbor EnergyTariffMarket 5,1,1,2026-08-24T00:00:00.000
6,ETM000006,Evergreen EnergyTariffMarket 6,1,1,2026-08-24T00:00:00.000
7,ETM000007,Meridian EnergyTariffMarket 7,1,1,2026-08-24T00:00:00.000
8,ETM000008,Orion EnergyTariffMarket 8,1,1,2026-08-24T00:00:00.000
9,ETM000009,Atlas EnergyTariffMarket 9,1,1,2026-08-24T00:00:00.000
10,ETM000010,Summit EnergyTariffMarket 10,1,1,2026-08-24T00:00:00.000
11,ETM000011,Unity EnergyTariffMarket 11,1,1,2026-08-24T00:00:00.000
12,ETM000012,Ion EnergyTariffMarket 12,1,1,2026-08-24T00:00:00.000
13,ETM000013,Liberty EnergyTariffMarket 13,1,1,2026-08-24T00:00:00.000
14,ETM000014,Forge EnergyTariffMarket 14,1,1,2026-08-24T00:00:00.000
15,ETM000015,Cedar EnergyTariffMarket 15,1,1,2026-08-24T00:00:00.000
16,ETM000016,Vertex EnergyTariffMarket 16,1,1,2026-08-24T00:00:00.000
17,ETM000017,Zenith EnergyTariffMarket 17,1,1,2026-08-24T00:00:00.000
18,ETM000018,Granite EnergyTariffMarket 18,1,1,2026-08-24T00:00:00.000
19,ETM000019,Keystone EnergyTariffMarket 19,1,1,2026-08-24T00:00:00.000
20,ETM000020,Beacon EnergyTariffMarket 20,1,1,2026-08-24T00:00:00.000
21,ETM000021,Forge EnergyTariffMarket 21,1,1,2026-08-24T00:00:00.000
22,ETM000022,Atlas EnergyTariffMarket 22,1,1,2026-08-24T00:00:00.000
23,ETM000023,Vertex EnergyTariffMarket 23,1,1,2026-08-24T00:00:00.000
24,ETM000024,Titan EnergyTariffMarket 24,1,1,2026-08-24T00:00:00.000
25,ETM000025,Pioneer EnergyTariffMarket 25,1,1,2026-08-24T00:00:00.000
26,ETM000026,Junction EnergyTariffMarket 26,1,1,2026-08-24T00:00:00.000
27,ETM000027,Evergreen EnergyTariffMarket 27,1,1,2026-08-24T00:00:00.000
28,ETM000028,Willow EnergyTariffMarket 28,1,1,2026-08-24T00:00:00.000
29,ETM000029,Riverton EnergyTariffMarket 29,1,1,2026-08-24T00:00:00.000
30,ETM000030,Quartz EnergyTariffMarket 30,1,1,2026-08-24T00:00:00.000
31,ETM000031,Evergreen EnergyTariffMarket 31,1,1,2026-08-24T00:00:00.000
32,ETM000032,Pioneer EnergyTariffMarket 32,1,1,2026-08-24T00:00:00.000
33,ETM000033,Quartz EnergyTariffMarket 33,1,1,2026-08-24T00:00:00.000
34,ETM000034,Meridian EnergyTariffMarket 34,1,1,2026-08-24T00:00:00.000
35,ETM000035,Orion EnergyTariffMarket 35,1,1,2026-08-24T00:00:00.000
36,ETM000036,Riverton EnergyTariffMarket 36,1,1,2026-08-24T00:00:00.000
37,ETM000037,Ion EnergyTariffMarket 37,1,1,2026-08-24T00:00:00.000
38,ETM000038,Harbor EnergyTariffMarket 38,1,1,2026-08-24T00:00:00.000
39,ETM000039,Cedar EnergyTariffMarket 39,1,1,2026-08-24T00:00:00.000
40,ETM000040,Harbor EnergyTariffMarket 40,1,1,2026-08-24T00:00:00.000
