EnergyTariffProviderKey,EnergyTariffProviderCode,EnergyTariffMarketKey,EnergyTariffProviderName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ETP000001,31,Junction EnergyTariffProvider 1,1,1,2026-08-24T00:00:00.000
2,ETP000002,13,Granite EnergyTariffProvider 2,1,1,2026-08-24T00:00:00.000
3,ETP000003,9,Riverton EnergyTariffProvider 3,1,1,2026-08-24T00:00:00.000
4,ETP000004,2,Delta EnergyTariffProvider 4,1,1,2026-08-24T00:00:00.000
5,ETP000005,31,Vertex EnergyTariffProvider 5,1,1,2026-08-24T00:00:00.000
6,ETP000006,2,Riverton EnergyTariffProvider 6,1,1,2026-08-24T00:00:00.000
7,ETP000007,11,Titan EnergyTariffProvider 7,1,1,2026-08-24T00:00:00.000
8,ETP000008,21,Pioneer EnergyTariffProvider 8,1,1,2026-08-24T00:00:00.000
9,ETP000009,40,Vertex EnergyTariffProvider 9,1,1,2026-08-24T00:00:00.000
10,ETP000010,40,Keystone EnergyTariffProvider 10,1,1,2026-08-24T00:00:00.000
11,ETP000011,40,Forge EnergyTariffProvider 11,1,1,2026-08-24T00:00:00.000
12,ETP000012,11,Northstar EnergyTariffProvider 12,1,1,2026-08-24T00:00:00.000
13,ETP000013,35,Pioneer EnergyTariffProvider 13,1,1,2026-08-24T00:00:00.000
14,ETP000014,36,Quartz EnergyTariffProvider 14,1,1,2026-08-24T00:00:00.000
15,ETP000015,18,Keystone EnergyTariffProvider 15,1,1,2026-08-24T00:00:00.000
16,ETP000016,20,Granite EnergyTariffProvider 16,1,1,2026-08-24T00:00:00.000
17,ETP000017,2,Quartz EnergyTariffProvider 17,1,1,2026-08-24T00:00:00.000
18,ETP000018,40,Forge EnergyTariffProvider 18,1,1,2026-08-24T00:00:00.000
19,ETP000019,4,Atlas EnergyTariffProvider 19,1,1,2026-08-24T00:00:00.000
20,ETP000020,22,Harbor EnergyTariffProvider 20,1,1,2026-08-24T00:00:00.000
21,ETP000021,17,Riverton EnergyTariffProvider 21,1,1,2026-08-24T00:00:00.000
22,ETP000022,5,Cedar EnergyTariffProvider 22,1,1,2026-08-24T00:00:00.000
23,ETP000023,28,Pioneer EnergyTariffProvider 23,1,1,2026-08-24T00:00:00.000
24,ETP000024,25,Granite EnergyTariffProvider 24,1,1,2026-08-24T00:00:00.000
25,ETP000025,2,Delta EnergyTariffProvider 25,1,1,2026-08-24T00:00:00.000
26,ETP000026,6,Evergreen EnergyTariffProvider 26,1,1,2026-08-24T00:00:00.000
27,ETP000027,7,Orion EnergyTariffProvider 27,1,1,2026-08-24T00:00:00.000
28,ETP000028,34,Zenith EnergyTariffProvider 28,1,1,2026-08-24T00:00:00.000
29,ETP000029,34,Willow EnergyTariffProvider 29,1,1,2026-08-24T00:00:00.000
30,ETP000030,23,Vertex EnergyTariffProvider 30,1,1,2026-08-24T00:00:00.000
31,ETP000031,7,Junction EnergyTariffProvider 31,1,1,2026-08-24T00:00:00.000
32,ETP000032,28,Zenith EnergyTariffProvider 32,1,1,2026-08-24T00:00:00.000
33,ETP000033,6,Northstar EnergyTariffProvider 33,1,1,2026-08-24T00:00:00.000
34,ETP000034,23,Evergreen EnergyTariffProvider 34,1,1,2026-08-24T00:00:00.000
35,ETP000035,15,Northstar EnergyTariffProvider 35,1,1,2026-08-24T00:00:00.000
