EnergyUtilitySystemKey,EnergyUtilitySystemCode,EnergyUtilityCategoryKey,EnergyUtilitySystemName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EUS000001,10,Cedar EnergyUtilitySystem 1,1,1,2026-08-24T00:00:00.000
2,EUS000002,6,Meridian EnergyUtilitySystem 2,1,1,2026-08-24T00:00:00.000
3,EUS000003,4,Riverton EnergyUtilitySystem 3,1,1,2026-08-24T00:00:00.000
4,EUS000004,6,Northstar EnergyUtilitySystem 4,1,1,2026-08-24T00:00:00.000
5,EUS000005,1,Harbor EnergyUtilitySystem 5,1,1,2026-08-24T00:00:00.000
6,EUS000006,10,Zenith EnergyUtilitySystem 6,1,1,2026-08-24T00:00:00.000
7,EUS000007,3,Willow EnergyUtilitySystem 7,1,1,2026-08-24T00:00:00.000
8,EUS000008,10,Ion EnergyUtilitySystem 8,1,1,2026-08-24T00:00:00.000
9,EUS000009,7,Vertex EnergyUtilitySystem 9,1,1,2026-08-24T00:00:00.000
10,EUS000010,7,Northstar EnergyUtilitySystem 10,1,1,2026-08-24T00:00:00.000
11,EUS000011,6,Cedar EnergyUtilitySystem 11,1,1,2026-08-24T00:00:00.000
12,EUS000012,9,Beacon EnergyUtilitySystem 12,1,1,2026-08-24T00:00:00.000
13,EUS000013,5,Northstar EnergyUtilitySystem 13,1,1,2026-08-24T00:00:00.000
14,EUS000014,7,Forge EnergyUtilitySystem 14,1,1,2026-08-24T00:00:00.000
15,EUS000015,5,Pioneer EnergyUtilitySystem 15,1,1,2026-08-24T00:00:00.000
16,EUS000016,1,Granite EnergyUtilitySystem 16,1,1,2026-08-24T00:00:00.000
17,EUS000017,2,Cedar EnergyUtilitySystem 17,1,1,2026-08-24T00:00:00.000
18,EUS000018,9,Liberty EnergyUtilitySystem 18,1,1,2026-08-24T00:00:00.000
19,EUS000019,3,Vertex EnergyUtilitySystem 19,1,1,2026-08-24T00:00:00.000
20,EUS000020,6,Granite EnergyUtilitySystem 20,1,1,2026-08-24T00:00:00.000
21,EUS000021,9,Unity EnergyUtilitySystem 21,1,1,2026-08-24T00:00:00.000
