EngineeringCadDocumentKey,CadDocumentNumber,EngineeringDocumentCategoryKey,DesignerEmployeeKey,EngineeringDocumentTypeKey,EngineeringLifecycleStatusKey,EngineeringCadDocumentName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,ECD000001,404,273,10,9,Unity EngineeringCadDocument 1,ECD000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd2a9408a51a588da3cd0bbd95511a35dd2a9408a51a588da3cd0bbd95511a35
2,ECD000002,175,426,6,6,Delta EngineeringCadDocument 2,ECD000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96cf2fb0e4435e17bbb48b3448b341f196cf2fb0e4435e17bbb48b3448b341f1
3,ECD000003,384,461,1,8,Harbor EngineeringCadDocument 3,ECD000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d351823de19b518abf97dd66cf61f87ed351823de19b518abf97dd66cf61f87e
4,ECD000004,155,283,9,6,Meridian EngineeringCadDocument 4,ECD000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5c2bb828a6b550788410b30ae09b04cb5c2bb828a6b550788410b30ae09b04c
5,ECD000005,240,13,2,7,Pioneer EngineeringCadDocument 5,ECD000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef5cb7a7d9ca552097254e56f81c948bef5cb7a7d9ca552097254e56f81c948b
6,ECD000006,435,355,9,1,Cedar EngineeringCadDocument 6,ECD000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d09d74904b2569b928385a073cc7df36d09d74904b2569b928385a073cc7df3
7,ECD000007,367,243,3,6,Granite EngineeringCadDocument 7,ECD000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a5b3095dec75cb8b21a1c87be0c96a54a5b3095dec75cb8b21a1c87be0c96a5
8,ECD000008,293,433,8,3,Orion EngineeringCadDocument 8,ECD000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e7de0f4a5155c5a936f77fd9640f2576e7de0f4a5155c5a936f77fd9640f257
9,ECD000009,388,98,5,1,Zenith EngineeringCadDocument 9,ECD000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,466ad5d3f5415ec1b8a852b440c3b103466ad5d3f5415ec1b8a852b440c3b103
10,ECD000010,169,190,1,6,Ion EngineeringCadDocument 10,ECD000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,974b6e2b11dd5265ba7c811acaa1f2c4974b6e2b11dd5265ba7c811acaa1f2c4
11,ECD000011,303,74,6,4,Granite EngineeringCadDocument 11,ECD000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72a64581d1895a62a20b058727735a8972a64581d1895a62a20b058727735a89
12,ECD000012,497,94,7,3,Zenith EngineeringCadDocument 12,ECD000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38b48c7be9ab57f49b8ebe63690bdef238b48c7be9ab57f49b8ebe63690bdef2
13,ECD000013,163,340,8,9,Junction EngineeringCadDocument 13,ECD000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5e5bbbc47775cefa1d8215675be2fa3a5e5bbbc47775cefa1d8215675be2fa3
14,ECD000014,121,337,1,2,Unity EngineeringCadDocument 14,ECD000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bec599d35b51566aabf7b82e7f6a33e8bec599d35b51566aabf7b82e7f6a33e8
15,ECD000015,220,58,3,6,Meridian EngineeringCadDocument 15,ECD000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6a004f081a85f01867925a31958a15bb6a004f081a85f01867925a31958a15b
16,ECD000016,366,331,7,6,Zenith EngineeringCadDocument 16,ECD000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30c63d737da45428a7b9b068d60373f430c63d737da45428a7b9b068d60373f4
17,ECD000017,409,-1,7,6,Ion EngineeringCadDocument 17,ECD000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5b03996e00a56a0bc1ee9da14f66d5ce5b03996e00a56a0bc1ee9da14f66d5c
18,ECD000018,349,62,7,7,Ion EngineeringCadDocument 18,ECD000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78f46ce36da052a6833d6c6acc6d271578f46ce36da052a6833d6c6acc6d2715
19,ECD000019,235,265,4,4,Ion EngineeringCadDocument 19,ECD000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5fc6706b6e459fa8865fb5f447b0a43b5fc6706b6e459fa8865fb5f447b0a43
20,ECD000020,336,332,1,3,Delta EngineeringCadDocument 20,ECD000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e883e911330b5f5790667bb4bbd29bf6e883e911330b5f5790667bb4bbd29bf6
21,ECD000021,186,382,7,4,Titan EngineeringCadDocument 21,ECD000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc641fa9000652e9bafe2d648e744a4adc641fa9000652e9bafe2d648e744a4a
