EngineeringDocumentSubClassKey,EngineeringDocumentSubClassCode,EngineeringDocumentClassKey,EngineeringDocumentSubClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EDSC000001,35,Northstar EngineeringDocumentSubClass 1,1,1,2026-08-24T00:00:00.000
2,EDSC000002,29,Keystone EngineeringDocumentSubClass 2,1,1,2026-08-24T00:00:00.000
3,EDSC000003,14,Meridian EngineeringDocumentSubClass 3,1,1,2026-08-24T00:00:00.000
4,EDSC000004,13,Riverton EngineeringDocumentSubClass 4,1,1,2026-08-24T00:00:00.000
5,EDSC000005,44,Keystone EngineeringDocumentSubClass 5,1,1,2026-08-24T00:00:00.000
6,EDSC000006,3,Willow EngineeringDocumentSubClass 6,1,1,2026-08-24T00:00:00.000
7,EDSC000007,11,Northstar EngineeringDocumentSubClass 7,1,1,2026-08-24T00:00:00.000
8,EDSC000008,20,Unity EngineeringDocumentSubClass 8,1,1,2026-08-24T00:00:00.000
9,EDSC000009,14,Vertex EngineeringDocumentSubClass 9,1,1,2026-08-24T00:00:00.000
10,EDSC000010,19,Summit EngineeringDocumentSubClass 10,1,1,2026-08-24T00:00:00.000
11,EDSC000011,31,Northstar EngineeringDocumentSubClass 11,1,1,2026-08-24T00:00:00.000
12,EDSC000012,37,Unity EngineeringDocumentSubClass 12,1,1,2026-08-24T00:00:00.000
13,EDSC000013,32,Keystone EngineeringDocumentSubClass 13,1,1,2026-08-24T00:00:00.000
14,EDSC000014,21,Riverton EngineeringDocumentSubClass 14,1,1,2026-08-24T00:00:00.000
15,EDSC000015,19,Willow EngineeringDocumentSubClass 15,1,1,2026-08-24T00:00:00.000
16,EDSC000016,45,Beacon EngineeringDocumentSubClass 16,1,1,2026-08-24T00:00:00.000
17,EDSC000017,35,Junction EngineeringDocumentSubClass 17,1,1,2026-08-24T00:00:00.000
18,EDSC000018,11,Keystone EngineeringDocumentSubClass 18,1,1,2026-08-24T00:00:00.000
19,EDSC000019,11,Atlas EngineeringDocumentSubClass 19,1,1,2026-08-24T00:00:00.000
20,EDSC000020,28,Delta EngineeringDocumentSubClass 20,1,1,2026-08-24T00:00:00.000
21,EDSC000021,18,Harbor EngineeringDocumentSubClass 21,1,1,2026-08-24T00:00:00.000
22,EDSC000022,31,Unity EngineeringDocumentSubClass 22,1,1,2026-08-24T00:00:00.000
23,EDSC000023,22,Cedar EngineeringDocumentSubClass 23,1,1,2026-08-24T00:00:00.000
24,EDSC000024,44,Zenith EngineeringDocumentSubClass 24,1,1,2026-08-24T00:00:00.000
25,EDSC000025,25,Orion EngineeringDocumentSubClass 25,1,1,2026-08-24T00:00:00.000
26,EDSC000026,15,Liberty EngineeringDocumentSubClass 26,1,1,2026-08-24T00:00:00.000
27,EDSC000027,2,Evergreen EngineeringDocumentSubClass 27,1,1,2026-08-24T00:00:00.000
28,EDSC000028,5,Orion EngineeringDocumentSubClass 28,1,1,2026-08-24T00:00:00.000
29,EDSC000029,39,Willow EngineeringDocumentSubClass 29,1,1,2026-08-24T00:00:00.000
30,EDSC000030,12,Orion EngineeringDocumentSubClass 30,1,1,2026-08-24T00:00:00.000
31,EDSC000031,41,Ion EngineeringDocumentSubClass 31,1,1,2026-08-24T00:00:00.000
32,EDSC000032,18,Junction EngineeringDocumentSubClass 32,1,1,2026-08-24T00:00:00.000
33,EDSC000033,16,Summit EngineeringDocumentSubClass 33,1,1,2026-08-24T00:00:00.000
34,EDSC000034,19,Vertex EngineeringDocumentSubClass 34,1,1,2026-08-24T00:00:00.000
35,EDSC000035,9,Junction EngineeringDocumentSubClass 35,1,1,2026-08-24T00:00:00.000
36,EDSC000036,20,Delta EngineeringDocumentSubClass 36,1,1,2026-08-24T00:00:00.000
37,EDSC000037,43,Riverton EngineeringDocumentSubClass 37,1,1,2026-08-24T00:00:00.000
38,EDSC000038,23,Northstar EngineeringDocumentSubClass 38,1,1,2026-08-24T00:00:00.000
39,EDSC000039,1,Summit EngineeringDocumentSubClass 39,1,1,2026-08-24T00:00:00.000
40,EDSC000040,43,Zenith EngineeringDocumentSubClass 40,1,1,2026-08-24T00:00:00.000
41,EDSC000041,32,Summit EngineeringDocumentSubClass 41,1,1,2026-08-24T00:00:00.000
42,EDSC000042,32,Summit EngineeringDocumentSubClass 42,1,1,2026-08-24T00:00:00.000
43,EDSC000043,14,Zenith EngineeringDocumentSubClass 43,1,1,2026-08-24T00:00:00.000
44,EDSC000044,43,Junction EngineeringDocumentSubClass 44,1,1,2026-08-24T00:00:00.000
45,EDSC000045,17,Evergreen EngineeringDocumentSubClass 45,1,1,2026-08-24T00:00:00.000
46,EDSC000046,45,Zenith EngineeringDocumentSubClass 46,1,1,2026-08-24T00:00:00.000
47,EDSC000047,2,Cedar EngineeringDocumentSubClass 47,1,1,2026-08-24T00:00:00.000
48,EDSC000048,1,Vertex EngineeringDocumentSubClass 48,1,1,2026-08-24T00:00:00.000
49,EDSC000049,24,Beacon EngineeringDocumentSubClass 49,1,1,2026-08-24T00:00:00.000
50,EDSC000050,7,Quartz EngineeringDocumentSubClass 50,1,1,2026-08-24T00:00:00.000
51,EDSC000051,21,Pioneer EngineeringDocumentSubClass 51,1,1,2026-08-24T00:00:00.000
52,EDSC000052,7,Keystone EngineeringDocumentSubClass 52,1,1,2026-08-24T00:00:00.000
53,EDSC000053,12,Meridian EngineeringDocumentSubClass 53,1,1,2026-08-24T00:00:00.000
54,EDSC000054,3,Orion EngineeringDocumentSubClass 54,1,1,2026-08-24T00:00:00.000
55,EDSC000055,12,Pioneer EngineeringDocumentSubClass 55,1,1,2026-08-24T00:00:00.000
56,EDSC000056,18,Pioneer EngineeringDocumentSubClass 56,1,1,2026-08-24T00:00:00.000
57,EDSC000057,3,Vertex EngineeringDocumentSubClass 57,1,1,2026-08-24T00:00:00.000
58,EDSC000058,35,Delta EngineeringDocumentSubClass 58,1,1,2026-08-24T00:00:00.000
59,EDSC000059,8,Orion EngineeringDocumentSubClass 59,1,1,2026-08-24T00:00:00.000
60,EDSC000060,10,Liberty EngineeringDocumentSubClass 60,1,1,2026-08-24T00:00:00.000
61,EDSC000061,8,Unity EngineeringDocumentSubClass 61,1,1,2026-08-24T00:00:00.000
62,EDSC000062,41,Titan EngineeringDocumentSubClass 62,1,1,2026-08-24T00:00:00.000
63,EDSC000063,2,Quartz EngineeringDocumentSubClass 63,1,1,2026-08-24T00:00:00.000
64,EDSC000064,32,Riverton EngineeringDocumentSubClass 64,1,1,2026-08-24T00:00:00.000
65,EDSC000065,8,Unity EngineeringDocumentSubClass 65,1,1,2026-08-24T00:00:00.000
66,EDSC000066,45,Delta EngineeringDocumentSubClass 66,1,1,2026-08-24T00:00:00.000
67,EDSC000067,26,Unity EngineeringDocumentSubClass 67,1,1,2026-08-24T00:00:00.000
68,EDSC000068,11,Junction EngineeringDocumentSubClass 68,1,1,2026-08-24T00:00:00.000
69,EDSC000069,30,Forge EngineeringDocumentSubClass 69,1,1,2026-08-24T00:00:00.000
70,EDSC000070,9,Harbor EngineeringDocumentSubClass 70,1,1,2026-08-24T00:00:00.000
71,EDSC000071,42,Cedar EngineeringDocumentSubClass 71,1,1,2026-08-24T00:00:00.000
72,EDSC000072,45,Forge EngineeringDocumentSubClass 72,1,1,2026-08-24T00:00:00.000
73,EDSC000073,36,Willow EngineeringDocumentSubClass 73,1,1,2026-08-24T00:00:00.000
74,EDSC000074,7,Keystone EngineeringDocumentSubClass 74,1,1,2026-08-24T00:00:00.000
75,EDSC000075,23,Delta EngineeringDocumentSubClass 75,1,1,2026-08-24T00:00:00.000
76,EDSC000076,9,Summit EngineeringDocumentSubClass 76,1,1,2026-08-24T00:00:00.000
77,EDSC000077,20,Forge EngineeringDocumentSubClass 77,1,1,2026-08-24T00:00:00.000
78,EDSC000078,42,Unity EngineeringDocumentSubClass 78,1,1,2026-08-24T00:00:00.000
79,EDSC000079,37,Ion EngineeringDocumentSubClass 79,1,1,2026-08-24T00:00:00.000
80,EDSC000080,36,Evergreen EngineeringDocumentSubClass 80,1,1,2026-08-24T00:00:00.000
81,EDSC000081,9,Vertex EngineeringDocumentSubClass 81,1,1,2026-08-24T00:00:00.000
82,EDSC000082,16,Zenith EngineeringDocumentSubClass 82,1,1,2026-08-24T00:00:00.000
83,EDSC000083,31,Delta EngineeringDocumentSubClass 83,1,1,2026-08-24T00:00:00.000
