EngineeringGroupKey,EngineeringGroupCode,EngineeringDisciplineKey,EngineeringGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,EG000001,34,Orion EngineeringGroup 1,1,1,2026-08-24T00:00:00.000
2,EG000002,29,Meridian EngineeringGroup 2,1,1,2026-08-24T00:00:00.000
3,EG000003,19,Unity EngineeringGroup 3,1,1,2026-08-24T00:00:00.000
4,EG000004,7,Ion EngineeringGroup 4,1,1,2026-08-24T00:00:00.000
5,EG000005,33,Summit EngineeringGroup 5,1,1,2026-08-24T00:00:00.000
6,EG000006,15,Meridian EngineeringGroup 6,1,1,2026-08-24T00:00:00.000
7,EG000007,30,Unity EngineeringGroup 7,1,1,2026-08-24T00:00:00.000
8,EG000008,23,Zenith EngineeringGroup 8,1,1,2026-08-24T00:00:00.000
9,EG000009,6,Atlas EngineeringGroup 9,1,1,2026-08-24T00:00:00.000
10,EG000010,1,Zenith EngineeringGroup 10,1,1,2026-08-24T00:00:00.000
11,EG000011,32,Vertex EngineeringGroup 11,1,1,2026-08-24T00:00:00.000
12,EG000012,4,Willow EngineeringGroup 12,1,1,2026-08-24T00:00:00.000
13,EG000013,6,Ion EngineeringGroup 13,1,1,2026-08-24T00:00:00.000
14,EG000014,11,Forge EngineeringGroup 14,1,1,2026-08-24T00:00:00.000
15,EG000015,4,Forge EngineeringGroup 15,1,1,2026-08-24T00:00:00.000
16,EG000016,20,Orion EngineeringGroup 16,1,1,2026-08-24T00:00:00.000
17,EG000017,13,Unity EngineeringGroup 17,1,1,2026-08-24T00:00:00.000
18,EG000018,17,Pioneer EngineeringGroup 18,1,1,2026-08-24T00:00:00.000
19,EG000019,30,Atlas EngineeringGroup 19,1,1,2026-08-24T00:00:00.000
20,EG000020,6,Beacon EngineeringGroup 20,1,1,2026-08-24T00:00:00.000
21,EG000021,6,Cedar EngineeringGroup 21,1,1,2026-08-24T00:00:00.000
22,EG000022,26,Meridian EngineeringGroup 22,1,1,2026-08-24T00:00:00.000
23,EG000023,25,Evergreen EngineeringGroup 23,1,1,2026-08-24T00:00:00.000
24,EG000024,15,Orion EngineeringGroup 24,1,1,2026-08-24T00:00:00.000
25,EG000025,11,Riverton EngineeringGroup 25,1,1,2026-08-24T00:00:00.000
26,EG000026,6,Vertex EngineeringGroup 26,1,1,2026-08-24T00:00:00.000
27,EG000027,13,Junction EngineeringGroup 27,1,1,2026-08-24T00:00:00.000
28,EG000028,2,Summit EngineeringGroup 28,1,1,2026-08-24T00:00:00.000
29,EG000029,13,Ion EngineeringGroup 29,1,1,2026-08-24T00:00:00.000
30,EG000030,31,Keystone EngineeringGroup 30,1,1,2026-08-24T00:00:00.000
31,EG000031,4,Ion EngineeringGroup 31,1,1,2026-08-24T00:00:00.000
32,EG000032,12,Vertex EngineeringGroup 32,1,1,2026-08-24T00:00:00.000
33,EG000033,19,Harbor EngineeringGroup 33,1,1,2026-08-24T00:00:00.000
34,EG000034,12,Junction EngineeringGroup 34,1,1,2026-08-24T00:00:00.000
35,EG000035,35,Keystone EngineeringGroup 35,1,1,2026-08-24T00:00:00.000
36,EG000036,31,Granite EngineeringGroup 36,1,1,2026-08-24T00:00:00.000
37,EG000037,22,Quartz EngineeringGroup 37,1,1,2026-08-24T00:00:00.000
38,EG000038,30,Zenith EngineeringGroup 38,1,1,2026-08-24T00:00:00.000
39,EG000039,19,Unity EngineeringGroup 39,1,1,2026-08-24T00:00:00.000
40,EG000040,32,Evergreen EngineeringGroup 40,1,1,2026-08-24T00:00:00.000
41,EG000041,5,Forge EngineeringGroup 41,1,1,2026-08-24T00:00:00.000
42,EG000042,2,Northstar EngineeringGroup 42,1,1,2026-08-24T00:00:00.000
43,EG000043,34,Keystone EngineeringGroup 43,1,1,2026-08-24T00:00:00.000
44,EG000044,1,Keystone EngineeringGroup 44,1,1,2026-08-24T00:00:00.000
45,EG000045,10,Granite EngineeringGroup 45,1,1,2026-08-24T00:00:00.000
46,EG000046,2,Northstar EngineeringGroup 46,1,1,2026-08-24T00:00:00.000
47,EG000047,27,Titan EngineeringGroup 47,1,1,2026-08-24T00:00:00.000
48,EG000048,3,Junction EngineeringGroup 48,1,1,2026-08-24T00:00:00.000
49,EG000049,32,Northstar EngineeringGroup 49,1,1,2026-08-24T00:00:00.000
50,EG000050,10,Meridian EngineeringGroup 50,1,1,2026-08-24T00:00:00.000
51,EG000051,27,Vertex EngineeringGroup 51,1,1,2026-08-24T00:00:00.000
52,EG000052,8,Keystone EngineeringGroup 52,1,1,2026-08-24T00:00:00.000
53,EG000053,31,Evergreen EngineeringGroup 53,1,1,2026-08-24T00:00:00.000
54,EG000054,14,Summit EngineeringGroup 54,1,1,2026-08-24T00:00:00.000
55,EG000055,4,Vertex EngineeringGroup 55,1,1,2026-08-24T00:00:00.000
56,EG000056,3,Unity EngineeringGroup 56,1,1,2026-08-24T00:00:00.000
57,EG000057,14,Orion EngineeringGroup 57,1,1,2026-08-24T00:00:00.000
58,EG000058,3,Atlas EngineeringGroup 58,1,1,2026-08-24T00:00:00.000
59,EG000059,27,Orion EngineeringGroup 59,1,1,2026-08-24T00:00:00.000
60,EG000060,4,Willow EngineeringGroup 60,1,1,2026-08-24T00:00:00.000
61,EG000061,21,Cedar EngineeringGroup 61,1,1,2026-08-24T00:00:00.000
62,EG000062,4,Junction EngineeringGroup 62,1,1,2026-08-24T00:00:00.000
63,EG000063,32,Keystone EngineeringGroup 63,1,1,2026-08-24T00:00:00.000
64,EG000064,2,Willow EngineeringGroup 64,1,1,2026-08-24T00:00:00.000
65,EG000065,34,Quartz EngineeringGroup 65,1,1,2026-08-24T00:00:00.000
66,EG000066,21,Harbor EngineeringGroup 66,1,1,2026-08-24T00:00:00.000
67,EG000067,31,Delta EngineeringGroup 67,1,1,2026-08-24T00:00:00.000
68,EG000068,12,Pioneer EngineeringGroup 68,1,1,2026-08-24T00:00:00.000
69,EG000069,4,Atlas EngineeringGroup 69,1,1,2026-08-24T00:00:00.000
70,EG000070,28,Forge EngineeringGroup 70,1,1,2026-08-24T00:00:00.000
71,EG000071,4,Titan EngineeringGroup 71,1,1,2026-08-24T00:00:00.000
72,EG000072,7,Liberty EngineeringGroup 72,1,1,2026-08-24T00:00:00.000
73,EG000073,25,Summit EngineeringGroup 73,1,1,2026-08-24T00:00:00.000
74,EG000074,33,Pioneer EngineeringGroup 74,1,1,2026-08-24T00:00:00.000
75,EG000075,13,Quartz EngineeringGroup 75,1,1,2026-08-24T00:00:00.000
76,EG000076,29,Ion EngineeringGroup 76,1,1,2026-08-24T00:00:00.000
77,EG000077,29,Northstar EngineeringGroup 77,1,1,2026-08-24T00:00:00.000
78,EG000078,12,Willow EngineeringGroup 78,1,1,2026-08-24T00:00:00.000
79,EG000079,30,Willow EngineeringGroup 79,1,1,2026-08-24T00:00:00.000
80,EG000080,33,Evergreen EngineeringGroup 80,1,1,2026-08-24T00:00:00.000
81,EG000081,11,Unity EngineeringGroup 81,1,1,2026-08-24T00:00:00.000
82,EG000082,23,Forge EngineeringGroup 82,1,1,2026-08-24T00:00:00.000
83,EG000083,23,Delta EngineeringGroup 83,1,1,2026-08-24T00:00:00.000
84,EG000084,33,Ion EngineeringGroup 84,1,1,2026-08-24T00:00:00.000
85,EG000085,35,Junction EngineeringGroup 85,1,1,2026-08-24T00:00:00.000
86,EG000086,31,Beacon EngineeringGroup 86,1,1,2026-08-24T00:00:00.000
87,EG000087,3,Harbor EngineeringGroup 87,1,1,2026-08-24T00:00:00.000
88,EG000088,31,Liberty EngineeringGroup 88,1,1,2026-08-24T00:00:00.000
89,EG000089,35,Meridian EngineeringGroup 89,1,1,2026-08-24T00:00:00.000
90,EG000090,20,Vertex EngineeringGroup 90,1,1,2026-08-24T00:00:00.000
91,EG000091,34,Quartz EngineeringGroup 91,1,1,2026-08-24T00:00:00.000
92,EG000092,33,Harbor EngineeringGroup 92,1,1,2026-08-24T00:00:00.000
93,EG000093,9,Harbor EngineeringGroup 93,1,1,2026-08-24T00:00:00.000
94,EG000094,31,Beacon EngineeringGroup 94,1,1,2026-08-24T00:00:00.000
95,EG000095,5,Keystone EngineeringGroup 95,1,1,2026-08-24T00:00:00.000
96,EG000096,6,Riverton EngineeringGroup 96,1,1,2026-08-24T00:00:00.000
97,EG000097,22,Riverton EngineeringGroup 97,1,1,2026-08-24T00:00:00.000
98,EG000098,9,Riverton EngineeringGroup 98,1,1,2026-08-24T00:00:00.000
99,EG000099,29,Riverton EngineeringGroup 99,1,1,2026-08-24T00:00:00.000
100,EG000100,29,Delta EngineeringGroup 100,1,1,2026-08-24T00:00:00.000
101,EG000101,11,Harbor EngineeringGroup 101,1,1,2026-08-24T00:00:00.000
102,EG000102,27,Meridian EngineeringGroup 102,1,1,2026-08-24T00:00:00.000
103,EG000103,12,Harbor EngineeringGroup 103,1,1,2026-08-24T00:00:00.000
104,EG000104,27,Northstar EngineeringGroup 104,1,1,2026-08-24T00:00:00.000
105,EG000105,6,Ion EngineeringGroup 105,1,1,2026-08-24T00:00:00.000
106,EG000106,23,Forge EngineeringGroup 106,1,1,2026-08-24T00:00:00.000
107,EG000107,22,Willow EngineeringGroup 107,1,1,2026-08-24T00:00:00.000
108,EG000108,24,Zenith EngineeringGroup 108,1,1,2026-08-24T00:00:00.000
109,EG000109,24,Atlas EngineeringGroup 109,1,1,2026-08-24T00:00:00.000
110,EG000110,10,Ion EngineeringGroup 110,1,1,2026-08-24T00:00:00.000
111,EG000111,10,Forge EngineeringGroup 111,1,1,2026-08-24T00:00:00.000
112,EG000112,2,Willow EngineeringGroup 112,1,1,2026-08-24T00:00:00.000
113,EG000113,29,Keystone EngineeringGroup 113,1,1,2026-08-24T00:00:00.000
114,EG000114,7,Atlas EngineeringGroup 114,1,1,2026-08-24T00:00:00.000
115,EG000115,12,Evergreen EngineeringGroup 115,1,1,2026-08-24T00:00:00.000
116,EG000116,28,Pioneer EngineeringGroup 116,1,1,2026-08-24T00:00:00.000
117,EG000117,16,Vertex EngineeringGroup 117,1,1,2026-08-24T00:00:00.000
118,EG000118,9,Unity EngineeringGroup 118,1,1,2026-08-24T00:00:00.000
119,EG000119,13,Junction EngineeringGroup 119,1,1,2026-08-24T00:00:00.000
120,EG000120,21,Willow EngineeringGroup 120,1,1,2026-08-24T00:00:00.000
