EngineeringPartRevisionKey,PartRevisionNumber,ProductKey,EngineeringTeamKey,EngineeringLifecycleStatusKey,UnitOfMeasureKey,EngineeringPartRevisionName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,EPR000001,425,124,1,1,Meridian EngineeringPartRevision 1,EPR000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f53bf87b87f5c608a04bd1e98a3fb693f53bf87b87f5c608a04bd1e98a3fb69
2,EPR000002,80,406,4,7,Zenith EngineeringPartRevision 2,EPR000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a408bedea3d05a43be8f2e75d4cbbb20a408bedea3d05a43be8f2e75d4cbbb20
3,EPR000003,392,360,1,7,Junction EngineeringPartRevision 3,EPR000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37ecb99100235e9f9eeebbe0a93920ef37ecb99100235e9f9eeebbe0a93920ef
4,EPR000004,418,152,10,1,Unity EngineeringPartRevision 4,EPR000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1541dad70f4e5107a28a037b74759a881541dad70f4e5107a28a037b74759a88
5,EPR000005,437,304,5,7,Northstar EngineeringPartRevision 5,EPR000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75ba88ea821f592c9eaa4c2b276f87e475ba88ea821f592c9eaa4c2b276f87e4
6,EPR000006,292,221,3,7,Granite EngineeringPartRevision 6,EPR000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ff14bb0a541519e866c3f525bb649113ff14bb0a541519e866c3f525bb64911
7,EPR000007,109,1,10,6,Northstar EngineeringPartRevision 7,EPR000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9776daaca4f1566b9af079a3ac3b3bea9776daaca4f1566b9af079a3ac3b3bea
8,EPR000008,117,40,9,4,Riverton EngineeringPartRevision 8,EPR000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e66b3ba2131a55f99f93915dbdc0f91ee66b3ba2131a55f99f93915dbdc0f91e
9,EPR000009,438,378,2,7,Junction EngineeringPartRevision 9,EPR000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d342300a80ae5570bcddea674ef2808cd342300a80ae5570bcddea674ef2808c
10,EPR000010,100,23,6,1,Riverton EngineeringPartRevision 10,EPR000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cba177bb12165f5b8823e60e5888afa0cba177bb12165f5b8823e60e5888afa0
11,EPR000011,397,208,4,1,Forge EngineeringPartRevision 11,EPR000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20c45449f9955f7d813574c0f182f22020c45449f9955f7d813574c0f182f220
12,EPR000012,181,442,1,3,Harbor EngineeringPartRevision 12,EPR000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,564bb4003a5258949802e51c2b9e2228564bb4003a5258949802e51c2b9e2228
13,EPR000013,450,295,3,5,Junction EngineeringPartRevision 13,EPR000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be4eaf1fdaca51cc927f2088141339f5be4eaf1fdaca51cc927f2088141339f5
14,EPR000014,248,108,8,1,Forge EngineeringPartRevision 14,EPR000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49d0196a35f55ccf911194b429dc079b49d0196a35f55ccf911194b429dc079b
15,EPR000015,330,125,3,7,Riverton EngineeringPartRevision 15,EPR000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fcf9e7fddfc512d8eb1abb663db2a944fcf9e7fddfc512d8eb1abb663db2a94
16,EPR000016,144,367,2,7,Zenith EngineeringPartRevision 16,EPR000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f874c15628c57729dd2b7f78a0da3465f874c15628c57729dd2b7f78a0da346
17,EPR000017,282,447,3,3,Liberty EngineeringPartRevision 17,EPR000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,664c4794e80e5c24afad434a1f0892e1664c4794e80e5c24afad434a1f0892e1
18,EPR000018,77,18,1,1,Ion EngineeringPartRevision 18,EPR000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5932cbe1fc2256899c10efdab2d3ce8c5932cbe1fc2256899c10efdab2d3ce8c
19,EPR000019,433,292,4,5,Evergreen EngineeringPartRevision 19,EPR000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1391c49d7f953938daad571b51959d8e1391c49d7f953938daad571b51959d8
20,EPR000020,489,125,8,3,Forge EngineeringPartRevision 20,EPR000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,913c79f524185f0ab4166a84c618fbdc913c79f524185f0ab4166a84c618fbdc
21,EPR000021,486,415,8,5,Quartz EngineeringPartRevision 21,EPR000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c125b9e2499d5c59ad73aea200823ee5c125b9e2499d5c59ad73aea200823ee5
22,EPR000022,474,315,7,6,Titan EngineeringPartRevision 22,EPR000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bb1b82430865e8d800cded586d2f9b40bb1b82430865e8d800cded586d2f9b4
23,EPR000023,396,268,5,5,Keystone EngineeringPartRevision 23,EPR000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc94dc9130105af68512e88f8e908475dc94dc9130105af68512e88f8e908475
24,EPR000024,496,414,3,5,Vertex EngineeringPartRevision 24,EPR000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,606a68264d1a50119d601dd0397d1e2f606a68264d1a50119d601dd0397d1e2f
25,EPR000025,205,236,8,5,Northstar EngineeringPartRevision 25,EPR000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5146caecb45d54fdbf57377dc381abc75146caecb45d54fdbf57377dc381abc7
26,EPR000026,473,432,9,6,Summit EngineeringPartRevision 26,EPR000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c55c05df3e15f31a3d36c2d9b1b736d3c55c05df3e15f31a3d36c2d9b1b736d
27,EPR000027,110,17,7,1,Riverton EngineeringPartRevision 27,EPR000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5b616703ef054d0a33a98d346fcfe94d5b616703ef054d0a33a98d346fcfe94
28,EPR000028,196,397,9,5,Orion EngineeringPartRevision 28,EPR000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09ce9de0229d519a98e1b016502a539a09ce9de0229d519a98e1b016502a539a
29,EPR000029,250,168,4,3,Meridian EngineeringPartRevision 29,EPR000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd4f5e1ed0495c5088bada4da9451a75fd4f5e1ed0495c5088bada4da9451a75
30,EPR000030,428,310,2,6,Evergreen EngineeringPartRevision 30,EPR000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94a85dbd958e53878bde56c0a43a0a2894a85dbd958e53878bde56c0a43a0a28
31,EPR000031,332,388,1,5,Riverton EngineeringPartRevision 31,EPR000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a125d55b5d5358e6b7ada5173f879e86a125d55b5d5358e6b7ada5173f879e86
32,EPR000032,40,382,8,5,Pioneer EngineeringPartRevision 32,EPR000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a5d39df9c565c838e525de0bb0292516a5d39df9c565c838e525de0bb029251
33,EPR000033,330,86,2,6,Quartz EngineeringPartRevision 33,EPR000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84e6dd9bbaf05c3bab4517d54f21d34a84e6dd9bbaf05c3bab4517d54f21d34a
34,EPR000034,208,85,1,1,Delta EngineeringPartRevision 34,EPR000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca4b084af90656e3a0102a033ac2bd88ca4b084af90656e3a0102a033ac2bd88
35,EPR000035,434,441,5,2,Unity EngineeringPartRevision 35,EPR000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,603b39bd64a25b6cbcce8e56ce5fd910603b39bd64a25b6cbcce8e56ce5fd910
36,EPR000036,362,188,3,3,Northstar EngineeringPartRevision 36,EPR000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ae889d9903654118284c19da7cffd5b3ae889d9903654118284c19da7cffd5b
37,EPR000037,242,359,2,7,Forge EngineeringPartRevision 37,EPR000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3e21fb1dd1756bcb6a485b05c4e251fa3e21fb1dd1756bcb6a485b05c4e251f
38,EPR000038,331,107,5,7,Junction EngineeringPartRevision 38,EPR000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0459d734d8f05f6b93fbadb6a2b13e6f0459d734d8f05f6b93fbadb6a2b13e6f
39,EPR000039,100,2,8,2,Keystone EngineeringPartRevision 39,EPR000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59185f34601957d482d90bc91e43810c59185f34601957d482d90bc91e43810c
40,EPR000040,366,418,2,5,Delta EngineeringPartRevision 40,EPR000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af9dbd9807e157919d4f12f60a3cea5baf9dbd9807e157919d4f12f60a3cea5b
41,EPR000041,251,404,9,4,Titan EngineeringPartRevision 41,EPR000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f2ac4c59a925a44a7fc9c743f329ea74f2ac4c59a925a44a7fc9c743f329ea7
42,EPR000042,69,292,3,1,Harbor EngineeringPartRevision 42,EPR000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,161c6c9a9ec351b68498774912855c47161c6c9a9ec351b68498774912855c47
43,EPR000043,241,123,8,1,Northstar EngineeringPartRevision 43,EPR000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b75b52c68d705e4fa24ad905dc96f336b75b52c68d705e4fa24ad905dc96f336
44,EPR000044,226,294,1,6,Liberty EngineeringPartRevision 44,EPR000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab049f6b8e6c55398970bff1095288f6ab049f6b8e6c55398970bff1095288f6
45,EPR000045,119,273,1,6,Junction EngineeringPartRevision 45,EPR000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56762ff7b8e95d688846be70cccddedb56762ff7b8e95d688846be70cccddedb
46,EPR000046,173,216,5,3,Meridian EngineeringPartRevision 46,EPR000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66da346dd32555a69ec2ddb8a7b04e2d66da346dd32555a69ec2ddb8a7b04e2d
47,EPR000047,7,263,4,2,Atlas EngineeringPartRevision 47,EPR000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b280b56a67b755cf91c54f9d4c1f1af4b280b56a67b755cf91c54f9d4c1f1af4
48,EPR000048,311,433,4,4,Riverton EngineeringPartRevision 48,EPR000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0084d04b25405854acda744b52f209160084d04b25405854acda744b52f20916
49,EPR000049,242,172,3,6,Zenith EngineeringPartRevision 49,EPR000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ba35f95c62c53e5a906fc6905653e538ba35f95c62c53e5a906fc6905653e53
50,EPR000050,181,409,6,1,Meridian EngineeringPartRevision 50,EPR000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50a623e84ba357d996bcb016038fea6850a623e84ba357d996bcb016038fea68
51,EPR000051,184,277,2,4,Beacon EngineeringPartRevision 51,EPR000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d79dc61d474a5b42b581ab6af59a6640d79dc61d474a5b42b581ab6af59a6640
52,EPR000052,115,301,8,7,Granite EngineeringPartRevision 52,EPR000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad9f4742f24b56f0b7645795e329ead8ad9f4742f24b56f0b7645795e329ead8
