EngineeringTeamKey,EngineeringTeamCode,EngineeringGroupKey,EngineeringTeamName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ET000001,29,Delta EngineeringTeam 1,1,1,2026-08-24T00:00:00.000
2,ET000002,62,Evergreen EngineeringTeam 2,1,1,2026-08-24T00:00:00.000
3,ET000003,45,Meridian EngineeringTeam 3,1,1,2026-08-24T00:00:00.000
4,ET000004,80,Titan EngineeringTeam 4,1,1,2026-08-24T00:00:00.000
5,ET000005,70,Orion EngineeringTeam 5,1,1,2026-08-24T00:00:00.000
6,ET000006,114,Orion EngineeringTeam 6,1,1,2026-08-24T00:00:00.000
7,ET000007,72,Orion EngineeringTeam 7,1,1,2026-08-24T00:00:00.000
8,ET000008,40,Harbor EngineeringTeam 8,1,1,2026-08-24T00:00:00.000
9,ET000009,45,Quartz EngineeringTeam 9,1,1,2026-08-24T00:00:00.000
10,ET000010,40,Atlas EngineeringTeam 10,1,1,2026-08-24T00:00:00.000
11,ET000011,18,Willow EngineeringTeam 11,1,1,2026-08-24T00:00:00.000
12,ET000012,82,Beacon EngineeringTeam 12,1,1,2026-08-24T00:00:00.000
13,ET000013,32,Vertex EngineeringTeam 13,1,1,2026-08-24T00:00:00.000
14,ET000014,16,Quartz EngineeringTeam 14,1,1,2026-08-24T00:00:00.000
15,ET000015,21,Liberty EngineeringTeam 15,1,1,2026-08-24T00:00:00.000
16,ET000016,93,Cedar EngineeringTeam 16,1,1,2026-08-24T00:00:00.000
17,ET000017,83,Riverton EngineeringTeam 17,1,1,2026-08-24T00:00:00.000
18,ET000018,34,Beacon EngineeringTeam 18,1,1,2026-08-24T00:00:00.000
19,ET000019,39,Willow EngineeringTeam 19,1,1,2026-08-24T00:00:00.000
20,ET000020,117,Granite EngineeringTeam 20,1,1,2026-08-24T00:00:00.000
21,ET000021,92,Ion EngineeringTeam 21,1,1,2026-08-24T00:00:00.000
22,ET000022,48,Summit EngineeringTeam 22,1,1,2026-08-24T00:00:00.000
23,ET000023,83,Riverton EngineeringTeam 23,1,1,2026-08-24T00:00:00.000
24,ET000024,60,Cedar EngineeringTeam 24,1,1,2026-08-24T00:00:00.000
25,ET000025,24,Northstar EngineeringTeam 25,1,1,2026-08-24T00:00:00.000
26,ET000026,111,Cedar EngineeringTeam 26,1,1,2026-08-24T00:00:00.000
27,ET000027,119,Cedar EngineeringTeam 27,1,1,2026-08-24T00:00:00.000
28,ET000028,52,Evergreen EngineeringTeam 28,1,1,2026-08-24T00:00:00.000
29,ET000029,30,Beacon EngineeringTeam 29,1,1,2026-08-24T00:00:00.000
30,ET000030,19,Willow EngineeringTeam 30,1,1,2026-08-24T00:00:00.000
31,ET000031,92,Ion EngineeringTeam 31,1,1,2026-08-24T00:00:00.000
32,ET000032,64,Orion EngineeringTeam 32,1,1,2026-08-24T00:00:00.000
33,ET000033,64,Liberty EngineeringTeam 33,1,1,2026-08-24T00:00:00.000
34,ET000034,51,Quartz EngineeringTeam 34,1,1,2026-08-24T00:00:00.000
35,ET000035,120,Titan EngineeringTeam 35,1,1,2026-08-24T00:00:00.000
36,ET000036,112,Summit EngineeringTeam 36,1,1,2026-08-24T00:00:00.000
37,ET000037,11,Titan EngineeringTeam 37,1,1,2026-08-24T00:00:00.000
38,ET000038,6,Delta EngineeringTeam 38,1,1,2026-08-24T00:00:00.000
39,ET000039,105,Titan EngineeringTeam 39,1,1,2026-08-24T00:00:00.000
40,ET000040,86,Granite EngineeringTeam 40,1,1,2026-08-24T00:00:00.000
41,ET000041,91,Junction EngineeringTeam 41,1,1,2026-08-24T00:00:00.000
42,ET000042,79,Quartz EngineeringTeam 42,1,1,2026-08-24T00:00:00.000
43,ET000043,20,Granite EngineeringTeam 43,1,1,2026-08-24T00:00:00.000
44,ET000044,107,Delta EngineeringTeam 44,1,1,2026-08-24T00:00:00.000
45,ET000045,89,Unity EngineeringTeam 45,1,1,2026-08-24T00:00:00.000
46,ET000046,86,Keystone EngineeringTeam 46,1,1,2026-08-24T00:00:00.000
47,ET000047,65,Beacon EngineeringTeam 47,1,1,2026-08-24T00:00:00.000
48,ET000048,112,Willow EngineeringTeam 48,1,1,2026-08-24T00:00:00.000
49,ET000049,80,Zenith EngineeringTeam 49,1,1,2026-08-24T00:00:00.000
50,ET000050,115,Vertex EngineeringTeam 50,1,1,2026-08-24T00:00:00.000
51,ET000051,28,Ion EngineeringTeam 51,1,1,2026-08-24T00:00:00.000
52,ET000052,116,Willow EngineeringTeam 52,1,1,2026-08-24T00:00:00.000
53,ET000053,101,Vertex EngineeringTeam 53,1,1,2026-08-24T00:00:00.000
54,ET000054,21,Vertex EngineeringTeam 54,1,1,2026-08-24T00:00:00.000
55,ET000055,1,Riverton EngineeringTeam 55,1,1,2026-08-24T00:00:00.000
56,ET000056,56,Junction EngineeringTeam 56,1,1,2026-08-24T00:00:00.000
57,ET000057,61,Meridian EngineeringTeam 57,1,1,2026-08-24T00:00:00.000
58,ET000058,71,Delta EngineeringTeam 58,1,1,2026-08-24T00:00:00.000
59,ET000059,100,Summit EngineeringTeam 59,1,1,2026-08-24T00:00:00.000
60,ET000060,81,Willow EngineeringTeam 60,1,1,2026-08-24T00:00:00.000
61,ET000061,66,Northstar EngineeringTeam 61,1,1,2026-08-24T00:00:00.000
62,ET000062,65,Liberty EngineeringTeam 62,1,1,2026-08-24T00:00:00.000
63,ET000063,76,Beacon EngineeringTeam 63,1,1,2026-08-24T00:00:00.000
64,ET000064,14,Delta EngineeringTeam 64,1,1,2026-08-24T00:00:00.000
65,ET000065,16,Vertex EngineeringTeam 65,1,1,2026-08-24T00:00:00.000
66,ET000066,103,Titan EngineeringTeam 66,1,1,2026-08-24T00:00:00.000
67,ET000067,12,Beacon EngineeringTeam 67,1,1,2026-08-24T00:00:00.000
68,ET000068,46,Pioneer EngineeringTeam 68,1,1,2026-08-24T00:00:00.000
