FinanceCostComponentKey,FinanceCostComponentCode,FinanceCostComponentGroupKey,FinanceCostComponentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FCC000001,51,Vertex FinanceCostComponent 1,1,1,2026-08-24T00:00:00.000
2,FCC000002,3,Atlas FinanceCostComponent 2,1,1,2026-08-24T00:00:00.000
3,FCC000003,34,Harbor FinanceCostComponent 3,1,1,2026-08-24T00:00:00.000
4,FCC000004,47,Cedar FinanceCostComponent 4,1,1,2026-08-24T00:00:00.000
5,FCC000005,3,Quartz FinanceCostComponent 5,1,1,2026-08-24T00:00:00.000
6,FCC000006,69,Ion FinanceCostComponent 6,1,1,2026-08-24T00:00:00.000
7,FCC000007,57,Granite FinanceCostComponent 7,1,1,2026-08-24T00:00:00.000
8,FCC000008,16,Orion FinanceCostComponent 8,1,1,2026-08-24T00:00:00.000
9,FCC000009,20,Unity FinanceCostComponent 9,1,1,2026-08-24T00:00:00.000
10,FCC000010,48,Ion FinanceCostComponent 10,1,1,2026-08-24T00:00:00.000
11,FCC000011,49,Quartz FinanceCostComponent 11,1,1,2026-08-24T00:00:00.000
12,FCC000012,29,Quartz FinanceCostComponent 12,1,1,2026-08-24T00:00:00.000
13,FCC000013,80,Willow FinanceCostComponent 13,1,1,2026-08-24T00:00:00.000
14,FCC000014,74,Unity FinanceCostComponent 14,1,1,2026-08-24T00:00:00.000
15,FCC000015,19,Atlas FinanceCostComponent 15,1,1,2026-08-24T00:00:00.000
16,FCC000016,35,Keystone FinanceCostComponent 16,1,1,2026-08-24T00:00:00.000
17,FCC000017,57,Zenith FinanceCostComponent 17,1,1,2026-08-24T00:00:00.000
18,FCC000018,52,Unity FinanceCostComponent 18,1,1,2026-08-24T00:00:00.000
19,FCC000019,79,Zenith FinanceCostComponent 19,1,1,2026-08-24T00:00:00.000
20,FCC000020,67,Riverton FinanceCostComponent 20,1,1,2026-08-24T00:00:00.000
21,FCC000021,62,Northstar FinanceCostComponent 21,1,1,2026-08-24T00:00:00.000
22,FCC000022,46,Meridian FinanceCostComponent 22,1,1,2026-08-24T00:00:00.000
23,FCC000023,39,Forge FinanceCostComponent 23,1,1,2026-08-24T00:00:00.000
