FinanceCostElementDetailKey,FinanceCostElementDetailCode,FinanceCostElementKey,FinanceCostElementDetailName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FCED000001,445,Ion FinanceCostElementDetail 1,1,1,2026-08-24T00:00:00.000
2,FCED000002,443,Riverton FinanceCostElementDetail 2,1,1,2026-08-24T00:00:00.000
3,FCED000003,142,Riverton FinanceCostElementDetail 3,1,1,2026-08-24T00:00:00.000
4,FCED000004,430,Harbor FinanceCostElementDetail 4,1,1,2026-08-24T00:00:00.000
5,FCED000005,407,Cedar FinanceCostElementDetail 5,1,1,2026-08-24T00:00:00.000
6,FCED000006,308,Northstar FinanceCostElementDetail 6,1,1,2026-08-24T00:00:00.000
7,FCED000007,221,Northstar FinanceCostElementDetail 7,1,1,2026-08-24T00:00:00.000
8,FCED000008,466,Cedar FinanceCostElementDetail 8,1,1,2026-08-24T00:00:00.000
9,FCED000009,443,Meridian FinanceCostElementDetail 9,1,1,2026-08-24T00:00:00.000
10,FCED000010,68,Beacon FinanceCostElementDetail 10,1,1,2026-08-24T00:00:00.000
11,FCED000011,52,Unity FinanceCostElementDetail 11,1,1,2026-08-24T00:00:00.000
12,FCED000012,306,Granite FinanceCostElementDetail 12,1,1,2026-08-24T00:00:00.000
13,FCED000013,233,Delta FinanceCostElementDetail 13,1,1,2026-08-24T00:00:00.000
14,FCED000014,120,Unity FinanceCostElementDetail 14,1,1,2026-08-24T00:00:00.000
15,FCED000015,112,Junction FinanceCostElementDetail 15,1,1,2026-08-24T00:00:00.000
16,FCED000016,405,Vertex FinanceCostElementDetail 16,1,1,2026-08-24T00:00:00.000
17,FCED000017,152,Harbor FinanceCostElementDetail 17,1,1,2026-08-24T00:00:00.000
18,FCED000018,224,Zenith FinanceCostElementDetail 18,1,1,2026-08-24T00:00:00.000
19,FCED000019,192,Delta FinanceCostElementDetail 19,1,1,2026-08-24T00:00:00.000
20,FCED000020,221,Meridian FinanceCostElementDetail 20,1,1,2026-08-24T00:00:00.000
21,FCED000021,250,Quartz FinanceCostElementDetail 21,1,1,2026-08-24T00:00:00.000
22,FCED000022,244,Granite FinanceCostElementDetail 22,1,1,2026-08-24T00:00:00.000
23,FCED000023,491,Evergreen FinanceCostElementDetail 23,1,1,2026-08-24T00:00:00.000
24,FCED000024,144,Orion FinanceCostElementDetail 24,1,1,2026-08-24T00:00:00.000
25,FCED000025,347,Junction FinanceCostElementDetail 25,1,1,2026-08-24T00:00:00.000
26,FCED000026,182,Beacon FinanceCostElementDetail 26,1,1,2026-08-24T00:00:00.000
27,FCED000027,363,Liberty FinanceCostElementDetail 27,1,1,2026-08-24T00:00:00.000
28,FCED000028,276,Titan FinanceCostElementDetail 28,1,1,2026-08-24T00:00:00.000
29,FCED000029,450,Ion FinanceCostElementDetail 29,1,1,2026-08-24T00:00:00.000
30,FCED000030,76,Northstar FinanceCostElementDetail 30,1,1,2026-08-24T00:00:00.000
31,FCED000031,493,Ion FinanceCostElementDetail 31,1,1,2026-08-24T00:00:00.000
32,FCED000032,367,Pioneer FinanceCostElementDetail 32,1,1,2026-08-24T00:00:00.000
33,FCED000033,303,Harbor FinanceCostElementDetail 33,1,1,2026-08-24T00:00:00.000
34,FCED000034,454,Orion FinanceCostElementDetail 34,1,1,2026-08-24T00:00:00.000
35,FCED000035,409,Junction FinanceCostElementDetail 35,1,1,2026-08-24T00:00:00.000
36,FCED000036,285,Zenith FinanceCostElementDetail 36,1,1,2026-08-24T00:00:00.000
37,FCED000037,473,Evergreen FinanceCostElementDetail 37,1,1,2026-08-24T00:00:00.000
38,FCED000038,499,Ion FinanceCostElementDetail 38,1,1,2026-08-24T00:00:00.000
39,FCED000039,276,Evergreen FinanceCostElementDetail 39,1,1,2026-08-24T00:00:00.000
40,FCED000040,134,Meridian FinanceCostElementDetail 40,1,1,2026-08-24T00:00:00.000
