FinanceCostElementGroupKey,FinanceCostElementGroupCode,FinanceCostElementClassKey,FinanceCostElementGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FCEG000001,8,Northstar FinanceCostElementGroup 1,1,1,2026-08-24T00:00:00.000
2,FCEG000002,8,Ion FinanceCostElementGroup 2,1,1,2026-08-24T00:00:00.000
3,FCEG000003,15,Meridian FinanceCostElementGroup 3,1,1,2026-08-24T00:00:00.000
4,FCEG000004,5,Summit FinanceCostElementGroup 4,1,1,2026-08-24T00:00:00.000
5,FCEG000005,12,Unity FinanceCostElementGroup 5,1,1,2026-08-24T00:00:00.000
6,FCEG000006,12,Pioneer FinanceCostElementGroup 6,1,1,2026-08-24T00:00:00.000
7,FCEG000007,3,Northstar FinanceCostElementGroup 7,1,1,2026-08-24T00:00:00.000
8,FCEG000008,9,Cedar FinanceCostElementGroup 8,1,1,2026-08-24T00:00:00.000
9,FCEG000009,6,Riverton FinanceCostElementGroup 9,1,1,2026-08-24T00:00:00.000
10,FCEG000010,5,Forge FinanceCostElementGroup 10,1,1,2026-08-24T00:00:00.000
11,FCEG000011,13,Beacon FinanceCostElementGroup 11,1,1,2026-08-24T00:00:00.000
12,FCEG000012,8,Pioneer FinanceCostElementGroup 12,1,1,2026-08-24T00:00:00.000
13,FCEG000013,13,Titan FinanceCostElementGroup 13,1,1,2026-08-24T00:00:00.000
14,FCEG000014,15,Quartz FinanceCostElementGroup 14,1,1,2026-08-24T00:00:00.000
15,FCEG000015,11,Atlas FinanceCostElementGroup 15,1,1,2026-08-24T00:00:00.000
16,FCEG000016,6,Forge FinanceCostElementGroup 16,1,1,2026-08-24T00:00:00.000
17,FCEG000017,10,Vertex FinanceCostElementGroup 17,1,1,2026-08-24T00:00:00.000
18,FCEG000018,1,Ion FinanceCostElementGroup 18,1,1,2026-08-24T00:00:00.000
19,FCEG000019,3,Willow FinanceCostElementGroup 19,1,1,2026-08-24T00:00:00.000
20,FCEG000020,12,Forge FinanceCostElementGroup 20,1,1,2026-08-24T00:00:00.000
21,FCEG000021,14,Titan FinanceCostElementGroup 21,1,1,2026-08-24T00:00:00.000
22,FCEG000022,1,Vertex FinanceCostElementGroup 22,1,1,2026-08-24T00:00:00.000
