FinanceCurrencyRateSetKey,CurrencyRateSetCode,FromCurrencyKey,ToCurrencyKey,SourceSystemRefKey,RateSetName,RatePurposeCode,EffectiveDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,-1,Unknown,UNKNOWN,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,FCRS000001,2,2,3,Cedar FinanceCurrencyRateSet 1,FCRS000001,2020-01-02,1,1,2026-08-24T00:00:00.000
2,FCRS000002,5,1,2,Harbor FinanceCurrencyRateSet 2,FCRS000002,2020-01-03,1,1,2026-08-24T00:00:00.000
3,FCRS000003,2,2,2,Cedar FinanceCurrencyRateSet 3,FCRS000003,2020-01-04,1,1,2026-08-24T00:00:00.000
4,FCRS000004,5,1,5,Zenith FinanceCurrencyRateSet 4,FCRS000004,2020-01-05,1,1,2026-08-24T00:00:00.000
5,FCRS000005,2,3,4,Beacon FinanceCurrencyRateSet 5,FCRS000005,2020-01-06,1,1,2026-08-24T00:00:00.000
6,FCRS000006,4,3,4,Riverton FinanceCurrencyRateSet 6,FCRS000006,2020-01-07,1,1,2026-08-24T00:00:00.000
7,FCRS000007,5,4,2,Meridian FinanceCurrencyRateSet 7,FCRS000007,2020-01-08,1,1,2026-08-24T00:00:00.000
8,FCRS000008,5,3,5,Zenith FinanceCurrencyRateSet 8,FCRS000008,2020-01-09,1,1,2026-08-24T00:00:00.000
9,FCRS000009,4,3,4,Forge FinanceCurrencyRateSet 9,FCRS000009,2020-01-10,1,1,2026-08-24T00:00:00.000
10,FCRS000010,4,3,4,Unity FinanceCurrencyRateSet 10,FCRS000010,2020-01-11,1,1,2026-08-24T00:00:00.000
11,FCRS000011,5,4,4,Meridian FinanceCurrencyRateSet 11,FCRS000011,2020-01-12,1,1,2026-08-24T00:00:00.000
12,FCRS000012,4,4,5,Quartz FinanceCurrencyRateSet 12,FCRS000012,2020-01-13,1,1,2026-08-24T00:00:00.000
13,FCRS000013,2,3,4,Meridian FinanceCurrencyRateSet 13,FCRS000013,2020-01-14,1,1,2026-08-24T00:00:00.000
14,FCRS000014,3,4,2,Keystone FinanceCurrencyRateSet 14,FCRS000014,2020-01-15,1,1,2026-08-24T00:00:00.000
15,FCRS000015,4,2,4,Titan FinanceCurrencyRateSet 15,FCRS000015,2020-01-16,1,1,2026-08-24T00:00:00.000
16,FCRS000016,3,3,1,Harbor FinanceCurrencyRateSet 16,FCRS000016,2020-01-17,1,1,2026-08-24T00:00:00.000
17,FCRS000017,2,3,3,Northstar FinanceCurrencyRateSet 17,FCRS000017,2020-01-18,1,1,2026-08-24T00:00:00.000
18,FCRS000018,1,2,4,Zenith FinanceCurrencyRateSet 18,FCRS000018,2020-01-19,1,1,2026-08-24T00:00:00.000
19,FCRS000019,4,3,3,Evergreen FinanceCurrencyRateSet 19,FCRS000019,2020-01-20,1,1,2026-08-24T00:00:00.000
20,FCRS000020,2,3,3,Willow FinanceCurrencyRateSet 20,FCRS000020,2020-01-21,1,1,2026-08-24T00:00:00.000
21,FCRS000021,5,3,4,Meridian FinanceCurrencyRateSet 21,FCRS000021,2020-01-22,1,1,2026-08-24T00:00:00.000
22,FCRS000022,2,3,2,Forge FinanceCurrencyRateSet 22,FCRS000022,2020-01-23,1,1,2026-08-24T00:00:00.000
23,FCRS000023,2,4,5,Zenith FinanceCurrencyRateSet 23,FCRS000023,2020-01-24,1,1,2026-08-24T00:00:00.000
24,FCRS000024,3,5,1,Orion FinanceCurrencyRateSet 24,FCRS000024,2020-01-25,1,1,2026-08-24T00:00:00.000
