FinanceMarketSegmentKey,FinanceMarketSegmentCode,FinanceProfitSegmentKey,FinanceMarketSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FMS000001,7,Granite FinanceMarketSegment 1,1,1,2026-08-24T00:00:00.000
2,FMS000002,8,Harbor FinanceMarketSegment 2,1,1,2026-08-24T00:00:00.000
3,FMS000003,19,Riverton FinanceMarketSegment 3,1,1,2026-08-24T00:00:00.000
4,FMS000004,10,Orion FinanceMarketSegment 4,1,1,2026-08-24T00:00:00.000
5,FMS000005,6,Beacon FinanceMarketSegment 5,1,1,2026-08-24T00:00:00.000
6,FMS000006,7,Unity FinanceMarketSegment 6,1,1,2026-08-24T00:00:00.000
7,FMS000007,18,Liberty FinanceMarketSegment 7,1,1,2026-08-24T00:00:00.000
8,FMS000008,7,Ion FinanceMarketSegment 8,1,1,2026-08-24T00:00:00.000
9,FMS000009,15,Cedar FinanceMarketSegment 9,1,1,2026-08-24T00:00:00.000
10,FMS000010,13,Cedar FinanceMarketSegment 10,1,1,2026-08-24T00:00:00.000
11,FMS000011,9,Unity FinanceMarketSegment 11,1,1,2026-08-24T00:00:00.000
12,FMS000012,6,Quartz FinanceMarketSegment 12,1,1,2026-08-24T00:00:00.000
13,FMS000013,3,Quartz FinanceMarketSegment 13,1,1,2026-08-24T00:00:00.000
14,FMS000014,2,Northstar FinanceMarketSegment 14,1,1,2026-08-24T00:00:00.000
15,FMS000015,16,Willow FinanceMarketSegment 15,1,1,2026-08-24T00:00:00.000
16,FMS000016,1,Atlas FinanceMarketSegment 16,1,1,2026-08-24T00:00:00.000
17,FMS000017,5,Ion FinanceMarketSegment 17,1,1,2026-08-24T00:00:00.000
18,FMS000018,17,Vertex FinanceMarketSegment 18,1,1,2026-08-24T00:00:00.000
19,FMS000019,14,Zenith FinanceMarketSegment 19,1,1,2026-08-24T00:00:00.000
20,FMS000020,15,Northstar FinanceMarketSegment 20,1,1,2026-08-24T00:00:00.000
21,FMS000021,11,Cedar FinanceMarketSegment 21,1,1,2026-08-24T00:00:00.000
22,FMS000022,14,Titan FinanceMarketSegment 22,1,1,2026-08-24T00:00:00.000
23,FMS000023,3,Summit FinanceMarketSegment 23,1,1,2026-08-24T00:00:00.000
24,FMS000024,3,Atlas FinanceMarketSegment 24,1,1,2026-08-24T00:00:00.000
25,FMS000025,16,Zenith FinanceMarketSegment 25,1,1,2026-08-24T00:00:00.000
26,FMS000026,7,Cedar FinanceMarketSegment 26,1,1,2026-08-24T00:00:00.000
27,FMS000027,2,Junction FinanceMarketSegment 27,1,1,2026-08-24T00:00:00.000
28,FMS000028,18,Unity FinanceMarketSegment 28,1,1,2026-08-24T00:00:00.000
29,FMS000029,11,Cedar FinanceMarketSegment 29,1,1,2026-08-24T00:00:00.000
30,FMS000030,15,Meridian FinanceMarketSegment 30,1,1,2026-08-24T00:00:00.000
31,FMS000031,7,Liberty FinanceMarketSegment 31,1,1,2026-08-24T00:00:00.000
32,FMS000032,7,Summit FinanceMarketSegment 32,1,1,2026-08-24T00:00:00.000
33,FMS000033,1,Beacon FinanceMarketSegment 33,1,1,2026-08-24T00:00:00.000
34,FMS000034,17,Atlas FinanceMarketSegment 34,1,1,2026-08-24T00:00:00.000
35,FMS000035,12,Keystone FinanceMarketSegment 35,1,1,2026-08-24T00:00:00.000
36,FMS000036,20,Vertex FinanceMarketSegment 36,1,1,2026-08-24T00:00:00.000
37,FMS000037,1,Zenith FinanceMarketSegment 37,1,1,2026-08-24T00:00:00.000
38,FMS000038,15,Delta FinanceMarketSegment 38,1,1,2026-08-24T00:00:00.000
39,FMS000039,19,Vertex FinanceMarketSegment 39,1,1,2026-08-24T00:00:00.000
40,FMS000040,5,Delta FinanceMarketSegment 40,1,1,2026-08-24T00:00:00.000
41,FMS000041,18,Titan FinanceMarketSegment 41,1,1,2026-08-24T00:00:00.000
42,FMS000042,14,Forge FinanceMarketSegment 42,1,1,2026-08-24T00:00:00.000
43,FMS000043,17,Atlas FinanceMarketSegment 43,1,1,2026-08-24T00:00:00.000
44,FMS000044,15,Beacon FinanceMarketSegment 44,1,1,2026-08-24T00:00:00.000
45,FMS000045,14,Granite FinanceMarketSegment 45,1,1,2026-08-24T00:00:00.000
46,FMS000046,17,Liberty FinanceMarketSegment 46,1,1,2026-08-24T00:00:00.000
47,FMS000047,17,Ion FinanceMarketSegment 47,1,1,2026-08-24T00:00:00.000
48,FMS000048,6,Riverton FinanceMarketSegment 48,1,1,2026-08-24T00:00:00.000
49,FMS000049,6,Keystone FinanceMarketSegment 49,1,1,2026-08-24T00:00:00.000
50,FMS000050,14,Northstar FinanceMarketSegment 50,1,1,2026-08-24T00:00:00.000
51,FMS000051,4,Liberty FinanceMarketSegment 51,1,1,2026-08-24T00:00:00.000
52,FMS000052,2,Quartz FinanceMarketSegment 52,1,1,2026-08-24T00:00:00.000
53,FMS000053,1,Cedar FinanceMarketSegment 53,1,1,2026-08-24T00:00:00.000
