FinancePostingBucketKey,FinancePostingBucketCode,FinanceAccountSetKey,FinancePostingBucketName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FPB000001,207,Vertex FinancePostingBucket 1,1,1,2026-08-24T00:00:00.000
2,FPB000002,430,Quartz FinancePostingBucket 2,1,1,2026-08-24T00:00:00.000
3,FPB000003,328,Cedar FinancePostingBucket 3,1,1,2026-08-24T00:00:00.000
4,FPB000004,83,Atlas FinancePostingBucket 4,1,1,2026-08-24T00:00:00.000
5,FPB000005,366,Pioneer FinancePostingBucket 5,1,1,2026-08-24T00:00:00.000
6,FPB000006,343,Orion FinancePostingBucket 6,1,1,2026-08-24T00:00:00.000
7,FPB000007,33,Northstar FinancePostingBucket 7,1,1,2026-08-24T00:00:00.000
8,FPB000008,284,Beacon FinancePostingBucket 8,1,1,2026-08-24T00:00:00.000
9,FPB000009,61,Forge FinancePostingBucket 9,1,1,2026-08-24T00:00:00.000
10,FPB000010,404,Ion FinancePostingBucket 10,1,1,2026-08-24T00:00:00.000
11,FPB000011,377,Liberty FinancePostingBucket 11,1,1,2026-08-24T00:00:00.000
12,FPB000012,141,Cedar FinancePostingBucket 12,1,1,2026-08-24T00:00:00.000
13,FPB000013,453,Pioneer FinancePostingBucket 13,1,1,2026-08-24T00:00:00.000
14,FPB000014,404,Harbor FinancePostingBucket 14,1,1,2026-08-24T00:00:00.000
15,FPB000015,207,Vertex FinancePostingBucket 15,1,1,2026-08-24T00:00:00.000
16,FPB000016,249,Pioneer FinancePostingBucket 16,1,1,2026-08-24T00:00:00.000
17,FPB000017,305,Keystone FinancePostingBucket 17,1,1,2026-08-24T00:00:00.000
18,FPB000018,205,Riverton FinancePostingBucket 18,1,1,2026-08-24T00:00:00.000
19,FPB000019,179,Granite FinancePostingBucket 19,1,1,2026-08-24T00:00:00.000
20,FPB000020,322,Pioneer FinancePostingBucket 20,1,1,2026-08-24T00:00:00.000
21,FPB000021,307,Evergreen FinancePostingBucket 21,1,1,2026-08-24T00:00:00.000
22,FPB000022,177,Junction FinancePostingBucket 22,1,1,2026-08-24T00:00:00.000
23,FPB000023,55,Atlas FinancePostingBucket 23,1,1,2026-08-24T00:00:00.000
24,FPB000024,158,Vertex FinancePostingBucket 24,1,1,2026-08-24T00:00:00.000
25,FPB000025,106,Vertex FinancePostingBucket 25,1,1,2026-08-24T00:00:00.000
26,FPB000026,476,Beacon FinancePostingBucket 26,1,1,2026-08-24T00:00:00.000
27,FPB000027,176,Orion FinancePostingBucket 27,1,1,2026-08-24T00:00:00.000
28,FPB000028,113,Keystone FinancePostingBucket 28,1,1,2026-08-24T00:00:00.000
29,FPB000029,391,Junction FinancePostingBucket 29,1,1,2026-08-24T00:00:00.000
30,FPB000030,223,Unity FinancePostingBucket 30,1,1,2026-08-24T00:00:00.000
31,FPB000031,438,Zenith FinancePostingBucket 31,1,1,2026-08-24T00:00:00.000
32,FPB000032,457,Ion FinancePostingBucket 32,1,1,2026-08-24T00:00:00.000
33,FPB000033,429,Evergreen FinancePostingBucket 33,1,1,2026-08-24T00:00:00.000
34,FPB000034,400,Forge FinancePostingBucket 34,1,1,2026-08-24T00:00:00.000
35,FPB000035,390,Willow FinancePostingBucket 35,1,1,2026-08-24T00:00:00.000
36,FPB000036,233,Evergreen FinancePostingBucket 36,1,1,2026-08-24T00:00:00.000
37,FPB000037,248,Evergreen FinancePostingBucket 37,1,1,2026-08-24T00:00:00.000
38,FPB000038,77,Pioneer FinancePostingBucket 38,1,1,2026-08-24T00:00:00.000
39,FPB000039,14,Liberty FinancePostingBucket 39,1,1,2026-08-24T00:00:00.000
40,FPB000040,281,Atlas FinancePostingBucket 40,1,1,2026-08-24T00:00:00.000
41,FPB000041,150,Keystone FinancePostingBucket 41,1,1,2026-08-24T00:00:00.000
42,FPB000042,457,Atlas FinancePostingBucket 42,1,1,2026-08-24T00:00:00.000
43,FPB000043,61,Unity FinancePostingBucket 43,1,1,2026-08-24T00:00:00.000
44,FPB000044,47,Harbor FinancePostingBucket 44,1,1,2026-08-24T00:00:00.000
45,FPB000045,31,Zenith FinancePostingBucket 45,1,1,2026-08-24T00:00:00.000
46,FPB000046,142,Liberty FinancePostingBucket 46,1,1,2026-08-24T00:00:00.000
47,FPB000047,456,Orion FinancePostingBucket 47,1,1,2026-08-24T00:00:00.000
48,FPB000048,398,Titan FinancePostingBucket 48,1,1,2026-08-24T00:00:00.000
49,FPB000049,415,Forge FinancePostingBucket 49,1,1,2026-08-24T00:00:00.000
50,FPB000050,345,Willow FinancePostingBucket 50,1,1,2026-08-24T00:00:00.000
51,FPB000051,344,Liberty FinancePostingBucket 51,1,1,2026-08-24T00:00:00.000
52,FPB000052,497,Liberty FinancePostingBucket 52,1,1,2026-08-24T00:00:00.000
53,FPB000053,214,Granite FinancePostingBucket 53,1,1,2026-08-24T00:00:00.000
54,FPB000054,330,Granite FinancePostingBucket 54,1,1,2026-08-24T00:00:00.000
55,FPB000055,426,Keystone FinancePostingBucket 55,1,1,2026-08-24T00:00:00.000
56,FPB000056,439,Forge FinancePostingBucket 56,1,1,2026-08-24T00:00:00.000
57,FPB000057,401,Ion FinancePostingBucket 57,1,1,2026-08-24T00:00:00.000
58,FPB000058,455,Zenith FinancePostingBucket 58,1,1,2026-08-24T00:00:00.000
59,FPB000059,111,Willow FinancePostingBucket 59,1,1,2026-08-24T00:00:00.000
60,FPB000060,84,Titan FinancePostingBucket 60,1,1,2026-08-24T00:00:00.000
61,FPB000061,40,Keystone FinancePostingBucket 61,1,1,2026-08-24T00:00:00.000
62,FPB000062,51,Liberty FinancePostingBucket 62,1,1,2026-08-24T00:00:00.000
63,FPB000063,178,Zenith FinancePostingBucket 63,1,1,2026-08-24T00:00:00.000
64,FPB000064,435,Meridian FinancePostingBucket 64,1,1,2026-08-24T00:00:00.000
65,FPB000065,87,Delta FinancePostingBucket 65,1,1,2026-08-24T00:00:00.000
66,FPB000066,121,Summit FinancePostingBucket 66,1,1,2026-08-24T00:00:00.000
67,FPB000067,471,Unity FinancePostingBucket 67,1,1,2026-08-24T00:00:00.000
68,FPB000068,324,Liberty FinancePostingBucket 68,1,1,2026-08-24T00:00:00.000
69,FPB000069,146,Summit FinancePostingBucket 69,1,1,2026-08-24T00:00:00.000
70,FPB000070,264,Pioneer FinancePostingBucket 70,1,1,2026-08-24T00:00:00.000
71,FPB000071,5,Quartz FinancePostingBucket 71,1,1,2026-08-24T00:00:00.000
72,FPB000072,197,Liberty FinancePostingBucket 72,1,1,2026-08-24T00:00:00.000
73,FPB000073,11,Atlas FinancePostingBucket 73,1,1,2026-08-24T00:00:00.000
74,FPB000074,137,Quartz FinancePostingBucket 74,1,1,2026-08-24T00:00:00.000
75,FPB000075,25,Forge FinancePostingBucket 75,1,1,2026-08-24T00:00:00.000
76,FPB000076,303,Beacon FinancePostingBucket 76,1,1,2026-08-24T00:00:00.000
77,FPB000077,27,Quartz FinancePostingBucket 77,1,1,2026-08-24T00:00:00.000
78,FPB000078,60,Zenith FinancePostingBucket 78,1,1,2026-08-24T00:00:00.000
79,FPB000079,325,Liberty FinancePostingBucket 79,1,1,2026-08-24T00:00:00.000
80,FPB000080,225,Willow FinancePostingBucket 80,1,1,2026-08-24T00:00:00.000
81,FPB000081,371,Willow FinancePostingBucket 81,1,1,2026-08-24T00:00:00.000
82,FPB000082,458,Titan FinancePostingBucket 82,1,1,2026-08-24T00:00:00.000
83,FPB000083,351,Quartz FinancePostingBucket 83,1,1,2026-08-24T00:00:00.000
84,FPB000084,184,Riverton FinancePostingBucket 84,1,1,2026-08-24T00:00:00.000
85,FPB000085,130,Titan FinancePostingBucket 85,1,1,2026-08-24T00:00:00.000
86,FPB000086,291,Granite FinancePostingBucket 86,1,1,2026-08-24T00:00:00.000
87,FPB000087,265,Delta FinancePostingBucket 87,1,1,2026-08-24T00:00:00.000
