FinanceProfitObjectKey,FinanceProfitObjectCode,FinanceProfitCenterKey,FinanceProfitObjectName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,FPO000001,211,Junction FinanceProfitObject 1,1,1,2026-08-24T00:00:00.000
2,FPO000002,486,Meridian FinanceProfitObject 2,1,1,2026-08-24T00:00:00.000
3,FPO000003,153,Quartz FinanceProfitObject 3,1,1,2026-08-24T00:00:00.000
4,FPO000004,162,Junction FinanceProfitObject 4,1,1,2026-08-24T00:00:00.000
5,FPO000005,161,Ion FinanceProfitObject 5,1,1,2026-08-24T00:00:00.000
6,FPO000006,454,Liberty FinanceProfitObject 6,1,1,2026-08-24T00:00:00.000
7,FPO000007,326,Titan FinanceProfitObject 7,1,1,2026-08-24T00:00:00.000
8,FPO000008,133,Evergreen FinanceProfitObject 8,1,1,2026-08-24T00:00:00.000
9,FPO000009,40,Atlas FinanceProfitObject 9,1,1,2026-08-24T00:00:00.000
10,FPO000010,352,Vertex FinanceProfitObject 10,1,1,2026-08-24T00:00:00.000
11,FPO000011,272,Orion FinanceProfitObject 11,1,1,2026-08-24T00:00:00.000
12,FPO000012,17,Summit FinanceProfitObject 12,1,1,2026-08-24T00:00:00.000
13,FPO000013,474,Riverton FinanceProfitObject 13,1,1,2026-08-24T00:00:00.000
14,FPO000014,260,Unity FinanceProfitObject 14,1,1,2026-08-24T00:00:00.000
15,FPO000015,298,Delta FinanceProfitObject 15,1,1,2026-08-24T00:00:00.000
16,FPO000016,171,Delta FinanceProfitObject 16,1,1,2026-08-24T00:00:00.000
17,FPO000017,76,Riverton FinanceProfitObject 17,1,1,2026-08-24T00:00:00.000
18,FPO000018,141,Willow FinanceProfitObject 18,1,1,2026-08-24T00:00:00.000
19,FPO000019,75,Delta FinanceProfitObject 19,1,1,2026-08-24T00:00:00.000
20,FPO000020,35,Unity FinanceProfitObject 20,1,1,2026-08-24T00:00:00.000
21,FPO000021,433,Vertex FinanceProfitObject 21,1,1,2026-08-24T00:00:00.000
22,FPO000022,462,Pioneer FinanceProfitObject 22,1,1,2026-08-24T00:00:00.000
23,FPO000023,102,Forge FinanceProfitObject 23,1,1,2026-08-24T00:00:00.000
24,FPO000024,209,Granite FinanceProfitObject 24,1,1,2026-08-24T00:00:00.000
25,FPO000025,39,Evergreen FinanceProfitObject 25,1,1,2026-08-24T00:00:00.000
26,FPO000026,454,Riverton FinanceProfitObject 26,1,1,2026-08-24T00:00:00.000
27,FPO000027,432,Beacon FinanceProfitObject 27,1,1,2026-08-24T00:00:00.000
28,FPO000028,497,Riverton FinanceProfitObject 28,1,1,2026-08-24T00:00:00.000
29,FPO000029,446,Titan FinanceProfitObject 29,1,1,2026-08-24T00:00:00.000
30,FPO000030,180,Atlas FinanceProfitObject 30,1,1,2026-08-24T00:00:00.000
31,FPO000031,147,Harbor FinanceProfitObject 31,1,1,2026-08-24T00:00:00.000
32,FPO000032,424,Forge FinanceProfitObject 32,1,1,2026-08-24T00:00:00.000
33,FPO000033,245,Junction FinanceProfitObject 33,1,1,2026-08-24T00:00:00.000
34,FPO000034,202,Ion FinanceProfitObject 34,1,1,2026-08-24T00:00:00.000
35,FPO000035,144,Evergreen FinanceProfitObject 35,1,1,2026-08-24T00:00:00.000
36,FPO000036,449,Riverton FinanceProfitObject 36,1,1,2026-08-24T00:00:00.000
37,FPO000037,245,Zenith FinanceProfitObject 37,1,1,2026-08-24T00:00:00.000
38,FPO000038,192,Ion FinanceProfitObject 38,1,1,2026-08-24T00:00:00.000
39,FPO000039,91,Vertex FinanceProfitObject 39,1,1,2026-08-24T00:00:00.000
40,FPO000040,464,Unity FinanceProfitObject 40,1,1,2026-08-24T00:00:00.000
41,FPO000041,392,Cedar FinanceProfitObject 41,1,1,2026-08-24T00:00:00.000
42,FPO000042,94,Cedar FinanceProfitObject 42,1,1,2026-08-24T00:00:00.000
43,FPO000043,102,Atlas FinanceProfitObject 43,1,1,2026-08-24T00:00:00.000
44,FPO000044,10,Titan FinanceProfitObject 44,1,1,2026-08-24T00:00:00.000
45,FPO000045,384,Harbor FinanceProfitObject 45,1,1,2026-08-24T00:00:00.000
46,FPO000046,262,Unity FinanceProfitObject 46,1,1,2026-08-24T00:00:00.000
47,FPO000047,51,Zenith FinanceProfitObject 47,1,1,2026-08-24T00:00:00.000
48,FPO000048,412,Liberty FinanceProfitObject 48,1,1,2026-08-24T00:00:00.000
49,FPO000049,463,Pioneer FinanceProfitObject 49,1,1,2026-08-24T00:00:00.000
50,FPO000050,468,Granite FinanceProfitObject 50,1,1,2026-08-24T00:00:00.000
51,FPO000051,436,Summit FinanceProfitObject 51,1,1,2026-08-24T00:00:00.000
52,FPO000052,233,Granite FinanceProfitObject 52,1,1,2026-08-24T00:00:00.000
53,FPO000053,20,Willow FinanceProfitObject 53,1,1,2026-08-24T00:00:00.000
54,FPO000054,488,Unity FinanceProfitObject 54,1,1,2026-08-24T00:00:00.000
55,FPO000055,102,Evergreen FinanceProfitObject 55,1,1,2026-08-24T00:00:00.000
56,FPO000056,411,Summit FinanceProfitObject 56,1,1,2026-08-24T00:00:00.000
57,FPO000057,490,Evergreen FinanceProfitObject 57,1,1,2026-08-24T00:00:00.000
58,FPO000058,16,Keystone FinanceProfitObject 58,1,1,2026-08-24T00:00:00.000
59,FPO000059,139,Beacon FinanceProfitObject 59,1,1,2026-08-24T00:00:00.000
60,FPO000060,232,Vertex FinanceProfitObject 60,1,1,2026-08-24T00:00:00.000
61,FPO000061,480,Beacon FinanceProfitObject 61,1,1,2026-08-24T00:00:00.000
62,FPO000062,133,Delta FinanceProfitObject 62,1,1,2026-08-24T00:00:00.000
63,FPO000063,225,Northstar FinanceProfitObject 63,1,1,2026-08-24T00:00:00.000
64,FPO000064,8,Beacon FinanceProfitObject 64,1,1,2026-08-24T00:00:00.000
65,FPO000065,216,Zenith FinanceProfitObject 65,1,1,2026-08-24T00:00:00.000
66,FPO000066,405,Vertex FinanceProfitObject 66,1,1,2026-08-24T00:00:00.000
67,FPO000067,121,Ion FinanceProfitObject 67,1,1,2026-08-24T00:00:00.000
68,FPO000068,463,Meridian FinanceProfitObject 68,1,1,2026-08-24T00:00:00.000
69,FPO000069,381,Beacon FinanceProfitObject 69,1,1,2026-08-24T00:00:00.000
70,FPO000070,8,Cedar FinanceProfitObject 70,1,1,2026-08-24T00:00:00.000
71,FPO000071,73,Quartz FinanceProfitObject 71,1,1,2026-08-24T00:00:00.000
72,FPO000072,126,Orion FinanceProfitObject 72,1,1,2026-08-24T00:00:00.000
73,FPO000073,392,Vertex FinanceProfitObject 73,1,1,2026-08-24T00:00:00.000
74,FPO000074,311,Junction FinanceProfitObject 74,1,1,2026-08-24T00:00:00.000
75,FPO000075,46,Northstar FinanceProfitObject 75,1,1,2026-08-24T00:00:00.000
76,FPO000076,215,Keystone FinanceProfitObject 76,1,1,2026-08-24T00:00:00.000
77,FPO000077,213,Beacon FinanceProfitObject 77,1,1,2026-08-24T00:00:00.000
78,FPO000078,335,Delta FinanceProfitObject 78,1,1,2026-08-24T00:00:00.000
79,FPO000079,388,Forge FinanceProfitObject 79,1,1,2026-08-24T00:00:00.000
80,FPO000080,494,Liberty FinanceProfitObject 80,1,1,2026-08-24T00:00:00.000
81,FPO000081,270,Northstar FinanceProfitObject 81,1,1,2026-08-24T00:00:00.000
82,FPO000082,88,Quartz FinanceProfitObject 82,1,1,2026-08-24T00:00:00.000
83,FPO000083,234,Meridian FinanceProfitObject 83,1,1,2026-08-24T00:00:00.000
84,FPO000084,258,Junction FinanceProfitObject 84,1,1,2026-08-24T00:00:00.000
85,FPO000085,11,Forge FinanceProfitObject 85,1,1,2026-08-24T00:00:00.000
86,FPO000086,439,Quartz FinanceProfitObject 86,1,1,2026-08-24T00:00:00.000
87,FPO000087,270,Liberty FinanceProfitObject 87,1,1,2026-08-24T00:00:00.000
88,FPO000088,248,Harbor FinanceProfitObject 88,1,1,2026-08-24T00:00:00.000
89,FPO000089,268,Pioneer FinanceProfitObject 89,1,1,2026-08-24T00:00:00.000
90,FPO000090,333,Willow FinanceProfitObject 90,1,1,2026-08-24T00:00:00.000
91,FPO000091,357,Titan FinanceProfitObject 91,1,1,2026-08-24T00:00:00.000
92,FPO000092,305,Junction FinanceProfitObject 92,1,1,2026-08-24T00:00:00.000
93,FPO000093,201,Orion FinanceProfitObject 93,1,1,2026-08-24T00:00:00.000
94,FPO000094,88,Junction FinanceProfitObject 94,1,1,2026-08-24T00:00:00.000
95,FPO000095,234,Summit FinanceProfitObject 95,1,1,2026-08-24T00:00:00.000
96,FPO000096,206,Harbor FinanceProfitObject 96,1,1,2026-08-24T00:00:00.000
97,FPO000097,264,Riverton FinanceProfitObject 97,1,1,2026-08-24T00:00:00.000
98,FPO000098,292,Orion FinanceProfitObject 98,1,1,2026-08-24T00:00:00.000
99,FPO000099,432,Summit FinanceProfitObject 99,1,1,2026-08-24T00:00:00.000
100,FPO000100,290,Quartz FinanceProfitObject 100,1,1,2026-08-24T00:00:00.000
101,FPO000101,35,Forge FinanceProfitObject 101,1,1,2026-08-24T00:00:00.000
102,FPO000102,310,Keystone FinanceProfitObject 102,1,1,2026-08-24T00:00:00.000
103,FPO000103,122,Atlas FinanceProfitObject 103,1,1,2026-08-24T00:00:00.000
104,FPO000104,284,Atlas FinanceProfitObject 104,1,1,2026-08-24T00:00:00.000
105,FPO000105,170,Delta FinanceProfitObject 105,1,1,2026-08-24T00:00:00.000
106,FPO000106,334,Riverton FinanceProfitObject 106,1,1,2026-08-24T00:00:00.000
107,FPO000107,30,Willow FinanceProfitObject 107,1,1,2026-08-24T00:00:00.000
108,FPO000108,386,Summit FinanceProfitObject 108,1,1,2026-08-24T00:00:00.000
109,FPO000109,52,Vertex FinanceProfitObject 109,1,1,2026-08-24T00:00:00.000
110,FPO000110,434,Junction FinanceProfitObject 110,1,1,2026-08-24T00:00:00.000
111,FPO000111,6,Liberty FinanceProfitObject 111,1,1,2026-08-24T00:00:00.000
112,FPO000112,197,Willow FinanceProfitObject 112,1,1,2026-08-24T00:00:00.000
113,FPO000113,349,Vertex FinanceProfitObject 113,1,1,2026-08-24T00:00:00.000
114,FPO000114,322,Beacon FinanceProfitObject 114,1,1,2026-08-24T00:00:00.000
115,FPO000115,43,Delta FinanceProfitObject 115,1,1,2026-08-24T00:00:00.000
116,FPO000116,31,Meridian FinanceProfitObject 116,1,1,2026-08-24T00:00:00.000
117,FPO000117,388,Evergreen FinanceProfitObject 117,1,1,2026-08-24T00:00:00.000
118,FPO000118,467,Cedar FinanceProfitObject 118,1,1,2026-08-24T00:00:00.000
119,FPO000119,327,Meridian FinanceProfitObject 119,1,1,2026-08-24T00:00:00.000
120,FPO000120,140,Riverton FinanceProfitObject 120,1,1,2026-08-24T00:00:00.000
