GeoPostalCodeKey,GeoPostalCodeCode,GeoCityKey,GeoPostalCodeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,GPC000001,210,GPC000001,1,1,2026-08-24T00:00:00.000
2,GPC000002,237,GPC000002,1,1,2026-08-24T00:00:00.000
3,GPC000003,450,GPC000003,1,1,2026-08-24T00:00:00.000
4,GPC000004,411,GPC000004,1,1,2026-08-24T00:00:00.000
5,GPC000005,235,GPC000005,1,1,2026-08-24T00:00:00.000
6,GPC000006,195,GPC000006,1,1,2026-08-24T00:00:00.000
7,GPC000007,300,GPC000007,1,1,2026-08-24T00:00:00.000
8,GPC000008,109,GPC000008,1,1,2026-08-24T00:00:00.000
9,GPC000009,420,GPC000009,1,1,2026-08-24T00:00:00.000
10,GPC000010,361,GPC000010,1,1,2026-08-24T00:00:00.000
11,GPC000011,487,GPC000011,1,1,2026-08-24T00:00:00.000
12,GPC000012,466,GPC000012,1,1,2026-08-24T00:00:00.000
13,GPC000013,294,GPC000013,1,1,2026-08-24T00:00:00.000
14,GPC000014,439,GPC000014,1,1,2026-08-24T00:00:00.000
15,GPC000015,312,GPC000015,1,1,2026-08-24T00:00:00.000
16,GPC000016,478,GPC000016,1,1,2026-08-24T00:00:00.000
17,GPC000017,213,GPC000017,1,1,2026-08-24T00:00:00.000
18,GPC000018,130,GPC000018,1,1,2026-08-24T00:00:00.000
19,GPC000019,93,GPC000019,1,1,2026-08-24T00:00:00.000
20,GPC000020,270,GPC000020,1,1,2026-08-24T00:00:00.000
21,GPC000021,248,GPC000021,1,1,2026-08-24T00:00:00.000
22,GPC000022,329,GPC000022,1,1,2026-08-24T00:00:00.000
23,GPC000023,138,GPC000023,1,1,2026-08-24T00:00:00.000
24,GPC000024,269,GPC000024,1,1,2026-08-24T00:00:00.000
25,GPC000025,356,GPC000025,1,1,2026-08-24T00:00:00.000
26,GPC000026,162,GPC000026,1,1,2026-08-24T00:00:00.000
27,GPC000027,49,GPC000027,1,1,2026-08-24T00:00:00.000
28,GPC000028,89,GPC000028,1,1,2026-08-24T00:00:00.000
29,GPC000029,22,GPC000029,1,1,2026-08-24T00:00:00.000
30,GPC000030,99,GPC000030,1,1,2026-08-24T00:00:00.000
31,GPC000031,88,GPC000031,1,1,2026-08-24T00:00:00.000
32,GPC000032,71,GPC000032,1,1,2026-08-24T00:00:00.000
33,GPC000033,388,GPC000033,1,1,2026-08-24T00:00:00.000
34,GPC000034,425,GPC000034,1,1,2026-08-24T00:00:00.000
35,GPC000035,432,GPC000035,1,1,2026-08-24T00:00:00.000
36,GPC000036,500,GPC000036,1,1,2026-08-24T00:00:00.000
37,GPC000037,136,GPC000037,1,1,2026-08-24T00:00:00.000
38,GPC000038,465,GPC000038,1,1,2026-08-24T00:00:00.000
39,GPC000039,304,GPC000039,1,1,2026-08-24T00:00:00.000
40,GPC000040,459,GPC000040,1,1,2026-08-24T00:00:00.000
41,GPC000041,331,GPC000041,1,1,2026-08-24T00:00:00.000
42,GPC000042,368,GPC000042,1,1,2026-08-24T00:00:00.000
43,GPC000043,145,GPC000043,1,1,2026-08-24T00:00:00.000
44,GPC000044,103,GPC000044,1,1,2026-08-24T00:00:00.000
45,GPC000045,108,GPC000045,1,1,2026-08-24T00:00:00.000
46,GPC000046,410,GPC000046,1,1,2026-08-24T00:00:00.000
47,GPC000047,428,GPC000047,1,1,2026-08-24T00:00:00.000
48,GPC000048,439,GPC000048,1,1,2026-08-24T00:00:00.000
49,GPC000049,280,GPC000049,1,1,2026-08-24T00:00:00.000
50,GPC000050,491,GPC000050,1,1,2026-08-24T00:00:00.000
51,GPC000051,110,GPC000051,1,1,2026-08-24T00:00:00.000
52,GPC000052,10,GPC000052,1,1,2026-08-24T00:00:00.000
53,GPC000053,264,GPC000053,1,1,2026-08-24T00:00:00.000
54,GPC000054,497,GPC000054,1,1,2026-08-24T00:00:00.000
55,GPC000055,206,GPC000055,1,1,2026-08-24T00:00:00.000
