InventoryAisleKey,InventoryAisleCode,InventoryZoneKey,InventoryAisleName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IA000001,53,Orion InventoryAisle 1,1,1,2026-08-24T00:00:00.000
2,IA000002,79,Junction InventoryAisle 2,1,1,2026-08-24T00:00:00.000
3,IA000003,58,Beacon InventoryAisle 3,1,1,2026-08-24T00:00:00.000
4,IA000004,93,Unity InventoryAisle 4,1,1,2026-08-24T00:00:00.000
5,IA000005,447,Forge InventoryAisle 5,1,1,2026-08-24T00:00:00.000
6,IA000006,22,Beacon InventoryAisle 6,1,1,2026-08-24T00:00:00.000
7,IA000007,69,Beacon InventoryAisle 7,1,1,2026-08-24T00:00:00.000
8,IA000008,144,Quartz InventoryAisle 8,1,1,2026-08-24T00:00:00.000
9,IA000009,275,Zenith InventoryAisle 9,1,1,2026-08-24T00:00:00.000
10,IA000010,418,Northstar InventoryAisle 10,1,1,2026-08-24T00:00:00.000
11,IA000011,166,Forge InventoryAisle 11,1,1,2026-08-24T00:00:00.000
12,IA000012,263,Harbor InventoryAisle 12,1,1,2026-08-24T00:00:00.000
13,IA000013,339,Northstar InventoryAisle 13,1,1,2026-08-24T00:00:00.000
14,IA000014,478,Summit InventoryAisle 14,1,1,2026-08-24T00:00:00.000
15,IA000015,89,Titan InventoryAisle 15,1,1,2026-08-24T00:00:00.000
16,IA000016,477,Willow InventoryAisle 16,1,1,2026-08-24T00:00:00.000
17,IA000017,361,Granite InventoryAisle 17,1,1,2026-08-24T00:00:00.000
18,IA000018,49,Northstar InventoryAisle 18,1,1,2026-08-24T00:00:00.000
19,IA000019,339,Unity InventoryAisle 19,1,1,2026-08-24T00:00:00.000
20,IA000020,69,Meridian InventoryAisle 20,1,1,2026-08-24T00:00:00.000
21,IA000021,347,Liberty InventoryAisle 21,1,1,2026-08-24T00:00:00.000
22,IA000022,234,Unity InventoryAisle 22,1,1,2026-08-24T00:00:00.000
23,IA000023,379,Cedar InventoryAisle 23,1,1,2026-08-24T00:00:00.000
24,IA000024,263,Willow InventoryAisle 24,1,1,2026-08-24T00:00:00.000
25,IA000025,336,Atlas InventoryAisle 25,1,1,2026-08-24T00:00:00.000
26,IA000026,41,Junction InventoryAisle 26,1,1,2026-08-24T00:00:00.000
27,IA000027,452,Ion InventoryAisle 27,1,1,2026-08-24T00:00:00.000
28,IA000028,474,Unity InventoryAisle 28,1,1,2026-08-24T00:00:00.000
29,IA000029,268,Delta InventoryAisle 29,1,1,2026-08-24T00:00:00.000
30,IA000030,179,Vertex InventoryAisle 30,1,1,2026-08-24T00:00:00.000
31,IA000031,50,Willow InventoryAisle 31,1,1,2026-08-24T00:00:00.000
32,IA000032,485,Vertex InventoryAisle 32,1,1,2026-08-24T00:00:00.000
33,IA000033,339,Riverton InventoryAisle 33,1,1,2026-08-24T00:00:00.000
34,IA000034,348,Northstar InventoryAisle 34,1,1,2026-08-24T00:00:00.000
35,IA000035,495,Forge InventoryAisle 35,1,1,2026-08-24T00:00:00.000
36,IA000036,28,Willow InventoryAisle 36,1,1,2026-08-24T00:00:00.000
37,IA000037,223,Cedar InventoryAisle 37,1,1,2026-08-24T00:00:00.000
38,IA000038,280,Meridian InventoryAisle 38,1,1,2026-08-24T00:00:00.000
39,IA000039,336,Riverton InventoryAisle 39,1,1,2026-08-24T00:00:00.000
40,IA000040,292,Meridian InventoryAisle 40,1,1,2026-08-24T00:00:00.000
41,IA000041,223,Harbor InventoryAisle 41,1,1,2026-08-24T00:00:00.000
42,IA000042,296,Willow InventoryAisle 42,1,1,2026-08-24T00:00:00.000
43,IA000043,475,Evergreen InventoryAisle 43,1,1,2026-08-24T00:00:00.000
