InventoryBinKey,InventoryBinCode,InventoryRackKey,InventoryBinName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IB000001,265,Forge InventoryBin 1,1,1,2026-08-24T00:00:00.000
2,IB000002,186,Junction InventoryBin 2,1,1,2026-08-24T00:00:00.000
3,IB000003,162,Meridian InventoryBin 3,1,1,2026-08-24T00:00:00.000
4,IB000004,144,Willow InventoryBin 4,1,1,2026-08-24T00:00:00.000
5,IB000005,222,Willow InventoryBin 5,1,1,2026-08-24T00:00:00.000
6,IB000006,220,Northstar InventoryBin 6,1,1,2026-08-24T00:00:00.000
7,IB000007,114,Northstar InventoryBin 7,1,1,2026-08-24T00:00:00.000
8,IB000008,150,Delta InventoryBin 8,1,1,2026-08-24T00:00:00.000
9,IB000009,268,Northstar InventoryBin 9,1,1,2026-08-24T00:00:00.000
10,IB000010,230,Summit InventoryBin 10,1,1,2026-08-24T00:00:00.000
11,IB000011,161,Junction InventoryBin 11,1,1,2026-08-24T00:00:00.000
12,IB000012,442,Willow InventoryBin 12,1,1,2026-08-24T00:00:00.000
13,IB000013,218,Vertex InventoryBin 13,1,1,2026-08-24T00:00:00.000
14,IB000014,443,Summit InventoryBin 14,1,1,2026-08-24T00:00:00.000
15,IB000015,451,Ion InventoryBin 15,1,1,2026-08-24T00:00:00.000
16,IB000016,149,Evergreen InventoryBin 16,1,1,2026-08-24T00:00:00.000
17,IB000017,228,Titan InventoryBin 17,1,1,2026-08-24T00:00:00.000
18,IB000018,495,Titan InventoryBin 18,1,1,2026-08-24T00:00:00.000
19,IB000019,465,Keystone InventoryBin 19,1,1,2026-08-24T00:00:00.000
20,IB000020,194,Cedar InventoryBin 20,1,1,2026-08-24T00:00:00.000
21,IB000021,38,Harbor InventoryBin 21,1,1,2026-08-24T00:00:00.000
22,IB000022,302,Meridian InventoryBin 22,1,1,2026-08-24T00:00:00.000
23,IB000023,14,Orion InventoryBin 23,1,1,2026-08-24T00:00:00.000
24,IB000024,294,Junction InventoryBin 24,1,1,2026-08-24T00:00:00.000
25,IB000025,394,Delta InventoryBin 25,1,1,2026-08-24T00:00:00.000
26,IB000026,354,Unity InventoryBin 26,1,1,2026-08-24T00:00:00.000
27,IB000027,237,Vertex InventoryBin 27,1,1,2026-08-24T00:00:00.000
28,IB000028,151,Cedar InventoryBin 28,1,1,2026-08-24T00:00:00.000
29,IB000029,27,Harbor InventoryBin 29,1,1,2026-08-24T00:00:00.000
30,IB000030,2,Keystone InventoryBin 30,1,1,2026-08-24T00:00:00.000
31,IB000031,366,Harbor InventoryBin 31,1,1,2026-08-24T00:00:00.000
32,IB000032,334,Unity InventoryBin 32,1,1,2026-08-24T00:00:00.000
33,IB000033,89,Northstar InventoryBin 33,1,1,2026-08-24T00:00:00.000
