InventoryHandlingEquipmentKey,InventoryHandlingEquipmentCode,InventoryHandlingMethodKey,InventoryHandlingEquipmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IHE000001,15,Forge InventoryHandlingEquipment 1,1,1,2026-08-24T00:00:00.000
2,IHE000002,29,Beacon InventoryHandlingEquipment 2,1,1,2026-08-24T00:00:00.000
3,IHE000003,50,Northstar InventoryHandlingEquipment 3,1,1,2026-08-24T00:00:00.000
4,IHE000004,19,Junction InventoryHandlingEquipment 4,1,1,2026-08-24T00:00:00.000
5,IHE000005,33,Titan InventoryHandlingEquipment 5,1,1,2026-08-24T00:00:00.000
6,IHE000006,49,Harbor InventoryHandlingEquipment 6,1,1,2026-08-24T00:00:00.000
7,IHE000007,16,Cedar InventoryHandlingEquipment 7,1,1,2026-08-24T00:00:00.000
8,IHE000008,23,Pioneer InventoryHandlingEquipment 8,1,1,2026-08-24T00:00:00.000
9,IHE000009,15,Pioneer InventoryHandlingEquipment 9,1,1,2026-08-24T00:00:00.000
10,IHE000010,13,Ion InventoryHandlingEquipment 10,1,1,2026-08-24T00:00:00.000
11,IHE000011,48,Meridian InventoryHandlingEquipment 11,1,1,2026-08-24T00:00:00.000
12,IHE000012,34,Forge InventoryHandlingEquipment 12,1,1,2026-08-24T00:00:00.000
13,IHE000013,13,Quartz InventoryHandlingEquipment 13,1,1,2026-08-24T00:00:00.000
14,IHE000014,1,Granite InventoryHandlingEquipment 14,1,1,2026-08-24T00:00:00.000
15,IHE000015,43,Willow InventoryHandlingEquipment 15,1,1,2026-08-24T00:00:00.000
16,IHE000016,37,Vertex InventoryHandlingEquipment 16,1,1,2026-08-24T00:00:00.000
17,IHE000017,2,Titan InventoryHandlingEquipment 17,1,1,2026-08-24T00:00:00.000
18,IHE000018,37,Forge InventoryHandlingEquipment 18,1,1,2026-08-24T00:00:00.000
19,IHE000019,41,Beacon InventoryHandlingEquipment 19,1,1,2026-08-24T00:00:00.000
20,IHE000020,11,Meridian InventoryHandlingEquipment 20,1,1,2026-08-24T00:00:00.000
21,IHE000021,40,Titan InventoryHandlingEquipment 21,1,1,2026-08-24T00:00:00.000
22,IHE000022,30,Northstar InventoryHandlingEquipment 22,1,1,2026-08-24T00:00:00.000
23,IHE000023,31,Liberty InventoryHandlingEquipment 23,1,1,2026-08-24T00:00:00.000
24,IHE000024,16,Harbor InventoryHandlingEquipment 24,1,1,2026-08-24T00:00:00.000
25,IHE000025,27,Junction InventoryHandlingEquipment 25,1,1,2026-08-24T00:00:00.000
26,IHE000026,31,Ion InventoryHandlingEquipment 26,1,1,2026-08-24T00:00:00.000
27,IHE000027,22,Pioneer InventoryHandlingEquipment 27,1,1,2026-08-24T00:00:00.000
28,IHE000028,1,Orion InventoryHandlingEquipment 28,1,1,2026-08-24T00:00:00.000
29,IHE000029,35,Orion InventoryHandlingEquipment 29,1,1,2026-08-24T00:00:00.000
30,IHE000030,48,Cedar InventoryHandlingEquipment 30,1,1,2026-08-24T00:00:00.000
31,IHE000031,31,Beacon InventoryHandlingEquipment 31,1,1,2026-08-24T00:00:00.000
32,IHE000032,33,Northstar InventoryHandlingEquipment 32,1,1,2026-08-24T00:00:00.000
33,IHE000033,16,Junction InventoryHandlingEquipment 33,1,1,2026-08-24T00:00:00.000
34,IHE000034,36,Junction InventoryHandlingEquipment 34,1,1,2026-08-24T00:00:00.000
35,IHE000035,14,Liberty InventoryHandlingEquipment 35,1,1,2026-08-24T00:00:00.000
36,IHE000036,31,Willow InventoryHandlingEquipment 36,1,1,2026-08-24T00:00:00.000
37,IHE000037,17,Beacon InventoryHandlingEquipment 37,1,1,2026-08-24T00:00:00.000
38,IHE000038,5,Titan InventoryHandlingEquipment 38,1,1,2026-08-24T00:00:00.000
39,IHE000039,11,Riverton InventoryHandlingEquipment 39,1,1,2026-08-24T00:00:00.000
40,IHE000040,43,Delta InventoryHandlingEquipment 40,1,1,2026-08-24T00:00:00.000
41,IHE000041,21,Junction InventoryHandlingEquipment 41,1,1,2026-08-24T00:00:00.000
42,IHE000042,41,Cedar InventoryHandlingEquipment 42,1,1,2026-08-24T00:00:00.000
43,IHE000043,34,Liberty InventoryHandlingEquipment 43,1,1,2026-08-24T00:00:00.000
44,IHE000044,25,Pioneer InventoryHandlingEquipment 44,1,1,2026-08-24T00:00:00.000
45,IHE000045,43,Evergreen InventoryHandlingEquipment 45,1,1,2026-08-24T00:00:00.000
46,IHE000046,26,Atlas InventoryHandlingEquipment 46,1,1,2026-08-24T00:00:00.000
47,IHE000047,34,Vertex InventoryHandlingEquipment 47,1,1,2026-08-24T00:00:00.000
48,IHE000048,46,Riverton InventoryHandlingEquipment 48,1,1,2026-08-24T00:00:00.000
49,IHE000049,43,Keystone InventoryHandlingEquipment 49,1,1,2026-08-24T00:00:00.000
50,IHE000050,40,Meridian InventoryHandlingEquipment 50,1,1,2026-08-24T00:00:00.000
51,IHE000051,37,Beacon InventoryHandlingEquipment 51,1,1,2026-08-24T00:00:00.000
52,IHE000052,49,Cedar InventoryHandlingEquipment 52,1,1,2026-08-24T00:00:00.000
53,IHE000053,38,Cedar InventoryHandlingEquipment 53,1,1,2026-08-24T00:00:00.000
54,IHE000054,5,Atlas InventoryHandlingEquipment 54,1,1,2026-08-24T00:00:00.000
55,IHE000055,31,Pioneer InventoryHandlingEquipment 55,1,1,2026-08-24T00:00:00.000
56,IHE000056,26,Northstar InventoryHandlingEquipment 56,1,1,2026-08-24T00:00:00.000
57,IHE000057,42,Cedar InventoryHandlingEquipment 57,1,1,2026-08-24T00:00:00.000
58,IHE000058,9,Delta InventoryHandlingEquipment 58,1,1,2026-08-24T00:00:00.000
59,IHE000059,6,Keystone InventoryHandlingEquipment 59,1,1,2026-08-24T00:00:00.000
60,IHE000060,16,Granite InventoryHandlingEquipment 60,1,1,2026-08-24T00:00:00.000
61,IHE000061,29,Cedar InventoryHandlingEquipment 61,1,1,2026-08-24T00:00:00.000
62,IHE000062,43,Liberty InventoryHandlingEquipment 62,1,1,2026-08-24T00:00:00.000
63,IHE000063,37,Zenith InventoryHandlingEquipment 63,1,1,2026-08-24T00:00:00.000
64,IHE000064,31,Beacon InventoryHandlingEquipment 64,1,1,2026-08-24T00:00:00.000
65,IHE000065,3,Meridian InventoryHandlingEquipment 65,1,1,2026-08-24T00:00:00.000
66,IHE000066,18,Harbor InventoryHandlingEquipment 66,1,1,2026-08-24T00:00:00.000
67,IHE000067,40,Unity InventoryHandlingEquipment 67,1,1,2026-08-24T00:00:00.000
68,IHE000068,34,Atlas InventoryHandlingEquipment 68,1,1,2026-08-24T00:00:00.000
69,IHE000069,23,Northstar InventoryHandlingEquipment 69,1,1,2026-08-24T00:00:00.000
70,IHE000070,3,Junction InventoryHandlingEquipment 70,1,1,2026-08-24T00:00:00.000
71,IHE000071,16,Beacon InventoryHandlingEquipment 71,1,1,2026-08-24T00:00:00.000
72,IHE000072,7,Keystone InventoryHandlingEquipment 72,1,1,2026-08-24T00:00:00.000
73,IHE000073,2,Cedar InventoryHandlingEquipment 73,1,1,2026-08-24T00:00:00.000
74,IHE000074,8,Willow InventoryHandlingEquipment 74,1,1,2026-08-24T00:00:00.000
75,IHE000075,37,Orion InventoryHandlingEquipment 75,1,1,2026-08-24T00:00:00.000
76,IHE000076,42,Harbor InventoryHandlingEquipment 76,1,1,2026-08-24T00:00:00.000
77,IHE000077,11,Titan InventoryHandlingEquipment 77,1,1,2026-08-24T00:00:00.000
78,IHE000078,20,Delta InventoryHandlingEquipment 78,1,1,2026-08-24T00:00:00.000
79,IHE000079,30,Granite InventoryHandlingEquipment 79,1,1,2026-08-24T00:00:00.000
80,IHE000080,38,Meridian InventoryHandlingEquipment 80,1,1,2026-08-24T00:00:00.000
81,IHE000081,38,Meridian InventoryHandlingEquipment 81,1,1,2026-08-24T00:00:00.000
82,IHE000082,25,Junction InventoryHandlingEquipment 82,1,1,2026-08-24T00:00:00.000
83,IHE000083,36,Cedar InventoryHandlingEquipment 83,1,1,2026-08-24T00:00:00.000
84,IHE000084,8,Ion InventoryHandlingEquipment 84,1,1,2026-08-24T00:00:00.000
85,IHE000085,18,Cedar InventoryHandlingEquipment 85,1,1,2026-08-24T00:00:00.000
86,IHE000086,6,Evergreen InventoryHandlingEquipment 86,1,1,2026-08-24T00:00:00.000
87,IHE000087,8,Junction InventoryHandlingEquipment 87,1,1,2026-08-24T00:00:00.000
88,IHE000088,4,Ion InventoryHandlingEquipment 88,1,1,2026-08-24T00:00:00.000
89,IHE000089,25,Granite InventoryHandlingEquipment 89,1,1,2026-08-24T00:00:00.000
90,IHE000090,46,Summit InventoryHandlingEquipment 90,1,1,2026-08-24T00:00:00.000
91,IHE000091,39,Ion InventoryHandlingEquipment 91,1,1,2026-08-24T00:00:00.000
92,IHE000092,29,Granite InventoryHandlingEquipment 92,1,1,2026-08-24T00:00:00.000
93,IHE000093,50,Zenith InventoryHandlingEquipment 93,1,1,2026-08-24T00:00:00.000
94,IHE000094,1,Riverton InventoryHandlingEquipment 94,1,1,2026-08-24T00:00:00.000
95,IHE000095,10,Keystone InventoryHandlingEquipment 95,1,1,2026-08-24T00:00:00.000
96,IHE000096,3,Atlas InventoryHandlingEquipment 96,1,1,2026-08-24T00:00:00.000
97,IHE000097,40,Northstar InventoryHandlingEquipment 97,1,1,2026-08-24T00:00:00.000
98,IHE000098,49,Granite InventoryHandlingEquipment 98,1,1,2026-08-24T00:00:00.000
99,IHE000099,10,Titan InventoryHandlingEquipment 99,1,1,2026-08-24T00:00:00.000
100,IHE000100,28,Pioneer InventoryHandlingEquipment 100,1,1,2026-08-24T00:00:00.000
101,IHE000101,8,Ion InventoryHandlingEquipment 101,1,1,2026-08-24T00:00:00.000
102,IHE000102,28,Keystone InventoryHandlingEquipment 102,1,1,2026-08-24T00:00:00.000
103,IHE000103,48,Forge InventoryHandlingEquipment 103,1,1,2026-08-24T00:00:00.000
104,IHE000104,37,Quartz InventoryHandlingEquipment 104,1,1,2026-08-24T00:00:00.000
105,IHE000105,22,Meridian InventoryHandlingEquipment 105,1,1,2026-08-24T00:00:00.000
106,IHE000106,49,Riverton InventoryHandlingEquipment 106,1,1,2026-08-24T00:00:00.000
107,IHE000107,6,Orion InventoryHandlingEquipment 107,1,1,2026-08-24T00:00:00.000
108,IHE000108,6,Unity InventoryHandlingEquipment 108,1,1,2026-08-24T00:00:00.000
109,IHE000109,33,Keystone InventoryHandlingEquipment 109,1,1,2026-08-24T00:00:00.000
110,IHE000110,21,Granite InventoryHandlingEquipment 110,1,1,2026-08-24T00:00:00.000
111,IHE000111,2,Keystone InventoryHandlingEquipment 111,1,1,2026-08-24T00:00:00.000
112,IHE000112,25,Beacon InventoryHandlingEquipment 112,1,1,2026-08-24T00:00:00.000
113,IHE000113,42,Willow InventoryHandlingEquipment 113,1,1,2026-08-24T00:00:00.000
